Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,MTCH,57.49,60.965,55.8,57.57,4302613.0
2020-03-13,MTCH,59.6,60.8,55.62,60.47,3729468.0
2020-03-16,MTCH,53.7,56.54,52.59,54.39,6316487.0
2020-03-17,MTCH,55.01,58.1,51.79,57.02,4504954.0
2020-03-18,MTCH,53.11,55.91,47.27,51.52,3757098.0
2020-03-19,MTCH,50.38,53.16,48.92,50.76,4159741.0
2020-03-20,MTCH,51.68,52.94,47.31,47.35,5106689.0
2020-03-23,MTCH,46.9,50.13,44.74,48.71,3954515.0
2020-03-24,MTCH,50.7,58.33,50.7,57.86,4781753.0
2020-03-25,MTCH,59.0,68.5,58.5,65.31,6121656.0
2020-03-26,MTCH,65.52,73.25,61.98,63.58,4316813.0
2020-03-27,MTCH,60.39,64.35,60.16,62.48,2240946.0
2020-03-30,MTCH,62.23,67.7,62.23,66.67,2578734.0
2020-03-31,MTCH,65.7,68.79,65.7,66.04,2258970.0
2020-04-01,MTCH,64.13,64.97,60.42,61.61,2556778.0
2020-04-02,MTCH,60.75,64.15,60.17,62.19,1331611.0
2020-04-03,MTCH,62.53,64.76,62.21,63.7,1567634.0
2020-04-06,MTCH,66.98,68.93,64.33,68.41,2172372.0
2020-04-07,MTCH,70.65,71.96,67.77,70.18,4051735.0
2020-04-08,MTCH,71.06,72.585,68.91,69.21,2175202.0
2020-04-09,MTCH,70.31,71.0,66.66,68.11,2503779.0
2020-04-13,MTCH,67.25,69.37,65.99,68.48,1954603.0
2020-04-14,MTCH,69.58,74.13,69.58,73.26,2675062.0
2020-04-15,MTCH,72.08,76.13,69.86,74.49,2948529.0
2020-04-16,MTCH,75.7,80.405,75.09,78.87,3436694.0
2020-04-17,MTCH,80.0,81.32,78.81,80.0,3118962.0
2020-04-20,MTCH,79.23,83.59,78.95,80.03,2293391.0
2020-04-21,MTCH,79.33,80.17,75.78,76.9,1403937.0
2020-04-22,MTCH,78.12,80.81,77.51,80.03,1430614.0
2020-04-23,MTCH,80.31,82.355,79.04,80.38,1384555.0
2020-04-24,MTCH,80.99,81.82,79.67,81.23,1052653.0
2020-04-27,MTCH,82.2,82.81,77.97,78.38,1954809.0
2020-04-28,MTCH,79.31,79.79,75.15,75.24,1894234.0
2020-04-29,MTCH,76.61,80.61,76.25,79.59,1516570.0
2020-04-30,MTCH,78.0,79.99,76.63,76.96,1752497.0
2020-05-01,MTCH,75.62,77.05,74.39,74.64,1174815.0
2020-05-04,MTCH,74.52,77.36,74.0584,77.18,1910990.0
2020-05-05,MTCH,78.5,81.04,78.02,80.1,1882910.0
2020-05-06,MTCH,83.41,87.38,82.84,87.35,3176920.0
2020-05-07,MTCH,88.5,90.0,82.37,82.63,3774445.0
2020-05-08,MTCH,83.3,83.98,79.63,79.99,3185881.0
2020-05-11,MTCH,79.31,81.3,79.0368,79.94,3206653.0
2020-05-12,MTCH,80.36,81.0,77.3,77.82,2520873.0
2020-05-13,MTCH,77.71,78.45,72.28,74.75,2966385.0
2020-05-14,MTCH,73.2,77.6,73.085,77.37,1937463.0
2020-05-15,MTCH,76.98,78.56,76.5,78.17,1884968.0
2020-05-18,MTCH,80.0,84.18,79.27,83.6,2464061.0
2020-05-19,MTCH,83.72,87.885,83.07,85.72,1637235.0
2020-05-20,MTCH,86.31,87.49,83.44,84.64,1754526.0
2020-05-21,MTCH,84.86,85.61,82.48,84.0,909452.0
2020-05-22,MTCH,84.6,86.75,83.1,84.93,835077.0
2020-05-26,MTCH,86.5,86.74,84.32,85.49,808911.0
2020-05-27,MTCH,85.49,86.12,83.1,85.97,920494.0
2020-05-28,MTCH,84.72,91.7715,84.4918,88.93,3085015.0
2020-05-29,MTCH,89.88,90.25,87.72,89.04,1606982.0
2020-06-01,MTCH,89.12,92.68,89.11,91.73,2179266.0
2020-06-02,MTCH,93.78,94.57,90.76,94.36,2176498.0
2020-06-03,MTCH,94.38,95.5746,91.82,94.01,2016220.0
2020-06-04,MTCH,92.9,94.07,89.64,91.38,1900492.0
2020-06-05,MTCH,91.54,92.6,89.4198,90.09,1906967.0
2020-06-08,MTCH,90.47,92.85,89.34,89.51,1932401.0
2020-06-09,MTCH,90.35,90.49,87.51,89.69,2654474.0
2020-06-10,MTCH,90.13,90.68,87.65,88.45,2065886.0
2020-06-11,MTCH,85.0,86.7,82.57,85.68,3044429.0
2020-06-12,MTCH,88.15,88.34,84.37,87.25,2476310.0
2020-06-15,MTCH,86.0,88.57,85.49,88.34,2272725.0
2020-06-16,MTCH,89.99,93.16,89.69,92.22,3413916.0
2020-06-17,MTCH,92.93,94.8,91.621,94.47,2572982.0
2020-06-18,MTCH,94.65,98.965,94.06,98.2,3156850.0
2020-06-19,MTCH,99.18,99.43,95.21,95.73,3348508.0
