Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,MU,39.4,42.5397,38.0,38.6,43104110.0
2020-03-13,MU,41.57,43.02,38.35,42.99,37584391.0
2020-03-16,MU,37.35,39.14,34.45,34.47,40533682.0
2020-03-17,MU,35.49,39.13,34.02,37.38,37196577.0
2020-03-18,MU,34.26,36.555,31.13,34.69,38589864.0
2020-03-19,MU,34.66,37.3,33.65,36.29,33108038.0
2020-03-20,MU,37.77,38.59,35.84,36.11,41111211.0
2020-03-23,MU,36.99,39.47,35.69,38.25,46975007.0
2020-03-24,MU,41.82,44.42,41.14,43.27,48687642.0
2020-03-25,MU,43.91,44.88,40.03,42.5,56270039.0
2020-03-26,MU,44.9,45.75,43.33,44.79,64784245.0
2020-03-27,MU,43.25,45.28,42.31,43.48,41274870.0
2020-03-30,MU,44.17,45.57,43.1475,44.52,35223450.0
2020-03-31,MU,44.4,45.17,41.91,42.06,39142461.0
2020-04-01,MU,40.5503,42.3,39.33,39.89,39118525.0
2020-04-02,MU,39.79,41.59,39.52,41.09,32555170.0
2020-04-03,MU,40.97,41.86,40.55,41.22,29646924.0
2020-04-06,MU,43.35,46.69,43.34,46.37,40707682.0
2020-04-07,MU,48.09,48.37,46.04,46.54,36810465.0
2020-04-08,MU,47.08,48.69,46.8,48.29,29115012.0
2020-04-09,MU,49.2997,49.81,45.35,46.13,41871062.0
2020-04-13,MU,44.9,46.39,44.39,46.17,32895232.0
2020-04-14,MU,47.0,48.38,46.6242,47.62,27186481.0
2020-04-15,MU,46.4,46.66,45.635,46.43,23518376.0
2020-04-16,MU,47.02,47.2,44.66,45.53,28201432.0
2020-04-17,MU,46.78,46.89,44.85,45.7,24947727.0
2020-04-20,MU,44.52,45.08,43.3,43.4,32285872.0
2020-04-21,MU,43.0,43.07,41.185,41.41,33593201.0
2020-04-22,MU,43.11,44.2,42.745,43.91,23125667.0
2020-04-23,MU,43.82,44.715,43.42,43.77,24386332.0
2020-04-24,MU,43.8,44.32,42.98,44.16,17375726.0
2020-04-27,MU,44.9965,45.39,44.58,45.28,17574334.0
2020-04-28,MU,46.21,47.69,45.28,45.31,26161331.0
2020-04-29,MU,46.58,50.14,46.33,49.83,37656113.0
2020-04-30,MU,49.48,49.58,47.37,47.89,30947088.0
2020-05-01,MU,46.36,46.92,44.52,45.06,29357952.0
2020-05-04,MU,44.19,44.69,43.61,44.46,22398490.0
2020-05-05,MU,45.45,46.95,45.11,45.41,22068353.0
2020-05-06,MU,46.07,47.12,45.92,46.08,22637646.0
2020-05-07,MU,47.1165,47.5,46.34,46.59,17580582.0
2020-05-08,MU,47.29,48.46,47.29,48.25,18250276.0
2020-05-11,MU,47.74,48.73,47.44,48.2,18914250.0
2020-05-12,MU,48.52,48.5642,45.64,45.69,27975395.0
2020-05-13,MU,45.87,45.88,42.95,43.53,38274406.0
2020-05-14,MU,43.06,45.78,42.51,45.73,28735360.0
2020-05-15,MU,43.28,44.78,43.24,44.41,30810422.0
2020-05-18,MU,45.83,46.15,44.95,45.92,22035865.0
2020-05-19,MU,45.78,46.23,45.02,45.12,18350896.0
2020-05-20,MU,46.51,47.04,46.0933,46.64,18817113.0
2020-05-21,MU,46.5,46.5738,44.76,45.22,18631370.0
2020-05-22,MU,45.148,45.31,44.24,44.94,14156296.0
2020-05-26,MU,46.22,46.685,45.45,45.8,26930226.0
2020-05-27,MU,45.95,49.58,43.9,49.45,57348311.0
2020-05-28,MU,48.7,48.79,46.07,46.47,39976654.0
2020-05-29,MU,46.62,48.02,46.212,47.91,29906002.0
2020-06-01,MU,47.49,47.67,46.32,46.34,22594368.0
2020-06-02,MU,46.49,46.85,45.57,46.82,24200578.0
2020-06-03,MU,48.04,49.42,47.45,48.92,36454719.0
2020-06-04,MU,48.86,51.98,48.6034,51.22,35846400.0
2020-06-05,MU,52.66,54.82,52.59,53.72,35890166.0
2020-06-08,MU,54.495,54.64,52.231,53.7,24168725.0
2020-06-09,MU,52.65,53.5,52.45,53.15,19555148.0
2020-06-10,MU,52.92,53.3,51.57,52.47,19653819.0
2020-06-11,MU,50.42,51.085,48.195,48.52,32142783.0
2020-06-12,MU,50.285,50.48,47.36,48.69,25446383.0
2020-06-15,MU,47.36,49.73,47.1,49.24,19487420.0
2020-06-16,MU,51.16,52.15,49.86,51.02,23343105.0
2020-06-17,MU,51.3,51.51,50.535,50.96,14666420.0
2020-06-18,MU,50.5,51.04,50.02,50.48,14223073.0
2020-06-19,MU,51.16,52.75,50.75,50.83,33016287.0
2020-06-22,MU,51.22,51.4,50.24,51.15,17112286.0
2020-06-23,MU,50.69,50.89,49.5683,49.84,24174306.0
2020-06-24,MU,49.65,50.1,48.02,48.29,20596765.0
2020-06-25,MU,48.2404,49.31,47.275,49.19,15981979.0
2020-06-26,MU,49.15,49.35,48.14,48.49,19366611.0
2020-06-29,MU,48.69,49.15,47.58,49.145,25555061.0
2020-06-30,MU,51.78,52.47,50.97,51.52,49858750.0
2020-07-01,MU,51.52,51.555,49.61,49.7,26252365.0
2020-07-02,MU,50.5,50.75,49.48,49.83,19794676.0
2020-07-06,MU,50.75,51.43,50.48,50.92,17502832.0
2020-07-07,MU,50.52,50.59,49.01,49.09,21200917.0
2020-07-08,MU,49.56,49.75,48.96,49.71,16456877.0
2020-07-09,MU,49.85,50.39,48.73,49.98,19430789.0
2020-07-10,MU,50.01,50.71,49.4,50.7,18999214.0
2020-07-13,MU,51.31,52.283,49.38,49.46,24404655.0
2020-07-14,MU,49.08,49.79,47.95,49.71,18557463.0
2020-07-15,MU,50.2,50.65,49.405,50.51,16836860.0
2020-07-16,MU,49.8,50.285,49.23,50.1,15174086.0
2020-07-17,MU,50.3066,50.43,49.28,49.47,16148332.0
2020-07-20,MU,49.66,51.32,49.535,51.21,19159044.0
2020-07-21,MU,51.62,52.66,51.23,51.52,17733077.0
2020-07-22,MU,51.58,51.77,51.02,51.65,11883661.0
2020-07-23,MU,51.74,54.2,51.57,52.64,34398600.0
2020-07-24,MU,51.28,51.28,49.65,50.02,26210926.0
2020-07-27,MU,50.6,51.71,50.49,51.59,17021470.0
2020-07-28,MU,51.26,51.27,50.04,50.09,16283027.0
2020-07-29,MU,50.39,50.63,49.78,50.39,15459334.0
2020-07-30,MU,49.74,50.75,49.11,50.74,18405972.0
2020-07-31,MU,50.62,50.7,49.26,50.055,18519132.0
2020-08-03,MU,50.39,50.6246,50.02,50.39,16090028.0
2020-08-04,MU,50.35,51.48,50.29,51.3,16715357.0
2020-08-05,MU,51.09,51.28,50.63,51.05,14193583.0
2020-08-06,MU,50.0,50.03,48.32,48.7,33487347.0
2020-08-07,MU,48.69,49.1792,48.05,48.75,14844500.0
2020-08-10,MU,48.85,49.665,48.265,49.15,16969193.0
2020-08-11,MU,49.01,49.74,47.6317,47.76,22731288.0
2020-08-12,MU,48.38,48.73,47.66,48.48,18473704.0
2020-08-13,MU,47.16,47.23,45.93,46.14,42271623.0
2020-08-14,MU,45.6,46.0794,45.2975,45.6,19111174.0
2020-08-17,MU,45.9,45.94,44.74,45.22,18746420.0
2020-08-18,MU,45.06,45.16,44.05,44.4,21031804.0
2020-08-19,MU,44.3,44.7,43.85,44.05,20472187.0
2020-08-20,MU,42.68,43.655,42.25,42.985,23724687.0
2020-08-21,MU,42.85,43.06,42.4,42.66,16672928.0
2020-08-24,MU,43.12,43.815,42.8917,43.76,15862348.0
2020-08-25,MU,44.88,45.5399,44.6,45.1,22886159.0
2020-08-26,MU,45.6,45.82,44.685,44.96,16396916.0
2020-08-27,MU,44.55,44.83,43.67,44.62,14575156.0
2020-08-28,MU,44.62,45.7883,44.405,45.69,14272388.0
2020-08-31,MU,45.35,45.82,45.14,45.51,14580533.0
2020-09-01,MU,45.53,45.79,45.055,45.76,15519973.0
2020-09-02,MU,46.425,48.19,46.28,47.83,25964629.0
2020-09-03,MU,47.7597,47.83,45.85,46.33,22401622.0
