Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,NEM,41.34,47.85,39.5285,44.44,16312998.0
2020-03-13,NEM,45.91,46.2,39.39,39.5,19836361.0
2020-03-16,NEM,34.38,43.19,33.0,40.73,19809929.0
2020-03-17,NEM,40.6,46.472,40.58,45.8,15197028.0
2020-03-18,NEM,44.48,46.8673,40.01,41.57,13324247.0
2020-03-19,NEM,41.44,46.36,37.1301,41.74,11795741.0
2020-03-20,NEM,42.35,43.02,39.15,40.56,13667152.0
2020-03-23,NEM,41.44,43.9428,40.39,41.66,12274239.0
2020-03-24,NEM,45.12,48.3,43.61,47.5,12845741.0
2020-03-25,NEM,47.1,48.95,45.27,47.54,12417993.0
2020-03-26,NEM,48.19,50.29,46.92,48.28,12165812.0
2020-03-27,NEM,47.26,48.89,45.71,46.35,9740577.0
2020-03-30,NEM,46.4,48.8,45.64,46.36,10181733.0
2020-03-31,NEM,45.7,47.7,44.585,45.28,13141636.0
2020-04-01,NEM,45.04,47.29,44.78,46.47,9644248.0
2020-04-02,NEM,47.07,49.75,46.56,48.23,10317352.0
2020-04-03,NEM,48.27,49.6,47.07,47.15,9222986.0
2020-04-06,NEM,48.5,51.14,48.43,50.11,12896368.0
2020-04-07,NEM,50.07,51.41,49.36,49.96,7516923.0
2020-04-08,NEM,49.79,50.78,49.36,50.53,5972278.0
2020-04-09,NEM,51.42,57.7,51.13,57.31,15802550.0
2020-04-13,NEM,57.22,60.46,56.333,59.77,11903363.0
2020-04-14,NEM,60.08,61.53,58.81,59.89,11953339.0
2020-04-15,NEM,58.54,59.703,57.06,58.22,9212082.0
2020-04-16,NEM,57.85,60.0,57.85,59.9,8589671.0
2020-04-17,NEM,57.33,59.44,57.08,59.23,13345392.0
2020-04-20,NEM,59.13,60.22,58.5,59.54,9747011.0
2020-04-21,NEM,58.35,60.04,57.64,59.27,9474544.0
2020-04-22,NEM,60.95,62.15,60.5,61.73,8894286.0
2020-04-23,NEM,62.64,64.65,62.21,62.44,8140114.0
2020-04-24,NEM,63.55,63.88,61.76,63.11,7812178.0
2020-04-27,NEM,63.26,63.68,60.86,62.61,5708122.0
2020-04-28,NEM,61.58,63.24,60.93,62.67,6441526.0
2020-04-29,NEM,62.01,62.8,60.92,62.35,7868099.0
2020-04-30,NEM,61.21,62.31,59.36,59.48,7852533.0
2020-05-01,NEM,58.65,61.31,58.2106,60.99,6701184.0
2020-05-04,NEM,62.01,63.13,61.21,62.74,9423495.0
2020-05-05,NEM,62.69,65.06,61.33,64.91,7750355.0
2020-05-06,NEM,64.02,64.93,62.27,62.43,7873382.0
2020-05-07,NEM,63.34,65.37,62.715,64.56,7497930.0
2020-05-08,NEM,64.99,66.0601,64.07,64.55,6839340.0
2020-05-11,NEM,64.07,64.81,61.83,62.95,6322719.0
2020-05-12,NEM,63.2,64.47,62.35,62.48,5727383.0
2020-05-13,NEM,63.3,64.495,62.575,63.89,7779528.0
2020-05-14,NEM,64.26,67.1,64.08,66.64,9199757.0
2020-05-15,NEM,67.96,68.47,67.0,67.9,8020467.0
2020-05-18,NEM,68.2,68.77,65.88,66.26,8781391.0
2020-05-19,NEM,66.62,69.1326,66.35,67.38,7834225.0
2020-05-20,NEM,67.39,67.75,65.51,65.72,7984538.0
2020-05-21,NEM,64.96,65.04,62.295,63.48,7795001.0
2020-05-22,NEM,64.34,64.9774,62.78,63.05,4788104.0
2020-05-26,NEM,61.73,61.75,59.0,59.21,11876165.0
2020-05-27,NEM,57.11,58.74,55.75,58.73,15462845.0
2020-05-28,NEM,60.14,60.38,57.94,58.72,9110326.0
2020-05-29,NEM,60.0,60.3,58.39,58.47,35418824.0
2020-06-01,NEM,58.95,60.51,58.81,60.49,8578459.0
2020-06-02,NEM,60.9,60.905,57.95,58.47,8173864.0
2020-06-03,NEM,56.92,57.65,55.16,56.02,12371601.0
2020-06-04,NEM,57.0,57.66,55.41,55.9,10792158.0
2020-06-05,NEM,53.96,54.98,52.33,54.76,14049558.0
2020-06-08,NEM,54.39,55.64,53.5,55.54,9919455.0
2020-06-09,NEM,57.105,57.445,55.73,57.17,12485070.0
2020-06-10,NEM,58.25,58.86,55.77,58.73,12610193.0
2020-06-11,NEM,59.15,59.88,54.99,56.04,17015835.0
2020-06-12,NEM,56.91,56.99,55.12,55.45,9475349.0
2020-06-15,NEM,54.09,57.1399,53.16,56.85,12825490.0
2020-06-16,NEM,56.9,57.57,55.51,55.95,11460099.0
2020-06-17,NEM,56.45,56.94,55.23,55.58,13271120.0
2020-06-18,NEM,55.62,56.63,55.24,55.53,13035178.0
2020-06-19,NEM,56.51,57.395,55.77,56.92,26370271.0
2020-06-22,NEM,58.38,59.89,57.81,58.22,17699540.0
2020-06-23,NEM,59.57,59.9,58.67,58.91,16339668.0
2020-06-24,NEM,58.73,59.55,57.77,58.41,8749592.0
2020-06-25,NEM,58.47,58.71,57.47,58.59,6459934.0
2020-06-26,NEM,58.3,60.09,57.69,59.34,26303083.0
2020-06-29,NEM,59.48,59.95,58.66,59.54,7651230.0
2020-06-30,NEM,59.57,61.97,59.1765,61.74,10391127.0
2020-07-01,NEM,61.76,61.77,59.595,61.36,11988038.0
2020-07-02,NEM,60.89,61.99,60.22,60.96,8964693.0
2020-07-06,NEM,61.85,62.31,60.495,61.18,9387024.0
2020-07-07,NEM,60.86,62.6433,60.84,62.47,10209925.0
2020-07-08,NEM,63.79,64.235,62.7,63.43,11399624.0
2020-07-09,NEM,64.27,64.54,61.56,62.73,9096921.0
2020-07-10,NEM,62.63,63.05,61.62,61.88,6538489.0
2020-07-13,NEM,62.57,62.73,59.46,59.54,9016996.0
2020-07-14,NEM,59.25,61.8,59.05,61.77,7314790.0
2020-07-15,NEM,61.65,62.18,60.41,62.14,6046592.0
2020-07-16,NEM,61.81,62.61,61.205,61.55,6494833.0
2020-07-17,NEM,62.08,63.16,61.77,62.92,9044257.0
2020-07-20,NEM,63.48,64.44,63.21,64.19,7681961.0
2020-07-21,NEM,65.01,65.45,63.86,64.29,7544331.0
2020-07-22,NEM,64.72,65.55,63.97,65.47,7382905.0
2020-07-23,NEM,65.7,67.08,64.635,65.77,10443042.0
2020-07-24,NEM,66.26,66.8,65.85,66.75,7294959.0
2020-07-27,NEM,68.69,70.3,68.09,69.04,13252277.0
2020-07-28,NEM,67.89,69.23,67.23,68.59,6888183.0
2020-07-29,NEM,68.75,68.84,66.85,67.89,7710150.0
2020-07-30,NEM,66.21,67.86,64.53,65.66,7473116.0
2020-07-31,NEM,66.66,69.22,65.76,69.2,9772233.0
2020-08-03,NEM,69.19,69.4,67.49,68.15,6926482.0
2020-08-04,NEM,68.37,70.45,67.3,70.25,8556969.0
2020-08-05,NEM,71.76,72.22,69.78,70.37,8496099.0
2020-08-06,NEM,71.28,71.34,69.35,70.11,7672785.0
2020-08-07,NEM,69.02,69.49,68.36,68.91,6696440.0
2020-08-10,NEM,69.28,70.4,67.51,67.89,5950602.0
2020-08-11,NEM,64.59,64.94,62.65,62.87,11867695.0
2020-08-12,NEM,64.47,64.63,62.685,62.99,8866507.0
2020-08-13,NEM,64.03,64.71,63.34,64.11,5931618.0
2020-08-14,NEM,64.22,64.53,63.36,63.85,4155226.0
2020-08-17,NEM,66.12,68.37,65.56,68.35,8873505.0
2020-08-18,NEM,69.8,69.81,66.7566,67.7,5830524.0
2020-08-19,NEM,67.18,68.255,65.39,65.98,7307986.0
2020-08-20,NEM,65.98,67.53,65.73,67.23,4914299.0
2020-08-21,NEM,66.74,66.74,65.22,65.57,6003516.0
2020-08-24,NEM,66.45,66.51,64.78,65.2,4958500.0
2020-08-25,NEM,65.03,65.1,63.26,64.86,4429553.0
2020-08-26,NEM,64.16,65.77,63.97,65.67,4471920.0
2020-08-27,NEM,66.79,66.79,63.71,64.76,5330561.0
2020-08-28,NEM,65.78,67.09,65.28,66.71,4813507.0
2020-08-31,NEM,66.98,68.22,66.68,67.28,6868838.0
2020-09-01,NEM,68.49,68.55,65.86,67.02,7035513.0
2020-09-02,NEM,66.0,67.55,64.77,67.53,8423377.0
2020-09-03,NEM,66.86,67.05,64.76,66.13,8131369.0
2020-09-04,NEM,65.66,65.82,63.35,65.35,7814322.0
2020-09-08,NEM,64.38,66.925,63.425,65.77,6624407.0
2020-09-09,NEM,66.17,68.42,66.16,68.17,6094602.0
2020-09-10,NEM,68.67,68.849,66.37,66.49,5339200.0
2020-09-11,NEM,67.1,67.63,65.81,66.22,4713423.0
2020-09-14,NEM,66.65,67.58,66.54,67.38,5366665.0
2020-09-15,NEM,68.0,68.57,67.05,67.55,4848327.0
2020-09-16,NEM,67.84,68.44,67.225,67.29,6169422.0
2020-09-17,NEM,66.15,66.59,65.38,66.32,7314396.0
2020-09-18,NEM,66.21,66.79,64.54,64.71,16628301.0
2020-09-21,NEM,63.4,64.29,62.72,63.67,11105272.0
2020-09-22,NEM,63.78,64.34,62.5173,63.45,6802320.0
2020-09-23,NEM,62.99,63.09,59.8,60.22,10075955.0
2020-09-24,NEM,59.72,62.18,59.28,61.44,6548938.0
2020-09-25,NEM,60.72,61.66,60.53,61.42,4155792.0
2020-09-28,NEM,62.0,62.83,61.305,62.13,6025851.0
2020-09-29,NEM,62.5,63.45,62.39,62.77,4399252.0
2020-09-30,NEM,62.49,63.9,61.85,63.45,8749679.0
2020-10-01,NEM,64.0,64.1,62.66,62.83,7104041.0
2020-10-02,NEM,62.65,63.4,62.15,62.29,5379599.0
2020-10-05,NEM,62.3,63.95,62.27,63.13,5211571.0
2020-10-06,NEM,63.36,63.73,60.77,60.82,7684005.0
2020-10-07,NEM,61.36,61.78,60.89,61.17,4847948.0
2020-10-08,NEM,61.47,62.16,61.21,61.72,4522813.0
2020-10-09,NEM,62.76,62.92,61.85,62.82,5328375.0
2020-10-12,NEM,62.71,63.465,62.5,62.93,4373373.0
2020-10-13,NEM,62.51,62.85,61.625,62.76,4401298.0
2020-10-14,NEM,63.25,64.33,62.9,64.0,4683717.0
2020-10-15,NEM,63.16,63.64,62.48,63.0,4397067.0
2020-10-16,NEM,63.15,63.34,62.51,62.67,3983869.0
2020-10-19,NEM,63.15,63.34,61.57,61.71,3483441.0
2020-10-20,NEM,61.89,62.1,60.89,61.19,5021975.0
2020-10-21,NEM,61.67,62.38,61.26,61.48,5568720.0
2020-10-22,NEM,60.82,60.935,59.84,60.54,5583364.0
2020-10-23,NEM,60.38,60.99,60.02,60.47,3543704.0
2020-10-26,NEM,59.97,61.03,59.8,60.32,4033229.0
2020-10-27,NEM,60.58,61.798,60.275,61.65,4787060.0
2020-10-28,NEM,60.54,60.55,58.29,58.65,10425527.0
2020-10-29,NEM,58.88,61.47,58.46,60.34,7514097.0
2020-10-30,NEM,60.94,62.97,60.8037,62.84,10236865.0
2020-11-02,NEM,63.3,64.93,62.61,64.73,9108779.0
2020-11-03,NEM,65.12,67.25,65.1,66.67,7831591.0
2020-11-04,NEM,66.67,66.87,64.945,65.08,8883756.0
2020-11-05,NEM,66.93,68.3,66.7,67.85,9013816.0
2020-11-06,NEM,68.39,68.45,67.5,68.14,5159824.0
2020-11-09,NEM,64.26,66.51,62.87,66.01,11381795.0
2020-11-10,NEM,65.55,65.98,64.245,64.89,7601323.0
2020-11-11,NEM,64.3,65.66,63.31,65.63,9100625.0
2020-11-12,NEM,66.0,66.22,64.87,65.02,5923519.0
2020-11-13,NEM,66.0,66.05,65.34,65.71,3948087.0
2020-11-16,NEM,65.4,66.1155,64.92,65.67,3841528.0
2020-11-17,NEM,65.36,65.74,64.44,64.53,4846313.0
2020-11-18,NEM,64.4,64.4,61.49,61.56,6482105.0
2020-11-19,NEM,60.96,61.49,60.43,61.41,7745922.0
2020-11-20,NEM,62.02,62.38,61.13,61.65,5839031.0
2020-11-23,NEM,60.88,61.22,58.58,58.68,9646821.0
2020-11-24,NEM,57.31,57.71,56.55,56.87,12350747.0
2020-11-25,NEM,57.66,58.14,57.31,57.78,8074113.0
2020-11-27,NEM,57.14,58.62,56.76,58.48,4035704.0
2020-11-30,NEM,57.88,58.91,57.46,58.82,13928215.0
2020-12-01,NEM,59.68,60.355,58.46,60.21,11043622.0
2020-12-02,NEM,60.08,60.56,59.585,59.96,7360555.0
2020-12-03,NEM,60.2,60.61,59.21,59.51,6098856.0
