Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,NKE,78.23,78.49,73.0,76.63,23215697.0
2020-03-13,NKE,78.01,78.2,71.76,75.58,23999540.0
2020-03-16,NKE,65.28,72.97,63.37,66.79,19504589.0
2020-03-17,NKE,67.51,73.3299,62.4,69.84,18935892.0
2020-03-18,NKE,64.79,68.33,60.0,68.04,20613629.0
2020-03-19,NKE,67.04,72.71,64.15,70.34,17582616.0
2020-03-20,NKE,71.51,74.06,67.2,67.45,19096718.0
2020-03-23,NKE,65.0,66.88,60.58,62.8,18682539.0
2020-03-24,NKE,65.7,72.66,64.0,72.33,20184618.0
2020-03-25,NKE,80.11,83.4899,76.2,79.01,28427543.0
2020-03-26,NKE,80.17,86.86,80.01,84.3,19676268.0
2020-03-27,NKE,81.7,85.74,79.51,83.23,15555622.0
2020-03-30,NKE,84.0,85.96,81.5,85.38,12266921.0
2020-03-31,NKE,85.13,85.73,82.4,82.74,10794029.0
2020-04-01,NKE,79.49,81.18,78.53,79.23,10555266.0
2020-04-02,NKE,79.0,81.6,77.16,80.14,14062761.0
2020-04-03,NKE,79.36,79.79,77.905,78.86,9292129.0
2020-04-06,NKE,82.0,85.04,81.21,84.63,12760359.0
2020-04-07,NKE,88.7,88.87,84.03,84.16,11430940.0
2020-04-08,NKE,84.7,85.77,83.61,85.3,7352270.0
2020-04-09,NKE,86.99,87.3896,85.16,86.79,8310025.0
2020-04-13,NKE,85.8,85.99,84.14,84.46,5580882.0
2020-04-14,NKE,85.95,87.77,85.48,87.47,6997419.0
2020-04-15,NKE,84.87,85.875,83.71,85.04,9209921.0
2020-04-16,NKE,85.26,86.53,84.55,86.3,9941047.0
2020-04-17,NKE,89.0,90.25,88.36,89.91,9003325.0
2020-04-20,NKE,88.4,89.44,87.52,87.9,8749886.0
2020-04-21,NKE,86.0,86.9,85.09,85.2,7619617.0
2020-04-22,NKE,87.0,89.44,86.42,88.77,7005432.0
2020-04-23,NKE,88.94,89.53,87.26,87.35,5691820.0
2020-04-24,NKE,88.89,89.12,87.645,88.37,4898736.0
2020-04-27,NKE,88.38,89.87,87.31,89.37,7306711.0
2020-04-28,NKE,90.6,90.71,88.63,88.8,5571321.0
2020-04-29,NKE,90.0,91.39,87.83,88.07,10394773.0
2020-04-30,NKE,87.0,88.0,86.505,87.18,10860628.0
