Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,NRG,27.98,29.45,26.46,26.6,6843550.0
2020-03-13,NRG,28.38,28.89,25.86,28.85,6029800.0
2020-03-16,NRG,25.66,28.57,24.75,24.89,4288506.0
2020-03-17,NRG,25.53,26.53,23.24,23.57,4952807.0
2020-03-18,NRG,21.62,22.27,19.54,20.64,5633620.0
2020-03-19,NRG,21.98,24.3,20.55,23.95,3860453.0
2020-03-20,NRG,24.39,25.68,22.92,23.31,7276910.0
2020-03-23,NRG,23.1,23.1,20.97,22.16,5599486.0
2020-03-24,NRG,23.49,26.02,23.35,25.76,4476410.0
2020-03-25,NRG,25.83,27.47,24.33,26.29,4982720.0
2020-03-26,NRG,26.59,28.72,26.1983,28.24,3990606.0
2020-03-27,NRG,26.96,30.39,26.7365,29.55,3734190.0
2020-03-30,NRG,29.65,30.0,27.51,28.45,3913535.0
2020-03-31,NRG,28.63,28.63,26.97,27.26,3568678.0
2020-04-01,NRG,26.33,26.97,25.3,26.84,4090733.0
2020-04-02,NRG,26.67,28.03,26.0747,27.79,6933246.0
2020-04-03,NRG,27.5,28.12,25.75,26.21,7957762.0
2020-04-06,NRG,27.62,27.81,26.405,27.24,3233949.0
2020-04-07,NRG,28.58,29.12,27.27,27.36,3462526.0
2020-04-08,NRG,27.45,29.84,27.2,29.45,2844071.0
2020-04-09,NRG,30.22,31.8,30.15,30.76,4334096.0
2020-04-13,NRG,30.47,30.75,29.22,29.98,2589974.0
2020-04-14,NRG,30.46,30.7749,29.5,30.41,2492162.0
2020-04-15,NRG,29.42,29.87,29.06,29.5,2922754.0
2020-04-16,NRG,29.5,29.89,28.61,29.69,4588157.0
2020-04-17,NRG,30.53,31.59,30.16,31.37,3501506.0
2020-04-20,NRG,30.71,31.87,30.5101,31.03,4047748.0
2020-04-21,NRG,29.91,30.98,29.75,30.31,2655725.0
2020-04-22,NRG,30.92,31.33,30.23,31.09,3610279.0
2020-04-23,NRG,31.25,31.645,30.83,31.23,2388655.0
2020-04-24,NRG,31.75,32.81,31.45,32.6,2782323.0
2020-04-27,NRG,33.24,33.83,32.72,33.68,2556384.0
2020-04-28,NRG,34.81,35.64,33.47,33.71,3702672.0
2020-04-29,NRG,34.72,35.13,34.05,34.64,3777240.0
2020-04-30,NRG,34.16,34.23,32.9423,33.53,3156304.0
2020-05-01,NRG,32.92,33.03,32.25,32.97,2009515.0
2020-05-04,NRG,32.74,33.11,32.06,32.95,2385019.0
2020-05-05,NRG,33.32,34.11,32.88,32.89,2949126.0
2020-05-06,NRG,33.05,33.06,32.18,32.78,2801414.0
2020-05-07,NRG,32.63,33.03,31.4,32.12,4557624.0
2020-05-08,NRG,32.5,33.39,32.29,32.77,2586216.0
2020-05-11,NRG,32.43,32.76,31.885,32.5,2890234.0
2020-05-12,NRG,32.58,32.85,32.05,32.07,3928783.0
2020-05-13,NRG,31.94,32.045,31.115,31.75,3390364.0
2020-05-14,NRG,31.29,32.705,30.69,32.65,2828573.0
2020-05-15,NRG,32.39,32.93,32.01,32.6,2986995.0
2020-05-18,NRG,33.7,35.83,33.25,35.53,4105455.0
2020-05-19,NRG,35.27,36.03,35.03,35.35,2643713.0
2020-05-20,NRG,35.93,36.78,35.4,35.5,2929673.0
2020-05-21,NRG,35.5,35.96,35.225,35.3,2048083.0
2020-05-22,NRG,35.29,35.73,35.08,35.72,1665881.0
2020-05-26,NRG,36.58,37.09,35.59,35.74,2705184.0
2020-05-27,NRG,36.11,36.75,35.68,35.97,2542693.0
