Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,NTAP,37.51,39.0,35.86,35.91,3404482.0
2020-03-13,NTAP,38.29,40.8,36.78,40.72,4526169.0
2020-03-16,NTAP,36.13,42.33,36.0,40.05,4400420.0
2020-03-17,NTAP,42.04,44.24,39.4,42.1,4910933.0
2020-03-18,NTAP,39.64,43.03,38.97,42.31,3545122.0
2020-03-19,NTAP,41.73,41.73,37.97,38.56,3288912.0
2020-03-20,NTAP,38.96,39.88,36.23,36.24,4309645.0
2020-03-23,NTAP,36.93,37.55,34.66,35.35,3914781.0
2020-03-24,NTAP,37.22,38.895,36.755,38.28,6237959.0
2020-03-25,NTAP,38.23,39.41,36.99,37.69,3250592.0
2020-03-26,NTAP,37.82,42.57,37.42,42.45,3253887.0
2020-03-27,NTAP,41.15,42.1,39.35,40.23,2461413.0
2020-03-30,NTAP,41.66,41.66,39.69,40.72,2445410.0
2020-03-31,NTAP,40.15,42.53,40.09,41.69,4282203.0
2020-04-01,NTAP,40.13,40.97,38.91,40.01,2359352.0
2020-04-02,NTAP,38.85,40.7,38.57,39.53,1851617.0
2020-04-03,NTAP,39.25,40.48,37.08,37.34,2376160.0
2020-04-06,NTAP,38.76,39.9,38.19,39.6,3016413.0
2020-04-07,NTAP,40.93,41.91,39.64,39.73,1944598.0
2020-04-08,NTAP,40.17,41.29,39.62,40.98,1595051.0
2020-04-09,NTAP,41.43,43.82,41.39,42.73,2669239.0
2020-04-13,NTAP,42.58,42.72,41.06,41.63,1392728.0
2020-04-14,NTAP,42.96,43.47,42.52,43.14,2546223.0
2020-04-15,NTAP,42.35,42.35,40.28,40.43,1806751.0
2020-04-16,NTAP,40.77,41.42,39.72,41.21,1385734.0
2020-04-17,NTAP,41.99,42.86,41.69,42.15,1549607.0
2020-04-20,NTAP,42.04,42.05,40.76,40.95,1819794.0
2020-04-21,NTAP,40.78,40.91,38.89,38.94,1471211.0
2020-04-22,NTAP,39.69,39.98,39.26,39.68,3001411.0
2020-04-23,NTAP,39.69,41.57,39.675,41.04,4529122.0
2020-04-24,NTAP,41.31,43.2,41.2,43.06,2826016.0
2020-04-27,NTAP,42.61,44.1095,42.6,42.7,2524235.0
2020-04-28,NTAP,43.7,43.74,42.155,42.27,2616594.0
2020-04-29,NTAP,43.63,45.14,42.5216,44.88,5332919.0
2020-04-30,NTAP,44.34,44.34,43.41,43.77,1908654.0
2020-05-01,NTAP,42.57,43.16,41.08,41.48,1902946.0
2020-05-04,NTAP,41.5,41.7,40.005,40.65,3111848.0
2020-05-05,NTAP,41.16,41.99,41.04,41.2,2332546.0
2020-05-06,NTAP,41.64,42.69,41.165,42.6,1707556.0
2020-05-07,NTAP,43.06,43.57,42.78,43.01,1779972.0
2020-05-08,NTAP,43.31,44.98,43.31,44.9,1700070.0
2020-05-11,NTAP,43.52,44.54,42.77,44.01,2164551.0
2020-05-12,NTAP,44.04,44.5,43.02,43.03,2109998.0
2020-05-13,NTAP,42.87,42.87,40.625,41.46,2378911.0
2020-05-14,NTAP,40.86,41.92,39.81,41.84,2093943.0
2020-05-15,NTAP,41.09,42.41,40.9301,42.38,1932944.0
2020-05-18,NTAP,43.8,45.09,43.63,44.65,2335874.0
2020-05-19,NTAP,44.64,45.63,44.11,44.68,1424711.0
