Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,NUE,32.56,34.58,31.6,32.63,4893726.0
2020-03-13,NUE,34.0,35.84,32.585,35.84,4931213.0
2020-03-16,NUE,31.76,33.69,30.3,31.34,3473756.0
2020-03-17,NUE,31.33,32.53,29.75,30.99,4194854.0
2020-03-18,NUE,29.19,29.72,27.525,29.35,5019777.0
2020-03-19,NUE,29.49,33.87,29.12,30.82,3443156.0
2020-03-20,NUE,31.84,32.21,30.0491,30.63,4914743.0
2020-03-23,NUE,30.63,31.4,28.39,28.42,4212120.0
2020-03-24,NUE,30.4,32.65,30.18,31.98,3899245.0
2020-03-25,NUE,32.28,33.57,30.395,31.2,3686362.0
2020-03-26,NUE,31.46,33.78,30.76,33.54,4575418.0
2020-03-27,NUE,32.73,33.94,32.07,33.36,3357309.0
2020-03-30,NUE,33.0,35.14,32.16,34.92,6151514.0
2020-03-31,NUE,34.95,37.16,34.42,36.02,4861290.0
2020-04-01,NUE,34.11,36.14,34.05,35.9,6214289.0
2020-04-02,NUE,35.96,37.07,35.07,35.94,4687919.0
2020-04-03,NUE,35.63,36.41,35.42,35.65,4085077.0
2020-04-06,NUE,37.37,38.07,36.87,37.51,6705827.0
2020-04-07,NUE,39.33,39.41,37.1421,37.32,5044373.0
2020-04-08,NUE,37.7,39.57,37.3175,39.05,3625145.0
2020-04-09,NUE,39.88,40.91,38.81,39.43,3804564.0
2020-04-13,NUE,39.58,39.74,38.27,38.79,3838628.0
2020-04-14,NUE,39.54,39.97,37.84,38.38,3519291.0
2020-04-15,NUE,35.93,36.3,35.035,35.53,4354440.0
2020-04-16,NUE,35.85,35.85,34.7241,35.51,3007680.0
2020-04-17,NUE,36.98,37.63,36.72,37.33,2438383.0
2020-04-20,NUE,36.24,37.29,35.85,36.53,2274590.0
2020-04-21,NUE,35.35,36.4,35.32,36.05,2285000.0
2020-04-22,NUE,37.05,37.12,36.06,36.4,1823226.0
2020-04-23,NUE,36.57,38.36,36.49,37.72,2554157.0
2020-04-24,NUE,38.32,38.91,37.675,37.87,2786619.0
2020-04-27,NUE,38.07,41.35,38.01,40.5,3718220.0
2020-04-28,NUE,39.33,41.2,39.05,40.49,4543412.0
2020-04-29,NUE,41.5,42.99,41.5,42.5,4845373.0
2020-04-30,NUE,41.62,42.23,40.97,41.19,6165528.0
2020-05-01,NUE,40.15,41.61,40.06,41.0,2997839.0
2020-05-04,NUE,40.25,41.22,39.91,41.06,2364786.0
2020-05-05,NUE,41.75,42.15,40.63,40.75,3084462.0
2020-05-06,NUE,41.1,41.45,40.21,40.5,1766869.0
2020-05-07,NUE,41.26,41.77,40.82,40.91,1983900.0
2020-05-08,NUE,41.51,42.27,41.48,42.2,1823755.0
2020-05-11,NUE,41.09,41.64,40.375,40.63,2919297.0
2020-05-12,NUE,40.86,40.86,38.9899,39.01,2104839.0
2020-05-13,NUE,38.58,38.71,36.95,37.32,3201026.0
2020-05-14,NUE,36.37,37.51,35.75,37.49,2875166.0
2020-05-15,NUE,37.17,38.15,36.8,38.07,4808208.0
2020-05-18,NUE,40.03,41.36,40.01,40.86,2554529.0
2020-05-19,NUE,40.73,41.25,40.23,40.41,1268707.0
2020-05-20,NUE,40.77,41.68,40.58,40.68,1950080.0
2020-05-21,NUE,40.55,41.08,39.93,40.0,1713780.0
2020-05-22,NUE,40.0,40.14,38.9802,39.48,1331517.0
2020-05-26,NUE,41.07,41.99,40.64,41.51,2146665.0
2020-05-27,NUE,42.32,43.17,42.21,43.1,2477569.0
2020-05-28,NUE,43.54,43.89,42.28,42.55,2277773.0
2020-05-29,NUE,42.17,42.39,41.33,42.26,5333141.0
2020-06-01,NUE,42.27,42.835,41.96,42.46,1792613.0
2020-06-02,NUE,42.84,43.33,42.6,43.23,1864434.0
2020-06-03,NUE,44.0,44.51,43.61,44.1,1680453.0
2020-06-04,NUE,43.99,44.65,43.4,44.64,2228440.0
2020-06-05,NUE,46.25,46.63,45.06,45.47,2505150.0
2020-06-08,NUE,45.58,46.3,45.2,45.49,3089696.0
2020-06-09,NUE,44.66,44.76,43.51,44.25,2217842.0
2020-06-10,NUE,44.3,45.0,43.76,44.1,2093368.0
2020-06-11,NUE,41.52,42.84,39.525,39.66,3145803.0
2020-06-12,NUE,41.29,41.73,40.24,41.2,2201693.0
2020-06-15,NUE,39.77,42.53,39.59,41.92,3005166.0
2020-06-16,NUE,45.1,45.315,43.34,44.59,4378013.0
2020-06-17,NUE,44.59,44.79,43.7,44.0,2485023.0
2020-06-18,NUE,43.5,44.43,43.3,43.52,2457996.0
2020-06-19,NUE,44.24,44.37,42.36,42.7,3700250.0
2020-06-22,NUE,42.53,42.74,42.02,42.3,1794320.0
2020-06-23,NUE,42.94,43.17,42.2,42.22,1858565.0
2020-06-24,NUE,41.92,41.99,40.59,40.67,2395268.0
2020-06-25,NUE,40.25,41.46,39.9,41.42,2034627.0
2020-06-26,NUE,40.96,41.106,40.12,40.6,4043583.0
