Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,ON,14.26,14.4401,12.61,12.93,16276167.0
2020-03-13,ON,13.83,14.49,12.95,14.49,13639672.0
2020-03-16,ON,12.75,14.25,11.61,11.81,12790579.0
2020-03-17,ON,12.1,12.69,10.68,11.55,17873723.0
2020-03-18,ON,10.61,10.98,8.17,8.45,16677908.0
2020-03-19,ON,8.36,10.7,8.27,10.51,16583884.0
2020-03-20,ON,10.89,11.96,10.51,10.82,16326499.0
2020-03-23,ON,11.06,11.67,10.27,11.49,9471312.0
2020-03-24,ON,12.42,13.87,12.215,13.85,14143026.0
2020-03-25,ON,14.08,15.21,13.06,14.79,15784563.0
2020-03-26,ON,15.04,15.1,13.68,14.16,13275825.0
2020-03-27,ON,13.5,13.5,12.85,12.89,10176091.0
2020-03-30,ON,12.9,13.195,12.46,12.97,9676077.0
2020-03-31,ON,13.0,13.49,12.275,12.44,11830012.0
2020-04-01,ON,11.94,12.23,10.84,11.0,12928790.0
2020-04-02,ON,10.96,11.77,10.61,11.27,14458217.0
2020-04-03,ON,11.15,11.39,10.78,10.94,8864033.0
2020-04-06,ON,11.7,12.96,11.65,12.87,14363599.0
2020-04-07,ON,13.7,14.22,12.648,12.78,11274276.0
2020-04-08,ON,13.07,13.8,12.71,13.73,11037307.0
2020-04-09,ON,14.1,14.69,13.58,13.73,13558585.0
2020-04-13,ON,13.91,14.26,13.44,14.21,7279894.0
2020-04-14,ON,14.61,14.99,14.14,14.58,7651865.0
2020-04-15,ON,13.84,14.0,13.32,13.62,9869986.0
2020-04-16,ON,13.71,13.87,13.145,13.335,8082304.0
2020-04-17,ON,13.96,14.17,13.54,13.73,6720938.0
2020-04-20,ON,13.28,13.84,13.2206,13.36,5482916.0
2020-04-21,ON,13.05,13.215,12.695,12.83,6639791.0
2020-04-22,ON,13.44,14.19,13.13,14.11,10940214.0
2020-04-23,ON,14.18,14.37,13.83,13.92,6314063.0
2020-04-24,ON,13.99,14.78,13.97,14.66,5688205.0
2020-04-27,ON,14.84,15.45,14.81,15.39,6619885.0
2020-04-28,ON,16.34,16.6,15.645,15.84,9205785.0
2020-04-29,ON,16.45,17.27,16.41,17.25,9500546.0
2020-04-30,ON,17.1376,17.18,16.03,16.045,6769876.0
2020-05-01,ON,15.41,15.68,14.88,15.12,8555523.0
2020-05-04,ON,14.74,14.9,14.32,14.87,9392334.0
2020-05-05,ON,15.34,15.715,15.07,15.15,5946230.0
2020-05-06,ON,15.46,15.64,15.28,15.44,4551667.0
2020-05-07,ON,15.7566,16.11,15.74,15.98,5606071.0
2020-05-08,ON,16.08,17.15,16.0,17.12,12273941.0
2020-05-11,ON,15.75,16.6,15.64,15.66,17093784.0
2020-05-12,ON,15.7,15.875,14.9,14.95,11087428.0
2020-05-13,ON,15.15,15.15,13.9,14.05,12047672.0
2020-05-14,ON,13.75,14.74,13.485,14.715,12051842.0
2020-05-15,ON,14.02,14.52,13.98,14.15,7547626.0
2020-05-18,ON,14.83,15.7,14.83,15.61,9872752.0
2020-05-19,ON,15.54,15.91,15.1177,15.48,7251364.0
2020-05-20,ON,15.92,16.31,15.91,16.27,6751879.0
2020-05-21,ON,16.2,16.44,15.565,15.625,6838307.0
2020-05-22,ON,15.76,15.77,15.28,15.74,4442425.0
2020-05-26,ON,16.34,16.845,16.22,16.68,8355410.0
2020-05-27,ON,16.78,17.475,16.42,17.435,10048685.0
2020-05-28,ON,17.27,17.27,16.0,16.06,7266098.0
2020-05-29,ON,16.04,16.71,15.91,16.49,9619917.0
2020-06-01,ON,16.48,16.87,16.34,16.78,5064698.0
2020-06-02,ON,16.87,17.44,16.82,17.14,7078215.0
2020-06-03,ON,17.66,18.99,17.6,18.83,17354615.0
2020-06-04,ON,18.88,19.22,18.44,18.98,8411451.0
2020-06-05,ON,19.8,20.605,19.68,20.16,14985994.0
2020-06-08,ON,20.52,21.38,20.49,20.82,18855679.0
2020-06-09,ON,20.67,20.7,20.03,20.17,10363622.0
2020-06-10,ON,20.09,20.16,19.3,19.46,10677117.0
2020-06-11,ON,18.31,18.99,18.12,18.13,8313787.0
2020-06-12,ON,19.1,19.49,18.45,18.99,9760695.0
2020-06-15,ON,18.18,19.6,18.05,19.56,10350101.0
2020-06-16,ON,20.25,20.47,19.48,19.94,17208163.0
2020-06-17,ON,20.12,20.38,19.77,19.79,20183707.0
2020-06-18,ON,19.64,19.855,19.44,19.62,6368037.0
2020-06-19,ON,20.105,20.18,19.26,19.39,8667234.0
2020-06-22,ON,19.34,19.62,19.04,19.59,12858943.0
2020-06-23,ON,20.3849,20.45,20.1,20.18,8436642.0
2020-06-24,ON,19.83,19.95,19.135,19.29,8677697.0
2020-06-25,ON,19.09,19.5,18.905,19.48,6148603.0
2020-06-26,ON,19.31,19.4,18.84,19.09,8914291.0
2020-06-29,ON,19.16,19.74,18.745,19.52,12771700.0
2020-06-30,ON,19.59,19.95,19.5,19.82,10809999.0
2020-07-01,ON,20.17,20.1803,19.025,19.05,8470108.0
2020-07-02,ON,19.4,19.73,19.055,19.18,7388992.0
2020-07-06,ON,19.595,19.84,19.41,19.66,9164636.0
2020-07-07,ON,19.44,19.665,19.16,19.27,12581427.0
2020-07-08,ON,19.39,19.98,19.16,19.97,10226522.0
2020-07-09,ON,20.08,20.96,19.37,20.76,15344410.0
2020-07-10,ON,20.81,21.0,20.35,20.49,13336881.0
2020-07-13,ON,21.25,21.54,20.525,20.55,13518987.0
2020-07-14,ON,20.41,20.74,19.77,20.69,12283736.0
2020-07-15,ON,21.18,21.64,20.71,21.53,10279970.0
2020-07-16,ON,21.01,21.52,20.82,21.34,8689156.0
2020-07-17,ON,21.48,21.545,21.18,21.19,9774186.0
2020-07-20,ON,21.29,21.665,21.08,21.63,6770574.0
2020-07-21,ON,21.83,22.08,21.61,21.66,8890441.0
2020-07-22,ON,21.76,22.045,21.3,21.45,7890412.0
2020-07-23,ON,21.31,21.455,20.61,20.86,8258047.0
2020-07-24,ON,20.39,20.95,20.29,20.47,5982718.0
2020-07-27,ON,20.78,21.305,20.68,21.28,5747569.0
2020-07-28,ON,20.79,21.17,20.48,20.5,4024255.0
2020-07-29,ON,20.7,21.055,20.6959,20.96,4289996.0
2020-07-30,ON,20.46,20.785,20.27,20.77,8443061.0
2020-07-31,ON,20.84,20.8692,20.32,20.6,6496515.0
2020-08-03,ON,20.71,21.3,20.65,21.24,4630270.0
2020-08-04,ON,21.28,21.735,21.2,21.69,4500836.0
2020-08-05,ON,21.5,21.5,20.9,21.26,8035519.0
2020-08-06,ON,21.15,21.21,20.87,21.13,4867198.0
2020-08-07,ON,21.13,21.34,20.45,20.84,10871423.0
2020-08-10,ON,20.96,22.0882,20.89,21.92,10637821.0
2020-08-11,ON,22.08,23.105,21.95,22.19,9895886.0
2020-08-12,ON,22.35,22.44,22.06,22.38,5162016.0
2020-08-13,ON,22.28,22.415,21.82,21.9,7562323.0
2020-08-14,ON,22.31,22.31,21.55,22.04,4283680.0
2020-08-17,ON,22.26,22.34,21.8,21.96,5022509.0
2020-08-18,ON,22.14,22.149,21.73,21.75,4102190.0
2020-08-19,ON,21.69,21.875,21.46,21.66,5180108.0
2020-08-20,ON,21.3,21.52,21.03,21.06,4860297.0
2020-08-21,ON,21.0,21.0,20.71,20.91,10554363.0
2020-08-24,ON,21.08,21.39,20.965,21.385,3439215.0
2020-08-25,ON,21.48,21.72,21.24,21.59,3161902.0
2020-08-26,ON,21.59,21.75,21.33,21.68,4127230.0
2020-08-27,ON,21.77,21.8299,21.18,21.33,3431291.0
2020-08-28,ON,21.44,22.14,21.03,22.025,4367468.0
2020-08-31,ON,21.88,21.99,21.35,21.37,5123939.0
2020-09-01,ON,21.5,21.77,21.21,21.75,7620585.0
2020-09-02,ON,21.8,22.46,21.66,22.38,7411234.0
2020-09-03,ON,22.07,22.165,21.335,21.45,7166035.0
2020-09-04,ON,21.44,23.12,21.37,22.68,14499030.0
2020-09-08,ON,21.77,21.99,20.91,20.93,12058046.0
2020-09-09,ON,21.52,21.99,21.185,21.82,7752457.0
2020-09-10,ON,21.5,22.26,21.5,21.52,6387894.0
2020-09-11,ON,21.87,22.03,21.315,21.575,4600693.0
2020-09-14,ON,21.9642,22.15,21.65,22.01,3815908.0
2020-09-15,ON,22.21,22.255,21.91,22.02,4848183.0
2020-09-16,ON,22.33,22.685,22.0,22.05,5361490.0
2020-09-17,ON,21.5,22.17,21.4,21.9,5092144.0
2020-09-18,ON,22.09,22.09,21.24,21.42,7283658.0
2020-09-21,ON,21.01,21.03,20.41,20.61,7008558.0
2020-09-22,ON,20.97,21.0,20.505,20.82,9154671.0
2020-09-23,ON,20.9,21.055,20.06,20.08,4974312.0
2020-09-24,ON,19.92,20.71,19.79,20.31,5663726.0
2020-09-25,ON,20.16,20.54,19.75,20.49,5482602.0
2020-09-28,ON,20.97,21.75,20.81,21.725,5514991.0
2020-09-29,ON,21.6,21.96,21.55,21.78,5047690.0
2020-09-30,ON,21.7,22.065,21.61,21.69,4084320.0
2020-10-01,ON,22.4,23.37,22.35,22.91,10539603.0
2020-10-02,ON,21.95,22.93,21.91,22.44,7437561.0
2020-10-05,ON,22.78,23.19,22.71,23.15,5340326.0
2020-10-06,ON,23.18,23.49,22.67,22.89,5569699.0
2020-10-07,ON,23.37,23.53,23.22,23.35,6190154.0
2020-10-08,ON,25.0381,26.06,24.9,26.04,22939640.0
2020-10-09,ON,26.1,26.84,25.51,26.35,15598190.0
2020-10-12,ON,26.52,26.58,26.245,26.51,6152270.0
2020-10-13,ON,26.36,26.41,25.76,25.905,8031266.0
2020-10-14,ON,26.0,26.115,25.67,25.93,4163821.0
2020-10-15,ON,25.28,26.12,25.084,26.07,6089690.0
2020-10-16,ON,26.48,26.53,26.02,26.07,4731917.0
2020-10-19,ON,26.11,26.59,25.9602,26.21,5676410.0
2020-10-20,ON,26.07,26.44,25.905,26.1,6410583.0
2020-10-21,ON,26.21,26.25,25.51,25.53,4855463.0
2020-10-22,ON,25.69,26.0,25.455,25.92,3393273.0
2020-10-23,ON,26.04,26.24,25.775,26.16,3787182.0
2020-10-26,ON,25.77,25.865,25.19,25.55,7932553.0
2020-10-27,ON,25.45,25.58,25.04,25.17,4246328.0
2020-10-28,ON,24.62,24.75,24.23,24.54,4919737.0
2020-10-29,ON,24.57,25.61,24.51,25.19,10694116.0
2020-10-30,ON,24.99,25.26,24.56,25.09,11082193.0
2020-11-02,ON,24.31,24.835,23.86,24.36,13060914.0
2020-11-03,ON,25.03,25.37,24.71,25.05,9188390.0
2020-11-04,ON,25.25,26.3,25.045,25.89,12381686.0
2020-11-05,ON,26.38,26.66,25.9917,26.45,12078733.0
2020-11-06,ON,26.49,27.08,26.26,26.58,8354887.0
2020-11-09,ON,28.0,28.8,27.49,27.53,14649889.0
2020-11-10,ON,27.5,27.9052,26.935,27.09,8977985.0
2020-11-11,ON,27.31,28.4,27.31,27.93,9043666.0
2020-11-12,ON,27.78,27.945,27.22,27.48,7506800.0
2020-11-13,ON,27.95,28.4,27.79,28.055,7953845.0
2020-11-16,ON,28.5,28.77,28.05,28.59,9060437.0
2020-11-17,ON,28.27,28.4,27.74,28.16,7050574.0
2020-11-18,ON,28.13,28.44,27.55,27.6,10394942.0
2020-11-19,ON,27.42,27.94,27.32,27.85,7949995.0
2020-11-20,ON,27.94,28.17,27.4,27.44,6346907.0
2020-11-23,ON,27.77,28.58,27.615,28.41,8376539.0
2020-11-24,ON,29.06,29.06,28.27,28.61,8590035.0
2020-11-25,ON,28.37,29.12,28.09,28.58,7708220.0
2020-11-27,ON,29.29,29.43,28.55,28.65,2908950.0
2020-11-30,ON,28.79,28.99,28.34,28.75,6810421.0
2020-12-01,ON,29.05,29.63,28.98,29.27,6611269.0
2020-12-02,ON,28.92,29.13,28.74,28.96,5090986.0
2020-12-03,ON,29.17,29.745,29.03,29.1,4814335.0
2020-12-04,ON,29.46,30.04,29.15,29.92,8148536.0
2020-12-07,ON,30.03,30.755,29.88,30.575,8426803.0
2020-12-08,ON,31.95,32.6,31.24,31.39,17331770.0
2020-12-09,ON,31.3,31.77,30.405,30.67,9272030.0
