Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,OXY,10.23,14.84,9.44,9.955,75136138.0
2020-03-13,OXY,13.31,14.56,11.5901,14.26,67847586.0
2020-03-16,OXY,11.4,13.68,11.2,12.02,39032100.0
2020-03-17,OXY,12.38,12.805,11.0501,11.34,37090732.0
2020-03-18,OXY,10.45,10.84,9.0,10.53,42709412.0
2020-03-19,OXY,10.41,10.98,9.4,10.83,39243395.0
2020-03-20,OXY,11.15,11.18,9.55,10.23,56250852.0
2020-03-23,OXY,10.25,10.29,9.4701,9.69,38013687.0
2020-03-24,OXY,10.4,10.77,9.7,10.72,43960070.0
2020-03-25,OXY,11.25,12.635,10.22,12.0,56717395.0
2020-03-26,OXY,12.07,15.29,12.0,12.83,71718394.0
2020-03-27,OXY,12.04,12.38,11.49,11.61,35427333.0
2020-03-30,OXY,11.23,11.45,10.2,11.01,46711937.0
2020-03-31,OXY,11.595,12.08,11.11,11.58,38509806.0
2020-04-01,OXY,11.04,11.17,10.12,10.74,40817519.0
2020-04-02,OXY,11.48,13.91,11.2,12.77,81339430.0
2020-04-03,OXY,13.83,14.2,11.51,13.0,93219542.0
2020-04-06,OXY,12.6,13.5,12.43,13.44,55612145.0
2020-04-07,OXY,14.18,15.2,13.617,13.84,56131138.0
2020-04-08,OXY,14.2,15.68,14.05,15.56,50351863.0
2020-04-09,OXY,16.7,18.27,14.27,15.36,111454090.0
2020-04-13,OXY,15.99,16.02,14.77,15.33,44956117.0
2020-04-14,OXY,15.4,15.82,14.64,14.9,41583754.0
2020-04-15,OXY,13.9,13.9,13.0,13.61,48366013.0
2020-04-16,OXY,13.63,13.66,12.16,12.2,41250136.0
2020-04-17,OXY,12.33,13.65,12.25,13.63,53610486.0
2020-04-20,OXY,12.04,13.22,11.9,12.59,75578051.0
2020-04-21,OXY,12.0,12.39,11.5,12.34,63839914.0
2020-04-22,OXY,13.08,13.3721,12.75,13.02,45229418.0
2020-04-23,OXY,13.42,14.4,13.36,13.87,55885397.0
2020-04-24,OXY,14.2,14.5,13.48,13.81,43067629.0
2020-04-27,OXY,13.35,14.285,12.75,14.15,40414099.0
2020-04-28,OXY,14.46,15.255,14.3,15.17,48133784.0
2020-04-29,OXY,15.94,16.88,15.82,16.78,60715889.0
2020-04-30,OXY,16.89,17.24,15.8524,16.6,46154534.0
2020-05-01,OXY,16.02,16.42,15.085,15.24,37524769.0
2020-05-04,OXY,14.37,15.57,14.16,15.52,38538788.0
2020-05-05,OXY,16.46,16.81,15.0,15.32,50382963.0
2020-05-06,OXY,15.51,15.96,13.39,13.4,58341874.0
2020-05-07,OXY,13.86,14.52,13.7,13.88,36297653.0
2020-05-08,OXY,14.31,15.05,14.1,15.02,32512748.0
2020-05-11,OXY,14.92,15.25,14.64,15.03,24342031.0
2020-05-12,OXY,15.26,15.375,14.555,14.58,27935182.0
2020-05-13,OXY,14.65,14.65,13.28,13.44,36110339.0
2020-05-14,OXY,13.15,14.15,12.75,13.76,32669479.0
2020-05-15,OXY,13.69,14.28,13.51,13.82,28612025.0
2020-05-18,OXY,14.78,15.23,14.66,15.07,41187382.0
2020-05-19,OXY,15.19,15.19,14.36,14.37,29053754.0
2020-05-20,OXY,14.74,15.15,14.56,14.99,29907917.0
2020-05-21,OXY,15.0,15.16,14.19,14.25,36141477.0
2020-05-22,OXY,14.16,14.235,13.67,14.13,27097157.0
2020-05-26,OXY,14.7,14.77,14.21,14.4,29000064.0
