Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,PAYX,69.655,71.58,64.61,66.46,6438193.0
2020-03-13,PAYX,69.73,71.56,65.11,71.56,5517647.0
2020-03-16,PAYX,63.61,64.43,57.62,57.62,6031382.0
2020-03-17,PAYX,58.47,61.27,54.48,60.79,7900323.0
2020-03-18,PAYX,55.93,63.88,47.8727,63.3,5993483.0
2020-03-19,PAYX,62.16,62.5047,54.47,58.03,5975809.0
2020-03-20,PAYX,58.28,58.43,51.37,51.97,7233388.0
2020-03-23,PAYX,51.69,52.5,48.5,50.39,5536235.0
2020-03-24,PAYX,52.78,61.87,52.76,59.56,5367730.0
2020-03-25,PAYX,59.0,65.67,54.3367,60.08,6574709.0
2020-03-26,PAYX,60.17,66.14,60.0154,65.66,3942073.0
2020-03-27,PAYX,62.55,63.9851,59.68,60.17,4902733.0
2020-03-30,PAYX,60.68,64.95,60.28,64.42,4076925.0
2020-03-31,PAYX,63.9,64.85,61.41,62.92,5955396.0
2020-04-01,PAYX,59.42,62.15,59.12,60.605,5876437.0
2020-04-02,PAYX,59.92,61.63,59.79,61.03,3993157.0
2020-04-03,PAYX,60.91,61.51,58.85,59.55,6542695.0
2020-04-06,PAYX,62.7,65.73,62.18,65.29,4038357.0
2020-04-07,PAYX,68.28,68.792,64.64,64.82,4576609.0
2020-04-08,PAYX,65.33,66.41,63.9398,65.06,3484134.0
2020-04-09,PAYX,66.23,67.69,65.74,66.54,3246949.0
2020-04-13,PAYX,65.56,65.745,63.49,64.15,2159525.0
2020-04-14,PAYX,65.33,66.25,64.38,66.14,3561306.0
2020-04-15,PAYX,64.79,65.14,63.9428,64.89,2761855.0
2020-04-16,PAYX,65.01,65.225,63.31,63.77,2403947.0
2020-04-17,PAYX,65.98,67.55,65.7,67.5,3398622.0
2020-04-20,PAYX,66.11,67.67,65.85,66.46,2544816.0
2020-04-21,PAYX,64.97,65.55,63.77,64.02,3177570.0
2020-04-22,PAYX,65.54,67.7,65.29,66.82,2884070.0
2020-04-23,PAYX,67.23,68.19,66.56,66.91,2613938.0
2020-04-24,PAYX,67.63,68.68,66.74,68.09,3492003.0
2020-04-27,PAYX,68.7,68.99,67.97,68.56,2027382.0
2020-04-28,PAYX,69.6,70.6899,68.47,68.66,2694861.0
2020-04-29,PAYX,70.27,70.86,68.16,69.86,2585697.0
2020-04-30,PAYX,69.63,69.69,67.5,68.52,2790009.0
2020-05-01,PAYX,67.14,67.7,65.95,66.6,2475732.0
2020-05-04,PAYX,65.93,67.3,65.17,67.17,2020562.0
2020-05-05,PAYX,68.02,68.84,67.51,67.68,1675409.0
2020-05-06,PAYX,68.3,68.42,66.95,67.12,1830577.0
