Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,PEG,46.11,51.08,44.25,44.59,7973506.0
2020-03-13,PEG,46.92,47.16,42.23,44.14,8898251.0
2020-03-16,PEG,40.8,44.89,39.5606,40.28,6389262.0
2020-03-17,PEG,41.22,43.34,40.2,43.08,7757139.0
2020-03-18,PEG,40.66,41.27,36.64,38.26,6440721.0
2020-03-19,PEG,38.22,40.7,36.23,39.14,5757741.0
2020-03-20,PEG,39.14,40.38,37.51,37.82,7463708.0
2020-03-23,PEG,37.27,38.11,34.75,36.86,5900314.0
2020-03-24,PEG,38.52,41.2,38.27,40.78,4450243.0
2020-03-25,PEG,40.69,43.34,39.57,40.89,5453530.0
2020-03-26,PEG,41.07,44.32,40.49,44.01,3945351.0
2020-03-27,PEG,42.52,45.91,42.4,44.48,4072735.0
2020-03-30,PEG,44.97,45.43,43.46,44.51,5603613.0
2020-03-31,PEG,44.17,45.84,43.76,44.91,7373696.0
2020-04-01,PEG,43.0,43.44,41.63,42.79,4322829.0
2020-04-02,PEG,42.34,45.54,42.19,45.28,5489594.0
2020-04-03,PEG,44.86,45.82,43.93,44.36,4590418.0
2020-04-06,PEG,46.01,47.39,45.42,46.85,5361462.0
2020-04-07,PEG,48.36,49.84,47.5,47.53,4683736.0
2020-04-08,PEG,47.15,51.24,47.15,50.86,4747265.0
2020-04-09,PEG,51.56,54.16,51.5361,52.95,4137917.0
2020-04-13,PEG,52.03,52.65,51.06,51.66,2379389.0
2020-04-14,PEG,52.6,53.605,51.904,53.48,4943195.0
2020-04-15,PEG,52.14,52.43,50.91,52.01,3327554.0
2020-04-16,PEG,52.07,52.82,51.2966,52.17,3698907.0
2020-04-17,PEG,53.14,54.87,52.76,54.62,3478824.0
2020-04-20,PEG,53.71,53.95,51.63,51.84,3164905.0
2020-04-21,PEG,50.56,51.2525,49.2406,50.01,3317886.0
2020-04-22,PEG,50.99,51.64,50.04,51.1,2444785.0
2020-04-23,PEG,51.14,51.615,50.01,50.37,2412683.0
2020-04-24,PEG,50.82,51.605,50.31,51.37,2842444.0
2020-04-27,PEG,51.65,52.235,51.23,52.01,2322868.0
2020-04-28,PEG,52.64,53.41,51.69,51.88,2020695.0
2020-04-29,PEG,52.85,53.15,51.61,52.3,2457040.0
2020-04-30,PEG,52.06,52.15,50.13,50.71,2636653.0
2020-05-01,PEG,50.2,50.3615,49.03,49.41,2487477.0
