Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,PFG,32.72,33.78,30.8575,30.98,4458437.0
2020-03-13,PFG,33.36,35.62,31.59,35.55,4434870.0
2020-03-16,PFG,29.51,32.69,29.17,29.31,2840373.0
2020-03-17,PFG,30.11,30.775,27.6,28.66,4189862.0
2020-03-18,PFG,26.4,27.5,25.34,27.22,3218984.0
2020-03-19,PFG,26.53,29.01,25.51,26.89,2593271.0
2020-03-20,PFG,27.05,28.04,25.14,25.5,4032532.0
2020-03-23,PFG,25.31,25.84,23.31,24.16,2447235.0
2020-03-24,PFG,25.99,29.73,25.84,29.61,3098246.0
2020-03-25,PFG,30.23,34.86,29.78,32.59,3287020.0
2020-03-26,PFG,33.0,34.66,32.25,33.85,2834917.0
2020-03-27,PFG,32.0,34.05,31.51,32.6,2275718.0
2020-03-30,PFG,32.2,33.44,30.96,33.21,2390631.0
2020-03-31,PFG,32.92,33.115,30.88,31.34,2714480.0
2020-04-01,PFG,29.37,29.75,27.02,27.4,2634163.0
2020-04-02,PFG,27.01,28.14,26.09,26.6,2758613.0
2020-04-03,PFG,26.325,27.1,25.8,26.41,2037447.0
2020-04-06,PFG,28.36,28.62,27.57,28.26,2966068.0
2020-04-07,PFG,30.61,31.335,28.71,28.81,2497974.0
2020-04-08,PFG,29.32,30.9252,28.67,30.44,3380631.0
2020-04-09,PFG,31.85,34.5,31.35,32.6,2631924.0
2020-04-13,PFG,32.71,32.75,31.085,31.5,2308958.0
2020-04-14,PFG,32.11,32.57,31.26,31.58,2158916.0
2020-04-15,PFG,30.04,30.33,29.22,29.63,1988448.0
2020-04-16,PFG,29.34,29.61,28.4,28.63,1929194.0
2020-04-17,PFG,30.12,30.87,29.91,30.535,2616057.0
2020-04-20,PFG,29.6,30.51,29.05,29.79,1655694.0
2020-04-21,PFG,28.5,29.418,28.11,28.43,1506451.0
2020-04-22,PFG,29.39,29.5,28.85,29.05,1595417.0
2020-04-23,PFG,30.17,30.17,29.0,29.47,1793444.0
2020-04-24,PFG,29.81,30.33,28.76,29.98,2994067.0
2020-04-27,PFG,30.31,31.92,30.26,31.69,2758551.0
2020-04-28,PFG,34.28,35.13,32.805,33.61,3388504.0
2020-04-29,PFG,35.04,36.8,34.7,36.55,4150592.0
2020-04-30,PFG,35.66,36.69,35.25,36.35,4541952.0
2020-05-01,PFG,35.28,35.54,34.64,35.1,2774166.0
2020-05-04,PFG,34.34,35.15,33.89,34.97,1944588.0
2020-05-05,PFG,35.57,35.842,34.67,34.86,2270433.0
2020-05-06,PFG,35.34,35.44,33.71,33.96,2275177.0
2020-05-07,PFG,34.19,36.66,34.19,36.29,2416963.0
2020-05-08,PFG,37.24,38.31,36.58,38.21,2016460.0
2020-05-11,PFG,37.22,37.53,36.52,36.61,1549006.0
2020-05-12,PFG,37.01,37.33,34.92,34.93,1540311.0
2020-05-13,PFG,34.02,34.76,32.26,32.51,1761782.0
2020-05-14,PFG,31.59,33.7294,30.74,33.62,2116217.0
2020-05-15,PFG,33.27,34.25,32.71,33.85,1653096.0
2020-05-18,PFG,35.6182,37.18,35.27,36.77,1855706.0
2020-05-19,PFG,36.31,36.48,35.27,35.3,1233815.0
2020-05-20,PFG,36.12,36.7,35.93,36.12,1019599.0
2020-05-21,PFG,35.85,37.1,35.5301,37.0,1309428.0
2020-05-22,PFG,37.19,37.2,36.23,36.93,1776744.0
2020-05-26,PFG,38.74,39.71,38.51,39.13,2348534.0
2020-05-27,PFG,40.96,41.58,40.07,40.99,1625630.0
2020-05-28,PFG,41.62,41.79,40.36,40.8,2377998.0
2020-05-29,PFG,38.98,40.51,38.06,38.62,3322381.0
2020-06-01,PFG,38.62,39.86,37.95,39.52,2049866.0
2020-06-02,PFG,39.97,40.61,39.48,39.71,1701819.0
2020-06-03,PFG,40.68,43.17,40.34,43.03,1874422.0
2020-06-04,PFG,42.33,44.64,42.08,44.64,2077094.0
2020-06-05,PFG,47.26,48.41,46.57,47.05,2170154.0
