Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,PHM,32.59,32.93,28.53,30.49,6680622.0
2020-03-13,PHM,32.07,32.69,28.59,30.53,7360577.0
2020-03-16,PHM,23.4,25.42,23.4,24.08,6994189.0
2020-03-17,PHM,24.59,25.1,21.84,23.09,8302713.0
2020-03-18,PHM,20.92,21.87,17.51,19.46,9165894.0
2020-03-19,PHM,19.17,21.45,18.2,19.53,7701571.0
2020-03-20,PHM,20.03,21.05,19.0,19.77,13446413.0
2020-03-23,PHM,18.99,19.5,17.12,17.74,11195477.0
2020-03-24,PHM,19.03,22.49,18.965,22.08,6485727.0
2020-03-25,PHM,22.64,25.2,21.68,24.22,7330936.0
2020-03-26,PHM,24.72,25.85,24.12,25.71,5846328.0
2020-03-27,PHM,24.5,25.72,23.82,24.52,6605981.0
2020-03-30,PHM,24.13,24.3,22.85,23.76,4213624.0
2020-03-31,PHM,23.44,23.62,22.16,22.32,5878757.0
2020-04-01,PHM,20.89,21.38,20.55,20.8,6588676.0
2020-04-02,PHM,20.6,21.27,19.37,19.79,6819416.0
2020-04-03,PHM,19.5,19.93,18.28,18.92,6062689.0
2020-04-06,PHM,20.49,21.93,20.16,21.7,5269936.0
2020-04-07,PHM,23.52,24.41,22.4,23.03,8874693.0
2020-04-08,PHM,23.59,25.8,23.14,25.52,6446463.0
2020-04-09,PHM,26.79,27.89,25.89,26.34,4330200.0
2020-04-13,PHM,26.04,26.14,23.99,24.8,5190203.0
2020-04-14,PHM,25.62,26.1,24.74,25.68,4889238.0
2020-04-15,PHM,24.35,24.58,23.56,23.88,4591779.0
2020-04-16,PHM,23.91,24.67,23.45,24.27,5707833.0
2020-04-17,PHM,25.51,26.58,24.98,25.52,5761257.0
2020-04-20,PHM,24.59,25.1,23.98,24.31,5910016.0
2020-04-21,PHM,23.5,24.73,23.32,24.18,4944177.0
2020-04-22,PHM,24.91,25.045,24.0,24.07,4041024.0
2020-04-23,PHM,23.33,25.16,23.18,23.87,4314582.0
2020-04-24,PHM,24.03,25.855,24.03,25.64,5596079.0
2020-04-27,PHM,26.03,27.5,25.865,27.24,4664079.0
2020-04-28,PHM,28.99,30.04,28.44,28.99,8447812.0
2020-04-29,PHM,29.86,30.825,29.835,30.29,6433022.0
2020-04-30,PHM,29.47,29.49,28.03,28.27,7371083.0
2020-05-01,PHM,27.7,27.78,26.73,27.24,4404602.0
2020-05-04,PHM,26.71,27.57,26.21,27.27,4890757.0
2020-05-05,PHM,27.79,28.38,27.56,27.8,3996239.0
2020-05-06,PHM,27.95,28.225,27.21,27.63,4271633.0
2020-05-07,PHM,28.13,28.67,27.91,28.18,4841979.0
2020-05-08,PHM,28.84,30.09,28.47,29.88,3391395.0
2020-05-11,PHM,29.2,29.98,28.54,29.42,4325971.0
2020-05-12,PHM,29.5,29.66,28.03,28.09,3877379.0
2020-05-13,PHM,27.85,27.85,26.52,27.18,5615611.0
2020-05-14,PHM,26.54,27.71,26.095,27.59,4552951.0
2020-05-15,PHM,27.01,28.01,26.74,27.72,3007427.0
2020-05-18,PHM,29.37,31.47,29.18,31.13,4923806.0
2020-05-19,PHM,30.98,32.41,30.3,31.39,4163511.0
2020-05-20,PHM,31.96,32.4,30.86,31.43,5755427.0
2020-05-21,PHM,31.3,32.93,31.27,32.69,4662829.0
2020-05-22,PHM,33.01,33.5599,32.3899,33.31,2930613.0
2020-05-26,PHM,35.0,35.42,34.15,34.34,4996536.0
2020-05-27,PHM,35.41,36.48,34.46,36.45,4286920.0
2020-05-28,PHM,36.91,37.1,34.22,34.41,4021196.0
2020-05-29,PHM,34.11,35.16,33.6402,33.97,6785447.0
2020-06-01,PHM,34.15,35.32,33.82,34.33,3162960.0
2020-06-02,PHM,34.4,34.88,34.25,34.75,2648410.0
2020-06-03,PHM,35.42,36.2,35.08,35.98,3103464.0
2020-06-04,PHM,35.65,36.5,34.805,35.01,4295687.0
2020-06-05,PHM,36.77,37.49,36.01,36.72,4822837.0
2020-06-08,PHM,37.32,38.77,36.185,36.67,3382025.0
2020-06-09,PHM,35.97,36.44,35.56,35.84,3657377.0
2020-06-10,PHM,35.71,36.92,34.72,36.32,5399511.0
2020-06-11,PHM,34.53,35.22,32.9,32.91,4780299.0
2020-06-12,PHM,34.54,35.14,32.85,33.89,5048087.0
