Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,PLD,68.16,73.39,62.01,70.18,8875347.0
2020-03-13,PLD,74.16,78.36,71.4,77.82,6986393.0
2020-03-16,PLD,69.22,72.72,64.09,64.38,7727815.0
2020-03-17,PLD,66.47,73.04,64.56,70.69,9363456.0
2020-03-18,PLD,65.47,70.47,64.11,67.8,8138757.0
2020-03-19,PLD,66.95,67.95,63.245,63.91,6098271.0
2020-03-20,PLD,64.89,67.3963,62.42,62.82,8250874.0
2020-03-23,PLD,63.0,65.03,59.82,63.37,6384717.0
2020-03-24,PLD,66.24,71.21,66.24,70.55,8861223.0
2020-03-25,PLD,68.78,75.325,68.23,72.19,8031129.0
2020-03-26,PLD,72.39,78.34,71.36,77.69,5696641.0
2020-03-27,PLD,74.64,82.0,74.24,79.17,5099485.0
2020-03-30,PLD,80.79,83.74,77.0601,82.88,7431702.0
2020-03-31,PLD,81.19,82.37,75.22,80.37,14360471.0
2020-04-01,PLD,76.45,76.48,69.0,73.26,8822922.0
2020-04-02,PLD,71.36,76.3,71.06,75.51,6844898.0
2020-04-03,PLD,74.08,75.26,71.69,73.59,4263692.0
2020-04-06,PLD,78.02,80.94,77.04,80.23,7036377.0
2020-04-07,PLD,86.32,86.455,80.77,80.95,5962466.0
2020-04-08,PLD,82.58,86.79,80.725,86.18,6131434.0
2020-04-09,PLD,87.9,92.54,87.01,91.73,9575746.0
2020-04-13,PLD,90.94,91.7,86.26,86.41,5099047.0
2020-04-14,PLD,88.41,89.9404,87.81,89.15,4265731.0
2020-04-15,PLD,86.49,87.91,84.89,86.54,4457314.0
2020-04-16,PLD,87.15,88.43,85.8,88.2,3243619.0
2020-04-17,PLD,90.26,90.95,88.24,90.22,4768293.0
2020-04-20,PLD,88.99,89.47,87.88,88.5,4268158.0
2020-04-21,PLD,83.8,89.64,83.71,89.0,4808524.0
2020-04-22,PLD,89.67,90.78,87.67,87.87,3841743.0
2020-04-23,PLD,88.05,88.96,86.63,86.75,3804681.0
2020-04-24,PLD,87.09,89.53,86.75,89.04,3365901.0
2020-04-27,PLD,90.83,92.68,89.73,91.84,2882216.0
2020-04-28,PLD,94.11,94.18,89.25,89.59,3653769.0
2020-04-29,PLD,91.55,92.0,89.99,90.16,3761596.0
2020-04-30,PLD,88.71,89.57,86.88,89.23,4107499.0
2020-05-01,PLD,87.34,88.63,86.09,86.85,3112841.0
2020-05-04,PLD,85.85,87.31,85.25,87.13,2669163.0
2020-05-05,PLD,88.24,88.93,87.31,87.74,2064370.0
2020-05-06,PLD,88.1,88.98,86.87,86.94,2529900.0
2020-05-07,PLD,88.13,88.92,87.34,88.07,3416906.0
2020-05-08,PLD,90.29,90.295,88.63,89.97,2561356.0
2020-05-11,PLD,88.71,90.23,88.29,88.88,5271941.0
2020-05-12,PLD,89.09,89.09,84.21,84.22,4869717.0
2020-05-13,PLD,83.56,84.72,82.56,82.84,4451453.0
2020-05-14,PLD,81.27,84.08,80.12,84.08,4972849.0
2020-05-15,PLD,83.16,83.98,82.0,83.28,6295153.0
2020-05-18,PLD,86.35,87.74,85.08,86.83,3635030.0
2020-05-19,PLD,86.0,87.09,84.53,84.68,3553390.0
2020-05-20,PLD,86.08,87.295,85.75,87.12,3019926.0
2020-05-21,PLD,86.48,87.47,85.95,86.4,3883428.0
2020-05-22,PLD,85.93,87.66,85.93,87.55,1516205.0
2020-05-26,PLD,90.18,90.7,88.82,90.02,3372309.0
2020-05-27,PLD,92.0,92.0,89.48,91.76,3594272.0
2020-05-28,PLD,93.0,93.34,91.24,93.05,3255378.0
2020-05-29,PLD,92.14,92.66,91.015,91.5,5029099.0
2020-06-01,PLD,91.96,94.56,91.535,93.7,2550699.0
2020-06-02,PLD,94.62,95.55,93.43,95.46,3995402.0
2020-06-03,PLD,95.84,97.72,95.5,97.32,3554410.0
2020-06-04,PLD,96.41,96.8,92.48,93.35,3803384.0
2020-06-05,PLD,96.18,97.42,95.38,95.71,4068918.0
2020-06-08,PLD,95.7,97.97,95.34,97.77,4169284.0
2020-06-09,PLD,96.33,98.21,95.73,97.33,3482791.0
2020-06-10,PLD,96.38,97.55,95.56,96.41,2831394.0
2020-06-11,PLD,93.76,94.155,90.8,90.91,5947209.0
2020-06-12,PLD,93.59,95.12,91.33,94.46,4939398.0
2020-06-15,PLD,90.91,95.32,90.87,94.39,4190408.0
2020-06-16,PLD,98.0,98.31,95.45,96.9,3927459.0
2020-06-17,PLD,97.99,97.99,95.86,96.7,3034851.0
2020-06-18,PLD,95.5,95.89,94.55,95.09,2637514.0
2020-06-19,PLD,96.68,96.68,91.65,91.87,17763845.0
2020-06-22,PLD,91.82,92.64,89.92,92.56,3935529.0
2020-06-23,PLD,93.61,93.83,91.26,91.45,2749629.0
2020-06-24,PLD,90.02,91.58,87.93,89.8,5737866.0
2020-06-25,PLD,89.75,91.57,88.83,91.47,3649709.0
2020-06-26,PLD,90.97,91.73,89.16,89.83,6052417.0
2020-06-29,PLD,90.91,91.61,89.47,91.17,2690600.0
2020-06-30,PLD,91.04,94.24,91.04,93.33,5987527.0
2020-07-01,PLD,93.52,95.4,92.885,95.15,3116287.0
2020-07-02,PLD,96.63,97.185,95.05,95.55,2982691.0
2020-07-06,PLD,97.0,97.94,95.145,95.56,3071035.0
2020-07-07,PLD,94.0,95.77,93.91,94.83,2889413.0
2020-07-08,PLD,94.93,95.82,94.78,95.76,3579204.0
2020-07-09,PLD,96.0,96.845,94.375,96.57,2902140.0
2020-07-10,PLD,95.91,96.43,94.45,94.82,3630620.0
2020-07-13,PLD,95.48,96.435,93.55,93.57,6494368.0
