Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,PSA,211.01,218.59,201.19,208.75,2574734.0
2020-03-13,PSA,206.22,213.45,202.765,211.34,2747455.0
2020-03-16,PSA,198.01,206.0,186.8,186.97,2233053.0
2020-03-17,PSA,191.36,205.79,190.49,198.36,1943185.0
2020-03-18,PSA,190.69,203.4,187.06,189.96,2320111.0
2020-03-19,PSA,189.98,193.58,184.06,187.6,2193359.0
2020-03-20,PSA,186.26,190.0,169.15,171.22,2830575.0
2020-03-23,PSA,170.32,173.175,155.37,160.61,2358568.0
2020-03-24,PSA,163.0,170.44,159.08,168.65,2097257.0
2020-03-25,PSA,167.22,187.08,165.01,176.54,1776162.0
2020-03-26,PSA,176.54,189.34,174.0,187.77,1780402.0
2020-03-27,PSA,184.8,197.95,183.535,191.52,1938170.0
2020-03-30,PSA,195.86,202.99,190.315,201.63,1386165.0
2020-03-31,PSA,199.44,201.67,192.1,198.61,1966757.0
2020-04-01,PSA,192.26,197.11,190.14,196.62,1728186.0
2020-04-02,PSA,194.14,196.1734,184.73,192.87,2476999.0
2020-04-03,PSA,191.13,197.0,190.96,194.08,1124994.0
2020-04-06,PSA,200.92,204.88,197.0,203.73,1437554.0
2020-04-07,PSA,202.41,212.3,196.96,197.26,1333781.0
2020-04-08,PSA,198.31,201.65,193.3,199.07,1486106.0
2020-04-09,PSA,200.56,209.52,200.29,208.59,1851074.0
2020-04-13,PSA,205.02,207.87,200.22,201.43,921530.0
2020-04-14,PSA,205.98,210.27,201.73,204.87,1114303.0
2020-04-15,PSA,202.82,204.47,192.27,195.3,1322091.0
2020-04-16,PSA,198.21,200.0,193.77,193.96,1188972.0
2020-04-17,PSA,197.2,198.14,194.06,196.48,1010547.0
2020-04-20,PSA,194.75,196.705,192.41,193.32,1024887.0
2020-04-21,PSA,190.81,192.67,187.73,190.9,1009004.0
2020-04-22,PSA,193.07,195.1,191.98,193.01,885761.0
2020-04-23,PSA,192.19,193.56,187.17,187.5,1208141.0
2020-04-24,PSA,188.04,189.79,186.86,187.23,702567.0
2020-04-27,PSA,188.89,193.55,187.58,192.96,1201615.0
2020-04-28,PSA,194.6,197.93,190.66,191.01,1124375.0
2020-04-29,PSA,193.47,193.68,186.68,186.72,1095851.0
2020-04-30,PSA,185.33,186.19,180.47,185.45,1772401.0
2020-05-01,PSA,180.31,186.71,176.0,184.36,1704746.0
2020-05-04,PSA,184.26,184.26,178.65,181.09,1050529.0
2020-05-05,PSA,181.93,183.45,178.94,179.44,1394500.0
