Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,PTC,55.42,56.58,53.345,54.17,2209428.0
2020-03-13,PTC,56.32,57.0,52.15,56.37,1624423.0
2020-03-16,PTC,50.31,53.58,46.9401,52.87,2270713.0
2020-03-17,PTC,53.61,54.1499,49.16,52.14,2115051.0
2020-03-18,PTC,49.11,50.5,45.84,49.06,2175159.0
2020-03-19,PTC,47.96,50.72,43.9,50.39,2433202.0
2020-03-20,PTC,50.43,52.7631,48.27,48.45,1709318.0
2020-03-23,PTC,47.9,49.355,45.36,48.74,1471886.0
2020-03-24,PTC,51.14,54.66,50.01,53.79,1967808.0
2020-03-25,PTC,54.76,61.0,52.65,58.77,1808746.0
2020-03-26,PTC,60.14,62.72,58.85,60.97,1607725.0
2020-03-27,PTC,58.94,60.11,54.65,59.01,1079954.0
2020-03-30,PTC,59.24,62.46,58.19,59.27,898844.0
2020-03-31,PTC,59.46,62.38,58.56,61.21,2190554.0
2020-04-01,PTC,58.62,60.21,55.52,56.3,1638886.0
2020-04-02,PTC,55.56,56.34,52.96,54.88,1293657.0
2020-04-03,PTC,54.68,56.52,54.5,55.0,808606.0
2020-04-06,PTC,58.02,60.17,57.68,59.59,1016021.0
2020-04-07,PTC,62.39,62.59,58.88,59.31,912499.0
2020-04-08,PTC,60.38,62.92,59.325,62.45,631650.0
2020-04-09,PTC,63.77,65.28,62.49,63.94,929297.0
2020-04-13,PTC,63.48,63.48,61.53,62.35,414012.0
2020-04-14,PTC,63.39,65.01,63.39,64.5,641633.0
2020-04-15,PTC,62.28,64.95,61.86,64.47,1474775.0
2020-04-16,PTC,64.57,65.98,63.64,65.7,1318133.0
2020-04-17,PTC,66.81,68.69,66.25,66.66,853901.0
2020-04-20,PTC,64.89,67.88,64.66,66.99,596369.0
2020-04-21,PTC,65.56,66.27,62.72,62.97,549056.0
2020-04-22,PTC,64.52,65.125,63.01,64.77,527553.0
2020-04-23,PTC,64.82,66.51,64.17,64.33,879548.0
2020-04-24,PTC,64.76,65.32,63.835,65.0,650657.0
2020-04-27,PTC,65.77,66.69,65.42,66.28,499909.0
2020-04-28,PTC,67.49,68.24,66.105,66.37,1108479.0
2020-04-29,PTC,68.0,70.56,67.36,69.96,1656263.0
