Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,PYPL,96.5,104.78,94.5,96.88,22224448.0
2020-03-13,PYPL,100.52,110.6,99.78,110.15,21312637.0
2020-03-16,PYPL,94.0,103.155,91.23,92.72,18325976.0
2020-03-17,PYPL,94.5,101.08,90.52,97.87,19431436.0
2020-03-18,PYPL,91.855,95.1,86.15,91.46,17663072.0
2020-03-19,PYPL,91.56,98.06,87.04,93.69,13455182.0
2020-03-20,PYPL,95.64,96.23,86.21,86.68,18122562.0
2020-03-23,PYPL,86.29,88.15,82.07,85.26,14429892.0
2020-03-24,PYPL,89.4,98.0,89.4,97.29,15544669.0
2020-03-25,PYPL,97.43,100.42,95.27,95.71,13267689.0
2020-03-26,PYPL,96.31,100.93,95.635,100.63,10795356.0
2020-03-27,PYPL,97.0,97.105,93.06,93.48,12693488.0
2020-03-30,PYPL,95.5,98.2599,94.37,97.03,10011570.0
2020-03-31,PYPL,96.38,99.4314,94.87,95.74,11264626.0
2020-04-01,PYPL,92.72,94.67,90.38,91.38,10784691.0
2020-04-02,PYPL,91.1,94.6799,90.92,93.52,7886889.0
2020-04-03,PYPL,92.79,92.95,89.88,92.39,8484225.0
2020-04-06,PYPL,97.8,102.5,96.26,101.67,13773448.0
2020-04-07,PYPL,105.255,106.23,99.9,100.28,11308989.0
2020-04-08,PYPL,101.61,105.505,100.75,105.06,10517109.0
2020-04-09,PYPL,105.63,108.7,104.78,105.84,12528503.0
2020-04-13,PYPL,104.85,106.29,102.34,105.98,8611632.0
2020-04-14,PYPL,109.0,110.98,107.93,109.785,9392797.0
2020-04-15,PYPL,107.46,109.09,106.42,107.95,8984819.0
2020-04-16,PYPL,109.5,109.525,106.57,108.31,10315321.0
2020-04-17,PYPL,110.3,112.12,110.054,111.85,12503735.0
2020-04-20,PYPL,110.9,114.3,110.025,112.17,11536558.0
2020-04-21,PYPL,111.12,112.85,107.41,107.54,13188272.0
2020-04-22,PYPL,110.29,116.0,109.91,115.19,14322536.0
2020-04-23,PYPL,115.94,118.385,115.0,115.24,7968592.0
2020-04-24,PYPL,115.47,120.47,115.4,120.18,11399564.0
2020-04-27,PYPL,121.25,122.387,120.055,120.53,7314624.0
2020-04-28,PYPL,121.66,122.0,115.9029,116.14,9947585.0
2020-04-29,PYPL,119.3,124.03,118.645,123.58,10750135.0
2020-04-30,PYPL,121.35,123.45,120.62,122.93,8622094.0
2020-05-01,PYPL,119.85,122.7,119.43,120.61,6417541.0
2020-05-04,PYPL,121.26,124.18,120.31,123.66,8256146.0
2020-05-05,PYPL,124.94,127.94,124.85,125.43,9852048.0
2020-05-06,PYPL,127.05,129.59,126.12,128.31,14896696.0
2020-05-07,PYPL,139.92,147.2,139.28,146.29,37216040.0
2020-05-08,PYPL,143.25,146.4,142.11,144.96,14474678.0
2020-05-11,PYPL,142.96,145.27,142.18,143.96,11304386.0
2020-05-12,PYPL,144.0,145.65,140.91,141.03,10535733.0
2020-05-13,PYPL,140.2,145.1,139.61,143.73,11883211.0
2020-05-14,PYPL,142.07,144.7,141.43,144.41,9998239.0
2020-05-15,PYPL,142.9,145.89,141.63,145.51,9076349.0
2020-05-18,PYPL,148.125,149.18,145.99,146.24,9493269.0
2020-05-19,PYPL,146.7497,149.72,145.22,145.39,8282978.0
2020-05-20,PYPL,148.0,151.08,147.9,150.94,8542820.0
2020-05-21,PYPL,150.58,150.74,148.04,148.22,6037285.0
2020-05-22,PYPL,148.26,151.0,147.36,150.8603,6471046.0
2020-05-26,PYPL,154.12,154.55,146.29,147.0,11410307.0
2020-05-27,PYPL,145.48,146.4,140.02,145.96,10379555.0
2020-05-28,PYPL,144.51,151.945,144.51,148.79,11306179.0
2020-05-29,PYPL,150.5,155.33,148.93,155.01,11257633.0
2020-06-01,PYPL,154.9,155.97,153.05,154.53,6147969.0
2020-06-02,PYPL,156.0,157.6,154.61,157.49,7027236.0
2020-06-03,PYPL,157.49,158.271,155.12,156.78,7382651.0
2020-06-04,PYPL,156.7,159.4799,153.635,154.6,8221962.0
2020-06-05,PYPL,152.98,156.34,150.0,156.0,9597205.0
2020-06-08,PYPL,154.28,156.21,153.11,156.09,6157144.0
2020-06-09,PYPL,155.79,158.21,155.5949,156.86,8431440.0
2020-06-10,PYPL,157.6,160.89,157.6,159.91,6605227.0
2020-06-11,PYPL,158.34,159.5,152.915,153.04,10442992.0
2020-06-12,PYPL,157.06,157.21,151.89,155.26,7762455.0
2020-06-15,PYPL,152.63,157.92,152.22,157.55,5772968.0
2020-06-16,PYPL,160.19,162.83,158.3,161.22,7294858.0
2020-06-17,PYPL,162.84,164.9597,161.66,163.83,6230774.0
2020-06-18,PYPL,164.72,168.83,164.31,168.05,9490531.0
2020-06-19,PYPL,170.6,171.12,164.01,164.36,14393004.0
2020-06-22,PYPL,165.95,170.9,165.55,170.26,8950863.0
2020-06-23,PYPL,171.82,175.4,170.4,172.79,8391254.0
2020-06-24,PYPL,170.595,173.48,164.29,168.0,9870511.0
2020-06-25,PYPL,169.0,172.78,168.19,172.5,7322251.0
2020-06-26,PYPL,173.71,173.71,168.6,170.87,9854770.0
2020-06-29,PYPL,171.48,171.48,165.56,168.35,6046823.0
2020-06-30,PYPL,170.7,174.69,169.41,174.23,8072285.0
2020-07-01,PYPL,174.625,178.2348,172.56,177.43,7586331.0
2020-07-02,PYPL,179.69,179.8,176.72,177.21,6641601.0
2020-07-06,PYPL,180.29,181.24,174.46,176.18,9116868.0
2020-07-07,PYPL,177.69,179.95,176.31,177.28,6200087.0
2020-07-08,PYPL,178.89,182.64,178.5,181.57,8386882.0
2020-07-09,PYPL,183.4,183.99,179.15,183.23,7287444.0
2020-07-10,PYPL,181.63,182.52,177.13,178.4,8282286.0
2020-07-13,PYPL,180.42,180.66,170.74,171.51,10960790.0
2020-07-14,PYPL,168.75,172.6,164.33,172.3,11306693.0
2020-07-15,PYPL,172.99,173.36,169.01,172.06,7209175.0
2020-07-16,PYPL,169.9,171.34,166.4998,169.81,7225160.0
2020-07-17,PYPL,171.5,174.56,169.54,173.92,8349758.0
2020-07-20,PYPL,174.65,179.64,172.68,178.82,6984474.0
2020-07-21,PYPL,179.25,179.46,174.32,175.58,6276941.0
2020-07-22,PYPL,176.16,179.49,175.73,178.42,5099566.0
2020-07-23,PYPL,178.15,180.75,171.94,173.86,7571830.0
2020-07-24,PYPL,171.08,173.6,169.08,172.56,6677497.0
2020-07-27,PYPL,173.92,178.46,172.39,177.98,7409036.0
2020-07-28,PYPL,178.01,179.58,176.0102,176.27,6517790.0
2020-07-29,PYPL,178.45,185.44,178.27,184.6,16141692.0
2020-07-30,PYPL,191.81,198.6599,189.1314,192.51,17689841.0
2020-07-31,PYPL,193.05,196.35,191.69,196.07,12186029.0
2020-08-03,PYPL,198.25,199.4,195.22,197.07,8623145.0
2020-08-04,PYPL,196.22,199.1,195.5206,197.33,6496152.0
2020-08-05,PYPL,199.0,204.23,198.09,202.91,8198821.0
2020-08-06,PYPL,202.0,204.16,198.88,204.09,6513520.0
2020-08-07,PYPL,203.71,203.9509,196.7,198.63,7021094.0
2020-08-10,PYPL,198.7,199.85,191.69,193.32,9209752.0
2020-08-11,PYPL,192.0,193.535,186.52,189.03,9800595.0
2020-08-12,PYPL,190.0,192.51,189.4,191.32,8753331.0
2020-08-13,PYPL,192.1,195.13,191.48,193.07,10494258.0
2020-08-14,PYPL,195.19,195.4687,190.51,191.46,5222389.0
2020-08-17,PYPL,193.92,197.42,193.25,196.29,7004095.0
2020-08-18,PYPL,197.73,198.75,194.0,194.57,6040712.0
2020-08-19,PYPL,195.06,196.84,191.92,192.44,7730988.0
2020-08-20,PYPL,192.06,198.7,191.51,198.18,7784218.0
2020-08-21,PYPL,197.93,199.0999,196.22,196.79,7071035.0
2020-08-24,PYPL,200.0,201.0988,196.57,198.88,6023508.0
2020-08-25,PYPL,198.49,201.96,196.24,201.67,5636119.0
2020-08-26,PYPL,202.53,205.35,200.25,203.48,6694828.0
2020-08-27,PYPL,206.81,207.0,202.3,204.34,6582193.0
2020-08-28,PYPL,205.4159,205.4159,202.42,204.48,5151525.0
2020-08-31,PYPL,203.7,205.2523,202.2984,204.14,6517523.0
2020-09-01,PYPL,205.59,209.8799,205.145,208.93,6948784.0
2020-09-02,PYPL,211.6222,212.45,204.6,210.82,7921847.0
2020-09-03,PYPL,205.69,206.59,194.95,204.99,17312222.0
2020-09-04,PYPL,200.985,201.84,182.85,191.84,18227033.0
2020-09-08,PYPL,184.7,191.75,184.7,185.95,10375329.0
2020-09-09,PYPL,191.0,195.75,187.3,194.6,9947110.0
2020-09-10,PYPL,196.09,198.22,187.84,190.09,7514661.0
2020-09-11,PYPL,191.462,192.1,180.93,184.0,8713647.0
2020-09-14,PYPL,186.0,188.6,184.38,186.96,7929212.0
2020-09-15,PYPL,190.05,190.45,184.18,186.02,8469504.0
2020-09-16,PYPL,187.095,189.34,180.67,180.91,8893954.0
2020-09-17,PYPL,176.63,178.74,173.79,175.79,12931482.0
2020-09-18,PYPL,176.7,178.25,171.63,176.07,16821562.0
2020-09-21,PYPL,174.84,183.45,174.08,183.21,15417058.0
2020-09-22,PYPL,186.79,188.06,182.185,187.78,9991705.0
2020-09-23,PYPL,188.39,188.47,181.1,181.61,7860881.0
2020-09-24,PYPL,180.17,184.9,179.6,182.19,7990178.0
2020-09-25,PYPL,182.4,187.92,180.13,187.25,8415603.0
2020-09-28,PYPL,190.9996,192.47,188.09,192.02,8669200.0
2020-09-29,PYPL,192.64,195.78,191.11,194.5,7339170.0
2020-09-30,PYPL,194.06,198.72,193.311,197.03,9261282.0
2020-10-01,PYPL,199.26,201.27,196.2205,196.94,7980502.0
2020-10-02,PYPL,192.73,196.21,189.25,191.91,7290985.0
2020-10-05,PYPL,193.55,196.91,192.16,196.85,5558187.0
2020-10-06,PYPL,196.13,197.37,190.88,191.66,6657292.0
2020-10-07,PYPL,193.91,195.71,193.33,194.61,4783918.0
2020-10-08,PYPL,196.75,196.87,192.67,193.06,5981969.0
2020-10-09,PYPL,194.36,197.35,192.6,197.27,8138578.0
2020-10-12,PYPL,199.87,204.08,196.6323,201.51,11594099.0
2020-10-13,PYPL,202.44,209.02,200.11,207.74,8880278.0
2020-10-14,PYPL,208.2035,208.948,200.5,203.6,9155315.0
2020-10-15,PYPL,199.99,203.48,198.128,203.14,8363883.0
2020-10-16,PYPL,204.44,207.47,202.22,204.45,10510282.0
2020-10-19,PYPL,205.52,207.23,199.1,200.06,7320800.0
2020-10-20,PYPL,201.14,205.47,200.31,201.96,5438918.0
2020-10-21,PYPL,208.26,215.83,206.02,213.07,17968848.0
2020-10-22,PYPL,211.9,212.34,202.1403,203.93,13086551.0
2020-10-23,PYPL,206.24,206.24,201.21,203.04,7184444.0
2020-10-26,PYPL,200.66,203.89,195.05,197.22,8776435.0
2020-10-27,PYPL,198.79,201.32,197.72,200.43,5202718.0
2020-10-28,PYPL,196.96,198.39,191.5,192.31,8946227.0
2020-10-29,PYPL,194.08,197.59,192.31,195.04,8438008.0
2020-10-30,PYPL,193.29,195.33,182.92,186.13,13037139.0
2020-11-02,PYPL,189.01,192.705,185.05,187.76,15092872.0
2020-11-03,PYPL,177.94,188.75,174.81,179.81,32920962.0
2020-11-04,PYPL,186.76,195.0,184.1102,194.29,17207907.0
2020-11-05,PYPL,202.3,204.92,199.37,204.56,16337542.0
