Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,RCL,34.0,39.56,29.01,30.27,29415081.0
2020-03-13,RCL,37.01,37.34,28.61,28.94,27406561.0
2020-03-16,RCL,29.9,35.475,29.28,29.94,25936799.0
2020-03-17,RCL,31.22,31.436,26.83,27.66,18412934.0
2020-03-18,RCL,26.0,26.3,19.25,22.33,25296470.0
2020-03-19,RCL,21.75,24.15,20.55,22.41,17370355.0
2020-03-20,RCL,24.45,28.1,22.0,23.81,22826065.0
2020-03-23,RCL,24.03,29.32,22.77,28.19,20515624.0
2020-03-24,RCL,34.5,39.59,32.14,34.47,28222271.0
2020-03-25,RCL,40.5,45.4499,34.71,42.41,33118848.0
2020-03-26,RCL,42.83,49.87,37.85,40.61,35402581.0
2020-03-27,RCL,37.51,37.53,32.8,34.5,31281320.0
2020-03-30,RCL,32.31,32.63,28.1,29.77,25805305.0
2020-03-31,RCL,28.47,35.65,28.3,32.17,26788658.0
2020-04-01,RCL,30.27,30.8562,25.6,25.77,24735818.0
2020-04-02,RCL,25.5,27.95,23.95,24.82,29448309.0
2020-04-03,RCL,25.71,26.21,22.25,24.39,26666572.0
2020-04-06,RCL,26.8,30.2099,25.85,29.61,33935977.0
2020-04-07,RCL,35.31,39.75,31.65,33.55,51509919.0
2020-04-08,RCL,34.91,37.8,33.6501,37.56,28956942.0
2020-04-09,RCL,40.82,45.12,36.76,40.22,46537591.0
2020-04-13,RCL,36.32,36.7,33.25,33.37,34328257.0
2020-04-14,RCL,35.95,39.0,35.3601,37.84,32639371.0
2020-04-15,RCL,35.02,37.8499,34.4,36.98,22709347.0
2020-04-16,RCL,36.5,37.0664,33.01,34.01,25037149.0
2020-04-17,RCL,37.11,37.61,35.0001,37.39,24294001.0
2020-04-20,RCL,35.51,37.21,34.91,35.99,15346828.0
2020-04-21,RCL,34.5,35.77,33.5,34.43,15649605.0
2020-04-22,RCL,35.34,35.74,33.62,34.01,10102816.0
2020-04-23,RCL,34.37,37.2,34.13,36.88,21879270.0
2020-04-24,RCL,37.1,37.48,35.0,35.68,15487375.0
2020-04-27,RCL,36.33,39.58,35.86,39.47,19161422.0
2020-04-28,RCL,41.9,43.01,39.5702,41.59,23608978.0
2020-04-29,RCL,45.0,48.6,44.4207,48.06,28941333.0
2020-04-30,RCL,47.51,48.56,44.38,46.77,21541221.0
2020-05-01,RCL,43.14,44.74,40.6,40.77,20450667.0
2020-05-04,RCL,37.61,41.7459,37.02,41.37,22985751.0
2020-05-05,RCL,41.17,42.27,37.02,37.2,25522756.0
2020-05-06,RCL,38.21,38.5,36.0,36.11,15551324.0
2020-05-07,RCL,36.45,38.97,36.45,38.03,14019764.0
2020-05-08,RCL,40.3,41.39,38.55,39.92,16151471.0
2020-05-11,RCL,39.11,39.48,37.78,38.07,9516941.0
2020-05-12,RCL,38.95,39.22,36.32,36.34,10632884.0
2020-05-13,RCL,37.0,37.01,33.4,34.53,22762150.0
2020-05-14,RCL,33.0,35.8695,31.41,35.15,22983222.0
2020-05-15,RCL,34.4,38.27,34.37,37.45,18532808.0
2020-05-18,RCL,41.2,44.98,41.2,43.7,29624246.0
2020-05-19,RCL,43.76,44.31,40.92,42.15,18058277.0
2020-05-20,RCL,43.2,43.62,39.71,40.73,22597230.0
2020-05-21,RCL,41.2,45.07,40.35,43.35,28313432.0
2020-05-22,RCL,44.7,45.4,42.02,43.14,15350478.0
2020-05-26,RCL,47.11,50.36,46.67,49.56,27399051.0
2020-05-27,RCL,54.14,55.32,49.3,54.29,32083341.0
2020-05-28,RCL,53.45,54.7,51.332,51.7,21745667.0
2020-05-29,RCL,50.0,52.8199,49.0906,51.87,19871894.0
2020-06-01,RCL,51.99,56.07,51.56,55.64,20129504.0
2020-06-02,RCL,57.26,58.44,55.39,56.0,18354031.0
2020-06-03,RCL,54.7,58.8,54.6,58.11,18568906.0
2020-06-04,RCL,57.45,60.32,55.58,57.69,34165531.0
2020-06-05,RCL,64.86,74.5899,64.6,69.44,61530981.0
2020-06-08,RCL,75.06,75.55,70.1,75.12,33073176.0
2020-06-09,RCL,70.83,71.7175,66.63,69.91,22413656.0
2020-06-10,RCL,67.84,67.84,60.8,63.59,25281813.0
2020-06-11,RCL,56.02,60.0,54.07,54.51,29886284.0
2020-06-12,RCL,60.6,62.7,57.0,61.18,26150752.0
2020-06-15,RCL,55.73,61.78,55.32,60.83,20684099.0
2020-06-16,RCL,66.5001,66.89,60.54,62.5,21656911.0
2020-06-17,RCL,59.01,60.24,56.76,58.03,22162897.0
2020-06-18,RCL,56.55,61.6936,56.21,59.35,21691933.0
2020-06-19,RCL,60.96,61.12,54.72,55.27,25818926.0
2020-06-22,RCL,53.5,54.14,50.35,51.86,26458321.0
2020-06-23,RCL,52.66,54.6,51.35,54.36,18801168.0
2020-06-24,RCL,51.94,52.46,46.52,48.24,27125966.0
2020-06-25,RCL,45.35,49.1899,45.25,48.58,21855931.0
2020-06-26,RCL,48.6,48.91,45.43,46.41,14987941.0
2020-06-29,RCL,46.09,50.49,45.06,50.3,17555437.0
2020-06-30,RCL,49.6,50.77,47.78,50.3,15130951.0
2020-07-01,RCL,51.87,55.62,50.45,50.83,18085890.0
2020-07-02,RCL,52.99,53.62,49.36,49.51,14058523.0
2020-07-06,RCL,50.29,51.49,47.89,50.02,13593730.0
2020-07-07,RCL,48.91,49.75,47.42,47.56,10199050.0
2020-07-08,RCL,46.97,50.43,46.51,50.07,12640673.0
2020-07-09,RCL,50.99,51.1,46.545,47.12,14121106.0
2020-07-10,RCL,47.0,51.95,46.13,51.77,20766706.0
