Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,REGN,444.36,451.96,426.1,431.89,1797212.0
2020-03-13,REGN,445.01,466.04,418.01,465.55,1561004.0
2020-03-16,REGN,452.51,484.58,433.82,440.83,2086550.0
2020-03-17,REGN,494.0,512.98,473.0,491.69,4034516.0
2020-03-18,REGN,495.78,499.0,455.56,485.0,2712418.0
2020-03-19,REGN,483.93,518.0,469.4515,489.83,2488031.0
2020-03-20,REGN,493.01,499.5,435.01,438.45,2266758.0
2020-03-23,REGN,449.84,477.0,433.2757,455.63,1932686.0
2020-03-24,REGN,468.22,471.99,424.01,449.53,1763194.0
2020-03-25,REGN,443.04,458.83,427.08,429.78,1417151.0
2020-03-26,REGN,426.51,452.7,424.02,452.3,1806793.0
2020-03-27,REGN,446.03,465.79,445.1519,449.52,1202683.0
2020-03-30,REGN,463.09,476.1,461.0,473.0,1471838.0
2020-03-31,REGN,474.0,495.48,463.8,488.29,2480075.0
2020-04-01,REGN,484.14,499.99,476.4506,496.65,1778215.0
2020-04-02,REGN,494.29,501.0,483.11,498.75,1142861.0
2020-04-03,REGN,495.56,503.2623,485.0435,493.32,1308557.0
2020-04-06,REGN,503.38,511.01,488.89,504.27,1414520.0
2020-04-07,REGN,502.81,509.74,492.01,501.51,1144089.0
2020-04-08,REGN,502.21,514.11,488.0,512.33,1304750.0
2020-04-09,REGN,510.1,515.64,500.87,512.96,1101689.0
2020-04-13,REGN,512.01,519.0,504.1227,517.02,968004.0
2020-04-14,REGN,524.6234,525.9,517.0,524.84,1090752.0
2020-04-15,REGN,525.3,527.1,510.5,511.69,944259.0
2020-04-16,REGN,518.92,541.97,517.616,539.93,1276166.0
2020-04-17,REGN,549.99,572.5,539.14,568.79,2430172.0
2020-04-20,REGN,566.71,574.32,560.39,567.99,1021333.0
2020-04-21,REGN,566.06,568.99,536.8,544.46,1102980.0
2020-04-22,REGN,555.5,563.3699,540.95,558.08,911336.0
2020-04-23,REGN,558.93,573.16,557.486,565.52,781085.0
2020-04-24,REGN,573.6442,574.0,556.47,566.21,1002874.0
2020-04-27,REGN,563.15,565.68,539.1535,547.52,1535048.0
2020-04-28,REGN,537.48,539.9799,522.42,528.61,1201505.0
2020-04-29,REGN,532.64,533.17,513.81,516.15,1560296.0
2020-04-30,REGN,513.99,527.435,507.69,525.88,1149576.0
2020-05-01,REGN,524.23,529.21,514.55,525.5,550580.0
2020-05-04,REGN,528.18,544.2,527.6202,541.82,960788.0
2020-05-05,REGN,563.06,581.0,561.27,574.37,1631890.0
2020-05-06,REGN,559.2049,569.99,541.56,553.5,2070929.0
2020-05-07,REGN,564.39,570.21,555.96,559.83,1262715.0
2020-05-08,REGN,562.0,567.83,553.52,563.4,776357.0
2020-05-11,REGN,565.23,578.77,564.1,574.11,1092357.0
2020-05-12,REGN,576.98,578.0,556.45,557.54,990688.0
2020-05-13,REGN,560.65,581.78,558.51,577.12,1161492.0
2020-05-14,REGN,577.18,580.77,565.6,570.86,756859.0
2020-05-15,REGN,566.78,577.0,563.08,576.72,994107.0
2020-05-18,REGN,582.0,583.54,558.885,560.28,1038780.0
2020-05-19,REGN,561.0,569.5,557.6,557.6,805436.0
2020-05-20,REGN,562.07,580.55,561.385,576.89,889886.0
2020-05-21,REGN,577.51,578.34,556.68,560.98,861388.0
2020-05-22,REGN,558.12,574.19,558.12,569.91,685665.0
2020-05-26,REGN,548.54,556.13,534.25,545.21,3899530.0
2020-05-27,REGN,538.7,555.53,522.02,544.01,6354699.0
2020-05-28,REGN,547.5,583.03,546.13,578.21,9650828.0
2020-05-29,REGN,580.7,615.36,571.52,612.81,9694857.0
2020-06-01,REGN,605.0,610.0,597.62,599.47,1669013.0
2020-06-02,REGN,602.2,618.71,591.67,617.66,1639801.0
2020-06-03,REGN,615.37,616.68,589.6,604.28,1668137.0
2020-06-04,REGN,596.99,610.99,592.795,598.54,919070.0
2020-06-05,REGN,585.0,600.14,578.43,597.0,1435173.0
2020-06-08,REGN,587.88,605.26,579.6,604.04,1055107.0
2020-06-09,REGN,603.49,611.56,601.8891,608.59,909895.0
2020-06-10,REGN,613.03,617.37,603.0,606.59,1002718.0
2020-06-11,REGN,621.0,625.79,592.3181,596.16,1618343.0
2020-06-12,REGN,616.01,619.68,583.14,588.39,1367445.0
2020-06-15,REGN,584.54,593.49,582.32,590.57,748438.0
2020-06-16,REGN,590.0,597.15,575.89,592.9,825938.0
2020-06-17,REGN,596.33,606.5,594.86,603.1,725375.0
2020-06-18,REGN,601.34,604.03,590.3,597.35,696477.0
2020-06-19,REGN,602.31,646.33,598.71,643.92,3314036.0
2020-06-22,REGN,632.47,634.19,618.19,628.48,1338450.0
2020-06-23,REGN,631.33,637.5432,623.01,628.76,922636.0
2020-06-24,REGN,630.0,644.703,599.0,605.04,1539811.0
2020-06-25,REGN,604.67,620.29,602.51,619.96,877090.0
2020-06-26,REGN,611.02,616.35,601.56,611.36,2288359.0
