Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,RTX,94.12,109.079,92.8,102.5,20146288.0
2020-03-13,RTX,109.05,110.77,98.55,105.4,17642498.0
2020-03-16,RTX,95.36,99.14,90.58,90.93,13078029.0
2020-03-17,RTX,91.06,93.45,82.81,92.84,17409377.0
2020-03-18,RTX,85.84,85.915,69.02,79.4,24983145.0
2020-03-19,RTX,79.23,85.5042,72.18,83.76,16424110.0
2020-03-20,RTX,84.85,88.84,73.28,82.53,15586475.0
2020-03-23,RTX,80.01,80.09,72.3,74.95,12532415.0
2020-03-24,RTX,80.1,87.45,80.01,86.76,14073149.0
2020-03-25,RTX,87.88,100.175,86.28,96.19,12950226.0
2020-03-26,RTX,98.19,104.99,97.0,104.64,16443523.0
2020-03-27,RTX,98.75,101.73,96.52,97.15,10984642.0
2020-03-30,RTX,96.0,99.745,94.71,98.49,8110161.0
2020-03-31,RTX,97.28,99.2,93.87,94.33,8001660.0
2020-04-01,RTX,89.48,92.0,88.325,91.37,13199767.0
2020-04-02,RTX,89.63,92.25,85.11,86.01,14756301.0
2020-04-03,RTX,51.16,53.3,48.05,49.93,23601943.0
2020-04-06,RTX,54.48,58.9,52.64,57.56,31468838.0
2020-04-07,RTX,62.42,64.49,57.22,57.76,28409469.0
2020-04-08,RTX,58.35,63.98,57.9,62.62,29028793.0
2020-04-09,RTX,67.0,68.1,63.51,64.71,25666550.0
2020-04-13,RTX,64.23,64.4,60.09,61.83,15676336.0
2020-04-14,RTX,63.63,65.34,62.6,65.07,19107378.0
2020-04-15,RTX,65.0,65.105,61.23,62.33,17646757.0
2020-04-16,RTX,62.46,62.72,61.3,62.45,16332247.0
2020-04-17,RTX,64.82,66.5,64.1801,66.07,15219855.0
2020-04-20,RTX,64.5,66.93,63.72,64.98,11342081.0
2020-04-21,RTX,63.62,64.5478,62.15,62.65,10770846.0
2020-04-22,RTX,64.49,64.9,63.1004,63.45,11184679.0
2020-04-23,RTX,63.89,64.877,63.25,63.29,10226720.0
2020-04-24,RTX,63.98,64.08,62.5,63.43,9217935.0
2020-04-27,RTX,64.43,65.42,63.84,65.07,8987863.0
2020-04-28,RTX,66.52,67.29,64.81,65.39,11124829.0
2020-04-29,RTX,67.35,68.79,66.06,67.9,11321324.0
2020-04-30,RTX,67.45,67.45,64.7,64.81,15439701.0
2020-05-01,RTX,63.61,63.61,60.215,61.11,14670087.0
2020-05-04,RTX,60.02,60.03,57.57,58.85,16416830.0
2020-05-05,RTX,60.26,60.47,58.87,59.0,13406326.0
2020-05-06,RTX,59.3,59.3927,57.75,57.92,9549344.0
2020-05-07,RTX,58.6,59.24,56.44,57.01,29867221.0
2020-05-08,RTX,57.72,58.75,57.35,58.67,10756483.0
2020-05-11,RTX,57.7,57.9299,56.33,57.36,11386476.0
2020-05-12,RTX,57.38,58.44,56.72,56.72,11819564.0
2020-05-13,RTX,56.09,56.09,53.18,54.1,14619569.0
2020-05-14,RTX,52.51,53.91,51.13,53.86,19052804.0
2020-05-15,RTX,53.06,53.27,51.66,52.73,25992494.0
2020-05-18,RTX,55.65,58.62,55.5156,57.9,23585128.0
2020-05-19,RTX,57.89,60.14,57.4,57.94,15119488.0
2020-05-20,RTX,58.71,59.065,57.69,57.8,11372594.0
2020-05-21,RTX,58.3,60.21,58.2,60.1,10814273.0
2020-05-22,RTX,60.39,60.77,59.33,60.0,7034429.0
2020-05-26,RTX,62.56,65.55,62.36,64.47,17179642.0
2020-05-27,RTX,67.0,67.989,65.17,66.65,14690912.0
2020-05-28,RTX,68.78,68.78,66.14,67.27,13616006.0
2020-05-29,RTX,65.6,66.6,64.14,64.52,16903562.0
2020-06-01,RTX,65.0,66.035,64.07,64.12,12226099.0
2020-06-02,RTX,63.7,64.2,62.56,63.4,15698864.0
2020-06-03,RTX,64.5,67.73,64.4375,67.47,16641656.0
2020-06-04,RTX,67.1,67.83,66.31,67.51,11108459.0
2020-06-05,RTX,71.03,73.74,71.0,72.07,15307835.0
2020-06-08,RTX,72.5,74.93,72.5,74.16,13015090.0
2020-06-09,RTX,72.65,72.65,70.51,70.54,10650582.0
2020-06-10,RTX,70.195,70.2899,68.05,68.36,10467292.0
2020-06-11,RTX,63.99,65.71,62.82,62.85,14927637.0
2020-06-12,RTX,65.97,66.0699,63.36,65.37,10246313.0
2020-06-15,RTX,63.0,67.76,62.4365,67.05,16263371.0
2020-06-16,RTX,69.62,70.1,66.045,67.82,12551267.0
2020-06-17,RTX,68.0,68.2,66.6301,66.9,10281076.0
2020-06-18,RTX,65.83,67.43,65.61,66.88,7283432.0
2020-06-19,RTX,68.36,68.36,64.47,64.89,27949315.0
2020-06-22,RTX,64.81,65.42,63.9333,65.04,8430079.0
2020-06-23,RTX,65.46,65.78,64.16,64.54,7495341.0
2020-06-24,RTX,63.99,64.01,61.07,61.72,10802242.0
2020-06-25,RTX,60.92,61.38,59.96,61.06,13578739.0
2020-06-26,RTX,61.0,61.42,58.94,59.1,23370085.0
2020-06-29,RTX,60.19,61.92,59.8,61.92,10016493.0
2020-06-30,RTX,61.05,61.86,60.08,61.62,12166646.0
2020-07-01,RTX,61.78,62.9,61.23,61.61,7260955.0
2020-07-02,RTX,62.7,63.4562,61.62,61.79,9016520.0
2020-07-06,RTX,63.04,63.83,62.12,63.32,6566147.0
2020-07-07,RTX,62.54,62.83,60.94,61.01,9562941.0
2020-07-08,RTX,60.88,61.6372,60.2,61.01,9821991.0
2020-07-09,RTX,60.66,60.88,58.06,58.11,11227185.0
2020-07-10,RTX,59.1,60.2,58.77,59.64,11448213.0
2020-07-13,RTX,60.28,60.8,58.7383,59.35,8148659.0
2020-07-14,RTX,59.0,60.56,58.45,60.47,7930474.0
2020-07-15,RTX,62.35,63.22,62.05,62.94,9707992.0
2020-07-16,RTX,62.3,62.81,61.45,62.37,6065888.0
2020-07-17,RTX,62.47,62.61,61.71,62.2,13709516.0
2020-07-20,RTX,61.78,62.03,60.82,61.41,7367751.0
2020-07-21,RTX,62.0,63.48,61.83,63.05,8029868.0
2020-07-22,RTX,62.6,63.73,62.1735,63.63,6129875.0
2020-07-23,RTX,63.59,64.33,62.88,63.12,6651139.0
2020-07-24,RTX,63.21,63.97,61.785,62.07,6399328.0
2020-07-27,RTX,61.65,61.85,60.65,61.09,10785744.0
2020-07-28,RTX,61.74,61.8151,59.75,61.0,13433644.0
2020-07-29,RTX,60.7,60.99,59.06,59.4,11716490.0
2020-07-30,RTX,58.62,58.65,57.27,57.46,12849118.0
2020-07-31,RTX,57.36,57.38,56.11,56.68,13438043.0
2020-08-03,RTX,56.47,57.52,55.73,57.51,9337015.0
2020-08-04,RTX,57.72,57.91,57.12,57.51,8141906.0
2020-08-05,RTX,57.85,60.05,57.7,60.03,10572037.0
2020-08-06,RTX,59.5,60.41,59.3,59.87,6113166.0
2020-08-07,RTX,59.87,61.29,59.3493,61.23,6886304.0
2020-08-10,RTX,61.5,64.435,61.36,64.23,10969164.0
2020-08-11,RTX,65.19,66.15,64.075,64.26,13216786.0
2020-08-12,RTX,65.13,65.14,63.38,64.29,7818868.0
2020-08-13,RTX,63.06,64.0377,62.65,63.3,11045602.0
2020-08-14,RTX,62.8,64.24,62.59,63.64,6573312.0
2020-08-17,RTX,63.58,63.88,62.675,62.77,7496038.0
2020-08-18,RTX,62.72,63.17,62.025,62.1,5302096.0
2020-08-19,RTX,62.01,62.91,61.5,61.64,6244586.0
2020-08-20,RTX,61.0,61.42,60.335,60.99,5196657.0
2020-08-21,RTX,60.67,61.28,60.23,60.27,7876499.0
2020-08-24,RTX,60.4,62.04,60.13,61.88,7673505.0
2020-08-25,RTX,61.36,61.4,59.64,60.95,13196291.0
2020-08-26,RTX,60.64,60.9238,59.985,60.77,9219557.0
2020-08-27,RTX,60.76,61.96,60.375,60.9,9454809.0
2020-08-28,RTX,61.12,62.53,60.63,62.24,26072105.0
2020-08-31,RTX,62.19,63.57,60.92,61.0,12138421.0
2020-09-01,RTX,60.69,61.35,60.12,60.68,9867942.0
2020-09-02,RTX,61.0,62.15,60.76,62.0,8114359.0
