Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,SBUX,62.9535,66.793,61.46,62.1,27723086.0
2020-03-13,SBUX,65.65,70.18,63.51,69.92,21232234.0
2020-03-16,SBUX,60.63,63.949,58.11,58.59,25141227.0
2020-03-17,SBUX,59.55,59.6199,53.61,58.98,26537995.0
2020-03-18,SBUX,55.55,57.65,50.02,56.33,30381128.0
2020-03-19,SBUX,56.23,63.36,53.55,61.41,27008739.0
2020-03-20,SBUX,62.3,65.68,57.91,58.03,31952891.0
2020-03-23,SBUX,57.23,57.44,54.0,56.55,26518504.0
2020-03-24,SBUX,62.61,65.16,61.0,64.88,30214261.0
2020-03-25,SBUX,66.83,69.64,63.4927,65.81,24879850.0
2020-03-26,SBUX,66.71,71.58,66.25,69.97,22899235.0
2020-03-27,SBUX,66.68,68.25,64.8202,66.34,20746263.0
2020-03-30,SBUX,66.56,68.2199,64.58,67.86,15863808.0
2020-03-31,SBUX,67.18,68.32,65.31,65.74,24679823.0
2020-04-01,SBUX,63.0,64.76,61.58,62.62,14076853.0
2020-04-02,SBUX,65.5,68.7,62.91,65.0,19086421.0
2020-04-03,SBUX,64.47,64.75,60.9,63.05,15833273.0
2020-04-06,SBUX,66.27,68.34,64.41,67.79,20137055.0
2020-04-07,SBUX,71.5676,72.48,68.335,68.71,15003819.0
2020-04-08,SBUX,69.58,71.92,68.5377,71.57,11326764.0
2020-04-09,SBUX,71.2,74.255,70.14,73.88,20775321.0
2020-04-13,SBUX,73.5203,73.6,70.35,71.76,12771385.0
2020-04-14,SBUX,73.69,74.33,72.66,73.67,11938292.0
2020-04-15,SBUX,72.01,73.175,70.71,72.55,11794312.0
2020-04-16,SBUX,73.11,73.76,71.345,73.51,12987315.0
2020-04-17,SBUX,76.62,77.39,74.97,77.1,15757942.0
2020-04-20,SBUX,76.02,76.98,75.085,75.32,10385258.0
2020-04-21,SBUX,73.4,73.96,71.74,72.72,11162256.0
2020-04-22,SBUX,74.55,78.06,74.43,77.45,12417688.0
2020-04-23,SBUX,77.33,77.67,74.26,75.15,16381468.0
2020-04-24,SBUX,75.75,76.03,74.21,75.58,9290304.0
2020-04-27,SBUX,76.68,78.04,76.54,77.74,8749911.0
2020-04-28,SBUX,78.67,79.61,76.96,78.69,13640943.0
2020-04-29,SBUX,78.18,78.75,76.72,76.86,25607515.0
2020-04-30,SBUX,76.83,77.64,75.19,76.719,16740512.0
2020-05-01,SBUX,74.9,75.8799,73.21,73.785,12178206.0
2020-05-04,SBUX,72.58,72.62,71.255,71.89,13920202.0
2020-05-05,SBUX,74.96,75.08,72.89,72.9,13720708.0
2020-05-06,SBUX,73.767,74.85,72.86,72.96,13646693.0
2020-05-07,SBUX,73.81,76.03,73.37,76.0,14792179.0
2020-05-08,SBUX,77.25,77.93,75.76,77.87,13612309.0
2020-05-11,SBUX,76.62,77.18,75.795,75.87,10186762.0
2020-05-12,SBUX,76.0,76.73,74.34,74.35,9402281.0
2020-05-13,SBUX,74.46,75.75,72.92,73.62,12232508.0
2020-05-14,SBUX,72.32,74.29,70.65,74.19,13101257.0
2020-05-15,SBUX,72.81,74.64,72.6746,74.16,10552568.0
2020-05-18,SBUX,76.86,77.5,76.2,76.23,9791438.0
2020-05-19,SBUX,76.4,77.225,75.76,75.86,7024240.0
2020-05-20,SBUX,77.23,77.84,76.52,77.76,8805912.0
2020-05-21,SBUX,78.6,79.375,77.89,78.05,10898078.0
2020-05-22,SBUX,77.9,78.05,76.52,77.62,8219192.0
2020-05-26,SBUX,79.6,79.92,77.575,77.76,9487255.0
2020-05-27,SBUX,78.98,78.98,77.385,78.6,8919670.0
2020-05-28,SBUX,78.64,80.06,77.93,78.54,9108147.0
2020-05-29,SBUX,78.375,78.64,77.26,77.99,11603800.0
2020-06-01,SBUX,77.66,78.65,76.77,78.32,8391595.0
2020-06-02,SBUX,77.97,78.255,76.79,77.78,10173605.0
2020-06-03,SBUX,78.45,79.95,78.3,79.58,10726848.0
2020-06-04,SBUX,79.31,80.17,78.47,78.74,8507248.0
2020-06-05,SBUX,80.33,82.33,79.97,82.14,13801248.0
2020-06-08,SBUX,83.08,83.62,82.1828,83.56,11362214.0
2020-06-09,SBUX,82.62,83.22,81.76,82.37,9059607.0
2020-06-10,SBUX,79.88,80.025,78.2,79.01,20669012.0
2020-06-11,SBUX,75.75,76.79,72.15,72.57,27995973.0
2020-06-12,SBUX,75.0,76.715,73.81,76.369,19692857.0
2020-06-15,SBUX,74.3,77.91,74.08,76.96,15609769.0
2020-06-16,SBUX,78.79,78.9435,76.39,77.84,11834252.0
2020-06-17,SBUX,78.07,78.29,76.68,77.1,7688624.0
2020-06-18,SBUX,76.72,76.79,75.795,76.31,9459156.0
2020-06-19,SBUX,77.03,77.375,74.88,75.4,15216215.0
2020-06-22,SBUX,74.9,75.651,73.92,75.4,9317051.0
2020-06-23,SBUX,76.33,76.37,75.07,75.49,8921935.0
2020-06-24,SBUX,74.9,74.92,72.0,73.64,13437087.0
2020-06-25,SBUX,73.2157,74.105,72.17,73.85,9340494.0
2020-06-26,SBUX,73.63,73.77,71.25,71.57,20155577.0
2020-06-29,SBUX,71.4091,73.5,71.06,73.48,9438471.0
2020-06-30,SBUX,73.58,73.88,72.81,73.59,13556668.0
2020-07-01,SBUX,74.0,74.69,73.38,74.03,7268740.0
2020-07-02,SBUX,75.04,75.09,73.64,73.78,7144793.0
2020-07-06,SBUX,74.93,75.48,74.16,75.44,7980785.0
2020-07-07,SBUX,75.13,75.23,74.0,74.25,8134295.0
2020-07-08,SBUX,74.07,74.499,73.33,74.14,7962495.0
2020-07-09,SBUX,73.73,74.22,71.93,73.57,10224150.0
2020-07-10,SBUX,73.0,74.56,72.74,74.29,8112453.0
2020-07-13,SBUX,74.5601,74.84,72.49,72.65,10171611.0
2020-07-14,SBUX,72.0,72.97,71.815,72.73,9590173.0
2020-07-15,SBUX,74.46,75.805,73.96,75.61,11139703.0
2020-07-16,SBUX,74.9,75.14,73.68,74.39,7319605.0
2020-07-17,SBUX,74.43,74.55,73.2101,74.16,6869599.0
2020-07-20,SBUX,74.16,75.22,73.6305,74.96,9411087.0
2020-07-21,SBUX,75.78,76.8,75.27,75.44,12384025.0
2020-07-22,SBUX,75.5,77.325,75.12,77.24,10188329.0
2020-07-23,SBUX,76.88,77.07,74.9,75.36,8390106.0
2020-07-24,SBUX,75.28,75.995,75.11,75.78,6090879.0
2020-07-27,SBUX,75.886,76.705,75.54,76.46,7515651.0
2020-07-28,SBUX,76.3,76.39,74.5604,74.64,12873618.0
2020-07-29,SBUX,77.56,78.49,76.9,77.42,15975825.0
2020-07-30,SBUX,76.63,76.98,75.4,76.64,8344445.0
2020-07-31,SBUX,76.24,76.54,75.48,76.53,8612496.0
