Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,SMCI,23.01,23.44,21.5,22.2,703572.0
2020-03-13,SMCI,22.75,23.0,21.17,22.92,512406.0
2020-03-16,SMCI,20.0,20.379,17.02,17.38,1213339.0
2020-03-17,SMCI,17.55,19.37,17.0,19.12,531751.0
2020-03-18,SMCI,17.89,18.41,15.76,15.98,368538.0
2020-03-19,SMCI,15.82,16.99,15.82,16.1,844654.0
2020-03-20,SMCI,16.38,18.29,16.38,16.88,486112.0
2020-03-23,SMCI,17.0,17.37,16.325,16.77,652734.0
2020-03-24,SMCI,17.75,18.81,17.3,18.81,255438.0
2020-03-25,SMCI,18.75,21.13,18.55,20.67,291492.0
2020-03-26,SMCI,20.84,22.31,20.62,21.73,397635.0
2020-03-27,SMCI,21.02,21.44,20.02,20.37,162260.0
2020-03-30,SMCI,20.55,21.16,20.2,20.89,198172.0
2020-03-31,SMCI,20.89,21.48,20.82,21.28,173098.0
2020-04-01,SMCI,20.46,21.0,19.91,20.46,372360.0
2020-04-02,SMCI,20.56,21.245,19.4787,20.89,197205.0
2020-04-03,SMCI,20.62,21.72,19.63,20.18,299481.0
2020-04-06,SMCI,20.81,21.39,19.75,20.21,258297.0
2020-04-07,SMCI,20.8,20.975,19.9,20.28,343669.0
2020-04-08,SMCI,20.51,21.12,20.07,20.93,206577.0
2020-04-09,SMCI,21.33,21.905,20.61,21.48,238000.0
2020-04-13,SMCI,21.45,21.65,20.49,21.29,193923.0
2020-04-14,SMCI,21.66,22.46,21.66,21.9,159026.0
2020-04-15,SMCI,21.5,21.99,21.1876,21.61,183136.0
2020-04-16,SMCI,21.76,21.89,21.04,21.6,182818.0
2020-04-17,SMCI,22.1,22.587,21.42,21.77,192644.0
2020-04-20,SMCI,21.82,21.9,21.13,21.69,119092.0
2020-04-21,SMCI,21.53,21.53,20.27,20.98,119210.0
2020-04-22,SMCI,21.39,21.71,21.05,21.46,104334.0
2020-04-23,SMCI,21.71,22.02,21.305,21.62,212347.0
2020-04-24,SMCI,21.75,21.94,21.21,21.7,214958.0
2020-04-27,SMCI,21.85,22.46,21.8,22.23,248155.0
2020-04-28,SMCI,22.63,23.37,22.07,22.77,341607.0
2020-04-29,SMCI,23.45,23.9279,23.15,23.47,216171.0
2020-04-30,SMCI,23.37,23.37,22.5,22.9,247254.0
