Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,STE,138.18,138.67,130.71,131.06,945250.0
2020-03-13,STE,136.59,137.47,127.27,136.29,1001161.0
2020-03-16,STE,124.54,129.03,120.05,120.5,973794.0
2020-03-17,STE,123.32,133.88,118.04,130.63,1002535.0
2020-03-18,STE,121.27,130.88,111.74,122.78,982495.0
2020-03-19,STE,121.86,125.435,116.905,121.22,870108.0
2020-03-20,STE,121.41,122.87,115.33,115.7,982329.0
2020-03-23,STE,115.43,117.75,105.69,107.76,991855.0
2020-03-24,STE,112.78,118.99,110.82,118.11,897751.0
2020-03-25,STE,117.3,123.3716,115.3125,117.82,895592.0
2020-03-26,STE,119.14,130.27,119.0,129.61,1128314.0
2020-03-27,STE,125.61,133.53,123.8,129.74,1266954.0
2020-03-30,STE,131.21,140.4,131.14,139.99,1000630.0
2020-03-31,STE,139.58,142.36,137.7,139.97,1577857.0
2020-04-01,STE,135.21,140.03,133.79,137.7,1113040.0
2020-04-02,STE,137.35,141.43,136.01,139.55,830411.0
2020-04-03,STE,138.47,140.94,137.565,138.72,1058739.0
2020-04-06,STE,143.96,149.51,142.21,148.65,1129712.0
2020-04-07,STE,149.99,154.37,147.76,148.76,1130371.0
2020-04-08,STE,149.64,150.6,146.22,149.25,877898.0
2020-04-09,STE,149.15,153.73,147.86,152.69,705550.0
2020-04-13,STE,152.54,153.4128,145.26,149.51,952819.0
2020-04-14,STE,152.27,158.53,151.25,157.16,971252.0
2020-04-15,STE,154.17,156.04,151.97,154.75,630663.0
2020-04-16,STE,155.57,156.2285,149.46,150.33,962553.0
2020-04-17,STE,152.96,155.46,149.49,154.97,767885.0
2020-04-20,STE,153.9,160.16,153.44,157.45,947937.0
2020-04-21,STE,155.0,155.385,146.41,147.78,787580.0
2020-04-22,STE,149.95,152.28,147.57,150.88,430213.0
2020-04-23,STE,150.42,153.07,149.035,149.45,632824.0
2020-04-24,STE,150.5,151.12,145.53,147.82,898025.0
2020-04-27,STE,149.36,150.815,148.0,149.67,447824.0
2020-04-28,STE,150.6,151.748,146.14,146.21,554081.0
2020-04-29,STE,147.25,149.21,145.61,146.86,567299.0
2020-04-30,STE,145.86,146.24,141.23,142.5,857053.0
2020-05-01,STE,141.23,143.04,139.7,141.4,684396.0
2020-05-04,STE,141.39,141.43,138.66,139.54,433482.0
2020-05-05,STE,140.72,143.72,140.53,141.66,995605.0
2020-05-06,STE,142.42,142.68,139.51,140.99,621281.0
2020-05-07,STE,143.39,145.42,142.68,143.86,702786.0
2020-05-08,STE,146.5,148.78,145.235,148.25,682644.0
2020-05-11,STE,147.0,153.59,147.0,152.78,649527.0
2020-05-12,STE,153.5,153.95,149.14,149.14,649539.0
2020-05-13,STE,148.61,150.04,145.29,147.06,756044.0
2020-05-14,STE,146.4,153.55,144.1096,150.89,1171444.0
2020-05-15,STE,150.29,153.4958,149.88,151.32,2284924.0
2020-05-18,STE,154.58,160.54,153.64,159.54,621934.0
2020-05-19,STE,159.22,160.575,157.54,157.65,515958.0
2020-05-20,STE,159.27,159.87,157.82,158.03,536639.0
2020-05-21,STE,156.84,157.69,155.7,156.3,365756.0
2020-05-22,STE,156.62,157.81,155.12,157.48,488775.0
2020-05-26,STE,159.65,161.1,158.05,158.68,417768.0
2020-05-27,STE,158.92,160.02,156.94,159.98,466668.0
2020-05-28,STE,161.1,164.57,160.01,162.81,463186.0
2020-05-29,STE,163.53,166.39,161.14,165.89,921015.0
2020-06-01,STE,165.49,166.635,164.33,165.65,596948.0
2020-06-02,STE,165.94,166.98,161.75,164.44,626479.0
2020-06-03,STE,165.0,165.53,162.95,163.17,612988.0
2020-06-04,STE,162.58,164.0,159.99,160.63,594024.0
2020-06-05,STE,162.64,165.23,162.06,163.91,618610.0
2020-06-08,STE,162.66,165.8,162.66,165.43,599510.0
2020-06-09,STE,164.51,165.59,161.32,161.56,556092.0
2020-06-10,STE,162.06,162.06,158.96,159.64,498997.0
2020-06-11,STE,157.16,157.16,148.9117,149.33,623858.0
2020-06-12,STE,153.1,154.51,149.34,151.82,575852.0
2020-06-15,STE,149.08,154.3,148.08,153.85,444058.0
2020-06-16,STE,157.08,157.35,154.17,154.9,483672.0
2020-06-17,STE,156.19,156.83,154.4,154.94,364094.0
2020-06-18,STE,154.13,154.875,152.68,153.36,386166.0
2020-06-19,STE,155.91,156.14,152.07,152.24,1145347.0
2020-06-22,STE,152.0,154.377,150.395,153.17,687412.0
2020-06-23,STE,154.76,156.16,153.02,154.81,758281.0
2020-06-24,STE,153.42,153.42,148.29,149.04,579264.0
2020-06-25,STE,149.32,149.32,146.12,149.15,635806.0
2020-06-26,STE,149.0,150.3,147.54,148.33,2036516.0
2020-06-29,STE,150.21,151.02,148.19,149.68,626070.0
2020-06-30,STE,149.45,154.275,149.45,153.44,607765.0
2020-07-01,STE,154.7,155.2,152.465,154.28,737345.0
2020-07-02,STE,155.68,157.13,153.57,154.01,654737.0
2020-07-06,STE,155.51,156.21,153.24,153.65,810954.0
2020-07-07,STE,151.96,154.02,150.83,151.78,546962.0
2020-07-08,STE,152.4,152.54,149.3358,150.82,589259.0
2020-07-09,STE,150.78,151.83,147.32,150.44,1186445.0
2020-07-10,STE,150.53,150.81,148.91,150.51,332883.0
2020-07-13,STE,151.62,153.88,149.83,150.16,435504.0
2020-07-14,STE,150.16,153.53,149.825,153.32,490075.0
2020-07-15,STE,155.82,158.41,155.13,157.59,441240.0
2020-07-16,STE,157.63,157.95,156.21,157.1,308721.0
2020-07-17,STE,158.02,160.805,157.18,159.96,511370.0
2020-07-20,STE,159.94,160.5,156.87,157.45,322331.0
2020-07-21,STE,157.51,158.5125,156.17,157.16,541375.0
2020-07-22,STE,157.08,158.05,156.22,157.84,346112.0
2020-07-23,STE,158.23,159.135,156.975,158.03,393111.0
2020-07-24,STE,158.14,158.14,154.86,156.35,384362.0
2020-07-27,STE,156.35,158.82,156.34,157.69,497534.0
2020-07-28,STE,157.27,158.66,155.85,157.11,671103.0
2020-07-29,STE,157.8,163.34,157.8,161.73,649588.0
2020-07-30,STE,159.08,161.46,158.13,161.13,378295.0
2020-07-31,STE,160.22,160.65,157.2763,159.63,490202.0
2020-08-03,STE,159.94,162.9,159.94,161.07,539912.0
2020-08-04,STE,161.58,164.12,157.3,158.0,654030.0
2020-08-05,STE,159.7,159.91,157.12,157.67,398695.0
2020-08-06,STE,157.65,157.65,154.645,155.98,454943.0
2020-08-07,STE,155.9,157.14,152.37,154.22,603375.0
2020-08-10,STE,154.1,156.895,153.52,155.88,627649.0
2020-08-11,STE,156.71,160.26,156.24,158.72,624671.0
2020-08-12,STE,159.33,160.97,158.78,160.51,380216.0
2020-08-13,STE,159.53,160.33,158.62,159.2,277303.0
2020-08-14,STE,158.15,159.9,158.05,158.7,286980.0
2020-08-17,STE,158.7,160.6943,157.66,158.11,287705.0
2020-08-18,STE,158.71,159.62,155.88,157.75,329602.0
2020-08-19,STE,157.94,157.94,156.27,156.96,408801.0
2020-08-20,STE,156.14,156.97,154.59,154.66,282573.0
2020-08-21,STE,154.91,155.0,152.385,153.46,430637.0
2020-08-24,STE,153.84,154.87,151.87,153.12,348254.0
2020-08-25,STE,154.3,155.21,153.75,154.59,339088.0
2020-08-26,STE,153.68,154.61,151.79,154.27,372246.0
2020-08-27,STE,154.27,157.71,153.8,156.93,390624.0
2020-08-28,STE,157.75,158.58,155.63,157.64,287519.0
2020-08-31,STE,157.84,160.4,157.6,159.64,511431.0
2020-09-01,STE,158.85,160.23,157.7,158.77,411119.0
2020-09-02,STE,160.25,164.16,159.2,163.55,451437.0
2020-09-03,STE,163.55,163.55,158.47,160.48,425659.0
2020-09-04,STE,161.69,162.15,156.965,157.92,383154.0
2020-09-08,STE,157.06,159.59,155.99,159.02,683034.0
2020-09-09,STE,160.14,163.74,160.14,163.02,726753.0
2020-09-10,STE,163.6,165.32,161.2536,162.09,667551.0
2020-09-11,STE,162.9,164.41,161.62,162.28,627464.0
2020-09-14,STE,163.67,167.85,163.58,167.17,496500.0
2020-09-15,STE,167.17,170.71,166.97,169.64,694236.0
2020-09-16,STE,170.63,171.71,169.36,170.16,682460.0
2020-09-17,STE,169.17,171.89,168.02,171.51,563033.0
2020-09-18,STE,171.93,176.06,171.25,175.91,1294748.0
2020-09-21,STE,173.95,173.95,168.55,172.05,839406.0
2020-09-22,STE,171.79,172.21,166.5,169.59,581013.0
2020-09-23,STE,169.77,170.44,165.19,165.67,466838.0
2020-09-24,STE,165.28,168.44,164.19,167.26,457708.0
2020-09-25,STE,166.14,170.67,165.76,170.21,599372.0
2020-09-28,STE,172.97,175.37,172.47,172.96,526916.0
2020-09-29,STE,173.47,174.73,172.18,172.82,471738.0
2020-09-30,STE,173.0,177.75,173.0,176.19,659325.0
2020-10-01,STE,177.11,178.755,173.215,174.47,527886.0
2020-10-02,STE,172.04,174.18,171.35,172.67,555484.0
2020-10-05,STE,173.43,175.02,173.19,174.72,506914.0
2020-10-06,STE,176.19,184.99,176.03,181.01,727921.0
2020-10-07,STE,182.68,186.02,181.3801,185.29,582692.0
2020-10-08,STE,187.0,187.0,185.92,186.75,392839.0
2020-10-09,STE,187.57,189.345,186.6,188.45,695718.0
2020-10-12,STE,189.2,192.97,188.435,191.82,419010.0
2020-10-13,STE,190.63,191.185,187.36,187.68,426242.0
2020-10-14,STE,187.92,190.82,185.61,186.58,453526.0
2020-10-15,STE,185.51,188.42,184.33,187.33,339337.0
2020-10-16,STE,187.52,190.565,187.52,188.88,294239.0
2020-10-19,STE,189.34,191.52,186.08,186.43,255390.0
2020-10-20,STE,186.87,189.25,185.86,186.34,229212.0
2020-10-21,STE,186.23,187.56,185.66,185.95,219008.0
2020-10-22,STE,186.59,189.58,186.115,188.19,261032.0
2020-10-23,STE,189.27,189.27,185.86,187.54,201287.0
2020-10-26,STE,185.81,186.5766,183.78,186.42,270878.0
2020-10-27,STE,186.83,188.01,184.84,185.35,317457.0
2020-10-28,STE,182.99,182.99,178.18,178.62,364260.0
2020-10-29,STE,178.06,179.66,175.5,177.33,449031.0
2020-10-30,STE,176.73,178.66,172.9,177.19,411398.0
2020-11-02,STE,178.24,182.73,177.68,181.57,665939.0
2020-11-03,STE,182.14,186.58,174.18,176.38,675404.0
2020-11-04,STE,178.74,181.77,176.2,177.62,460842.0
2020-11-05,STE,179.06,180.01,177.95,179.16,282438.0
2020-11-06,STE,179.2,182.66,179.2,181.67,475255.0
2020-11-09,STE,190.23,195.24,190.05,190.05,755923.0
2020-11-10,STE,190.45,190.45,184.17,189.48,440049.0
2020-11-11,STE,190.33,190.67,187.2775,189.18,278889.0
2020-11-12,STE,189.06,190.09,185.69,189.02,329177.0
2020-11-13,STE,189.78,193.3,189.78,192.79,290156.0
2020-11-16,STE,195.0,196.55,192.14,195.58,505117.0
2020-11-17,STE,194.69,195.69,191.9,195.21,463980.0
2020-11-18,STE,195.21,195.21,190.5386,191.94,352979.0
2020-11-19,STE,192.51,195.38,190.72,194.73,310771.0
2020-11-20,STE,194.46,196.8,193.42,196.05,589687.0
2020-11-23,STE,196.25,196.42,188.37,189.09,519720.0
2020-11-24,STE,189.68,191.85,188.2768,190.63,468012.0
2020-11-25,STE,191.14,191.14,188.44,189.29,261376.0
2020-11-27,STE,189.83,191.95,188.49,191.69,200698.0
2020-11-30,STE,191.69,193.82,190.365,193.81,726421.0
