Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,STLD,19.6,20.52,18.68,18.74,4774411.0
2020-03-13,STLD,20.13,21.88,20.02,21.85,4328510.0
2020-03-16,STLD,19.09,20.6,17.66,17.88,3338076.0
2020-03-17,STLD,18.12,18.435,17.26,17.48,4123694.0
2020-03-18,STLD,16.22,16.56,14.98,15.5,3824822.0
2020-03-19,STLD,15.18,19.25,15.01,18.51,5123873.0
2020-03-20,STLD,18.69,20.22,18.45,18.81,5261172.0
2020-03-23,STLD,18.85,19.19,17.26,17.89,4111963.0
2020-03-24,STLD,19.42,21.39,19.23,20.87,6015463.0
2020-03-25,STLD,21.12,21.37,19.1,19.67,4870020.0
2020-03-26,STLD,20.02,21.19,18.95,20.6,3773858.0
2020-03-27,STLD,19.55,20.95,19.42,20.29,3000736.0
2020-03-30,STLD,19.99,21.96,19.25,21.83,3105303.0
2020-03-31,STLD,21.91,23.025,21.46,22.54,4016936.0
2020-04-01,STLD,21.61,22.5,21.41,21.94,6106889.0
2020-04-02,STLD,21.87,22.45,20.52,21.29,2627782.0
2020-04-03,STLD,21.23,21.99,20.7,20.98,2513729.0
2020-04-06,STLD,22.27,23.0,21.96,22.6,2677376.0
2020-04-07,STLD,23.87,24.39,22.69,22.79,3262538.0
2020-04-08,STLD,23.35,23.83,22.84,23.5,1394991.0
2020-04-09,STLD,24.2,24.658,23.56,23.96,1796943.0
2020-04-13,STLD,23.97,24.17,23.025,23.67,1921820.0
2020-04-14,STLD,24.27,24.53,23.07,23.22,1466359.0
2020-04-15,STLD,22.06,22.08,21.21,21.85,1908888.0
2020-04-16,STLD,22.02,22.435,21.57,22.255,2569564.0
2020-04-17,STLD,23.1,23.59,22.58,23.47,2134985.0
2020-04-20,STLD,22.56,23.17,22.09,22.57,2313343.0
2020-04-21,STLD,21.56,22.8,20.58,22.22,5134253.0
2020-04-22,STLD,23.12,23.25,22.21,22.84,3119349.0
2020-04-23,STLD,23.15,24.34,22.91,24.07,2578005.0
2020-04-24,STLD,24.33,24.75,23.49,23.54,2191298.0
2020-04-27,STLD,23.7,25.21,23.65,24.93,1840368.0
2020-04-28,STLD,25.57,25.86,24.2,24.72,1979286.0
2020-04-29,STLD,25.56,26.12,25.33,25.89,3560369.0
2020-04-30,STLD,25.16,25.31,24.17,24.27,2553933.0
2020-05-01,STLD,23.82,25.0,23.7,24.41,2352412.0
2020-05-04,STLD,23.9391,24.76,23.895,24.32,2452554.0
2020-05-05,STLD,24.73,25.24,24.12,24.15,1519320.0
2020-05-06,STLD,23.61,24.355,23.51,23.88,2246672.0
2020-05-07,STLD,24.33,24.79,23.985,24.13,1908864.0
2020-05-08,STLD,24.68,25.47,24.57,25.37,1493257.0
2020-05-11,STLD,24.53,24.73,24.21,24.3,2036097.0
2020-05-12,STLD,24.36,24.66,23.23,23.24,1853905.0
2020-05-13,STLD,22.75,23.14,21.6,22.15,2370815.0
2020-05-14,STLD,21.5,22.275,20.97,22.25,2066890.0
2020-05-15,STLD,22.16,22.66,21.81,22.52,1729099.0
2020-05-18,STLD,23.66,24.695,23.59,24.36,2486953.0
2020-05-19,STLD,24.35,25.035,24.02,24.19,1611904.0
2020-05-20,STLD,24.33,25.25,24.33,24.62,2242063.0
2020-05-21,STLD,24.6,25.11,24.5686,24.76,2107634.0
2020-05-22,STLD,24.95,24.95,23.89,24.43,2170323.0
