Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,SWK,109.45,116.0833,104.66,104.74,3006116.0
2020-03-13,SWK,110.67,111.51,99.62,109.09,2615191.0
2020-03-16,SWK,99.53,99.716,82.9,86.64,3419996.0
2020-03-17,SWK,88.02,91.22,78.61,90.91,3879790.0
2020-03-18,SWK,84.09,87.74,72.39,86.1,4978859.0
2020-03-19,SWK,76.96,85.72,70.0,83.77,2466673.0
2020-03-20,SWK,85.12,89.57,78.84,79.45,3438108.0
2020-03-23,SWK,78.56,79.46,70.0,72.03,3349261.0
2020-03-24,SWK,76.77,92.15,76.07,90.27,2658765.0
2020-03-25,SWK,90.705,105.43,90.705,98.26,4446822.0
2020-03-26,SWK,100.32,108.22,98.55,107.24,2365912.0
2020-03-27,SWK,101.83,103.15,95.03,96.66,1924989.0
2020-03-30,SWK,95.11,101.32,94.05,100.38,1438885.0
2020-03-31,SWK,99.12,102.57,98.19,100.0,2390488.0
2020-04-01,SWK,94.16,95.34,88.54,92.13,2317940.0
2020-04-02,SWK,92.59,95.85,92.59,95.69,2155793.0
2020-04-03,SWK,94.69,96.88,93.46,95.27,3030225.0
2020-04-06,SWK,102.24,107.8,99.63,106.69,2203943.0
2020-04-07,SWK,111.95,114.67,107.22,107.4,1947865.0
2020-04-08,SWK,109.13,115.74,107.62,114.38,1910344.0
2020-04-09,SWK,116.76,120.52,115.54,119.37,3503654.0
2020-04-13,SWK,119.99,120.4,110.6463,114.05,1537590.0
2020-04-14,SWK,116.7,118.175,114.71,115.53,1182692.0
2020-04-15,SWK,110.4,111.77,105.91,107.19,1948512.0
2020-04-16,SWK,107.28,107.28,104.23,106.71,2023946.0
2020-04-17,SWK,111.31,113.8,110.75,112.54,2268173.0
2020-04-20,SWK,108.89,112.46,106.62,110.48,2060957.0
2020-04-21,SWK,105.34,107.31,104.58,106.34,1561184.0
2020-04-22,SWK,109.01,109.545,105.06,107.37,1389681.0
2020-04-23,SWK,107.59,109.65,105.4,105.83,1640533.0
2020-04-24,SWK,106.75,109.0,104.26,107.74,2396948.0
2020-04-27,SWK,108.62,113.75,108.175,112.74,1553434.0
2020-04-28,SWK,114.4,119.82,114.4,117.82,1992418.0
2020-04-29,SWK,121.26,124.01,120.67,122.09,1975205.0
2020-04-30,SWK,112.31,116.13,108.005,110.2,5444424.0
2020-05-01,SWK,107.77,110.73,106.15,106.5,2741929.0
2020-05-04,SWK,104.85,106.49,101.5,103.93,2417851.0
2020-05-05,SWK,105.53,108.64,104.8272,107.12,2310409.0
2020-05-06,SWK,107.23,107.95,104.86,106.11,1783982.0
2020-05-07,SWK,107.33,110.48,107.33,109.98,2835513.0
2020-05-08,SWK,112.0,117.5,111.83,117.33,3138661.0
2020-05-11,SWK,115.71,116.5,112.03,113.58,1587452.0
2020-05-12,SWK,110.59,113.24,108.72,108.72,2680071.0
2020-05-13,SWK,107.97,108.0,101.175,102.39,2071263.0
2020-05-14,SWK,100.06,104.75,97.6375,104.45,2598225.0
2020-05-15,SWK,103.22,109.77,102.8,107.84,2163467.0
2020-05-18,SWK,112.94,121.3599,112.94,120.66,1968984.0
2020-05-19,SWK,125.0,125.08,119.545,121.89,2266936.0
2020-05-20,SWK,123.68,127.99,123.68,127.13,2128882.0
2020-05-21,SWK,126.62,128.035,122.99,123.52,1333180.0
2020-05-22,SWK,123.99,124.36,120.87,121.49,1613707.0
2020-05-26,SWK,127.41,129.45,125.97,128.1,1907825.0
2020-05-27,SWK,133.68,136.81,131.36,132.84,2813565.0
2020-05-28,SWK,133.78,134.02,126.2,126.49,1389516.0
2020-05-29,SWK,125.24,127.385,121.8,125.45,2052606.0
2020-06-01,SWK,125.0,126.775,123.57,125.09,1293188.0
2020-06-02,SWK,126.7,131.12,126.06,131.12,1398403.0
2020-06-03,SWK,133.83,141.75,133.83,137.95,1840853.0
2020-06-04,SWK,136.91,142.64,136.22,142.5,1454904.0
2020-06-05,SWK,150.81,154.42,145.77,146.64,2393861.0
2020-06-08,SWK,147.54,151.8,147.1,148.23,2099442.0
2020-06-09,SWK,145.26,145.985,141.02,141.23,2470348.0
2020-06-10,SWK,140.87,140.91,136.43,136.48,1699367.0
2020-06-11,SWK,129.54,133.86,127.55,128.45,1930066.0
2020-06-12,SWK,134.73,136.135,126.16,131.09,3401503.0
2020-06-15,SWK,125.33,135.855,124.74,135.38,2182458.0
2020-06-16,SWK,142.38,143.97,135.43,138.32,1760319.0
2020-06-17,SWK,138.72,139.29,134.765,135.31,1207721.0
2020-06-18,SWK,134.09,138.31,133.01,136.76,1640790.0
2020-06-19,SWK,140.0,140.365,133.92,133.92,3141657.0
2020-06-22,SWK,133.02,135.805,131.83,135.41,1188280.0
2020-06-23,SWK,137.22,137.75,135.55,135.68,1068736.0
