Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,SYF,22.58,23.98,21.65,22.48,15602929.0
2020-03-13,SYF,23.41,24.16,22.22,24.13,14388531.0
2020-03-16,SYF,20.0,20.01,17.75,17.85,17168792.0
2020-03-17,SYF,18.42,18.86,16.1,17.46,19831660.0
2020-03-18,SYF,16.15,16.59,12.15,13.93,14355327.0
2020-03-19,SYF,13.63,15.38,12.31,14.6,16180582.0
2020-03-20,SYF,14.97,15.2,13.26,13.41,14825972.0
2020-03-23,SYF,13.26,13.44,12.25,12.8,15668072.0
2020-03-24,SYF,13.71,15.25,13.68,14.74,13176169.0
2020-03-25,SYF,15.79,17.315,15.11,16.66,14097531.0
2020-03-26,SYF,17.15,19.86,17.0,19.03,19636542.0
2020-03-27,SYF,18.0,18.18,16.85,17.1,12334387.0
2020-03-30,SYF,16.94,17.0,16.06,16.77,7769722.0
2020-03-31,SYF,16.78,16.8396,15.96,16.09,11836188.0
2020-04-01,SYF,14.97,15.2,13.96,14.51,13429104.0
2020-04-02,SYF,14.33,15.13,13.71,14.31,10353984.0
2020-04-03,SYF,14.04,14.26,12.98,13.25,12691961.0
2020-04-06,SYF,14.23,15.67,14.17,15.49,12182534.0
2020-04-07,SYF,17.0,18.19,15.96,16.12,15846710.0
2020-04-08,SYF,16.56,17.03,16.105,16.82,10364917.0
2020-04-09,SYF,17.8,18.92,17.34,17.62,14582190.0
2020-04-13,SYF,18.02,18.02,16.135,16.22,13401098.0
2020-04-14,SYF,16.45,16.98,15.6,15.9,11306247.0
2020-04-15,SYF,15.01,15.29,14.56,14.95,9009947.0
2020-04-16,SYF,14.85,15.0,14.02,14.17,11018270.0
2020-04-17,SYF,15.13,15.7,14.99,15.62,12847920.0
2020-04-20,SYF,15.14,15.985,14.78,15.59,11603143.0
2020-04-21,SYF,15.0,15.985,14.51,15.17,11467576.0
2020-04-22,SYF,15.63,16.17,15.25,16.05,10390324.0
2020-04-23,SYF,16.06,16.68,16.04,16.1,9665003.0
2020-04-24,SYF,16.25,17.015,16.19,16.97,14181302.0
2020-04-27,SYF,17.17,17.78,17.07,17.62,12575742.0
2020-04-28,SYF,18.7,19.23,18.39,18.74,10992602.0
2020-04-29,SYF,19.99,21.38,19.86,21.05,15832717.0
2020-04-30,SYF,20.38,20.91,19.42,19.79,11523310.0
2020-05-01,SYF,18.65,18.76,18.05,18.51,8897458.0
2020-05-04,SYF,17.95,18.56,17.57,18.43,8379326.0
2020-05-05,SYF,18.9,19.35,17.95,18.0,8489819.0
2020-05-06,SYF,18.2,18.42,17.26,17.3,6749033.0
2020-05-07,SYF,17.58,18.36,17.5,17.99,8734797.0
2020-05-08,SYF,18.48,18.68,18.3,18.62,5247938.0
2020-05-11,SYF,18.17,18.23,17.535,17.73,6659942.0
2020-05-12,SYF,17.76,18.12,16.96,16.98,6512869.0
2020-05-13,SYF,16.7,16.79,15.75,15.87,14586624.0
2020-05-14,SYF,15.4,17.18,15.17,17.07,12351739.0
2020-05-15,SYF,16.79,17.13,16.455,16.54,6399600.0
2020-05-18,SYF,17.63,18.11,17.56,17.96,8273906.0
2020-05-19,SYF,17.8,18.2476,17.23,17.63,8997683.0
2020-05-20,SYF,18.07,18.425,17.98,18.11,9579905.0
2020-05-21,SYF,18.08,18.36,17.85,18.13,5086830.0
2020-05-22,SYF,18.08,18.15,17.545,17.85,4817908.0
2020-05-26,SYF,19.0,19.745,18.9,19.48,7558119.0
2020-05-27,SYF,20.95,21.4,20.165,21.35,15306693.0
2020-05-28,SYF,22.01,22.34,21.01,21.24,10648979.0
2020-05-29,SYF,20.58,21.12,20.23,20.37,10958358.0
2020-06-01,SYF,20.47,21.28,20.19,21.1,6079917.0
2020-06-02,SYF,21.52,22.39,21.5,22.07,11995871.0
2020-06-03,SYF,22.89,24.1,22.75,23.69,11546843.0
2020-06-04,SYF,23.42,24.48,22.94,24.33,9177663.0
2020-06-05,SYF,26.74,27.5,25.355,25.52,14336523.0
2020-06-08,SYF,26.91,27.0,26.125,26.87,11635212.0
2020-06-09,SYF,25.8,26.165,25.36,25.86,7454147.0
2020-06-10,SYF,25.6,25.71,24.15,24.37,8504033.0
2020-06-11,SYF,22.16,23.32,21.99,22.15,9777472.0
2020-06-12,SYF,23.78,23.82,22.4,23.77,11276785.0
2020-06-15,SYF,22.71,24.65,22.5323,24.39,9606759.0
2020-06-16,SYF,25.96,26.01,24.33,25.16,10481094.0
2020-06-17,SYF,25.26,25.49,24.66,24.75,15645962.0
2020-06-18,SYF,24.17,24.8,24.02,24.25,12401778.0
2020-06-19,SYF,24.88,24.91,23.365,23.77,20417602.0
2020-06-22,SYF,23.53,24.095,23.18,23.79,15656000.0
2020-06-23,SYF,24.16,24.51,23.775,23.92,15343325.0
2020-06-24,SYF,23.25,23.35,22.07,22.09,9634957.0
2020-06-25,SYF,21.91,22.81,21.69,22.75,8642168.0
2020-06-26,SYF,22.22,22.31,21.24,21.39,15698899.0
2020-06-29,SYF,21.74,22.17,21.325,21.95,5972648.0
2020-06-30,SYF,21.77,22.29,21.64,22.16,5342310.0
2020-07-01,SYF,22.3,22.67,21.4,21.61,6452959.0
2020-07-02,SYF,22.35,22.825,21.8,21.86,7990573.0
2020-07-06,SYF,22.48,22.87,22.31,22.8,5263976.0
2020-07-07,SYF,22.58,22.67,21.76,21.79,5236815.0
2020-07-08,SYF,21.76,22.34,21.62,22.32,5603569.0
2020-07-09,SYF,22.27,22.29,21.04,21.34,5690804.0
2020-07-10,SYF,21.39,22.58,21.28,22.56,5220832.0
2020-07-13,SYF,22.93,23.21,22.27,22.69,8234515.0
2020-07-14,SYF,22.57,22.955,22.15,22.45,7323132.0
2020-07-15,SYF,22.75,23.77,22.74,23.64,7452995.0
2020-07-16,SYF,23.42,24.13,23.25,23.75,4902163.0
2020-07-17,SYF,23.73,23.83,23.01,23.21,7168929.0
2020-07-20,SYF,23.15,23.275,22.37,22.38,7251909.0
2020-07-21,SYF,22.04,23.21,21.67,22.64,8928088.0
2020-07-22,SYF,22.24,23.15,22.14,22.92,5064392.0
2020-07-23,SYF,22.67,23.5,22.65,23.39,8198103.0
2020-07-24,SYF,23.5,23.84,23.18,23.56,7757583.0
2020-07-27,SYF,23.48,23.81,22.88,23.74,5875768.0
2020-07-28,SYF,23.51,23.8,23.01,23.08,5286174.0
2020-07-29,SYF,23.08,23.81,22.97,23.78,4671536.0
2020-07-30,SYF,23.21,23.315,22.72,23.17,5210030.0
2020-07-31,SYF,23.0,23.0,21.895,22.13,7071793.0
2020-08-03,SYF,22.3,22.99,22.04,22.72,6616571.0
2020-08-04,SYF,22.68,22.98,22.55,22.65,4508468.0
2020-08-05,SYF,22.93,23.39,22.69,23.33,6066421.0
2020-08-06,SYF,23.07,23.34,22.89,23.09,4638372.0
2020-08-07,SYF,22.86,23.69,22.55,23.69,5485785.0
2020-08-10,SYF,23.73,25.0,23.71,24.59,9040080.0
2020-08-11,SYF,25.55,26.125,25.03,25.1,5832033.0
2020-08-12,SYF,25.65,25.71,24.07,24.74,5742937.0
2020-08-13,SYF,24.4,24.77,24.18,24.7,4747686.0
2020-08-14,SYF,24.4,25.24,24.175,24.93,4217311.0
2020-08-17,SYF,24.8,24.88,24.22,24.35,5775502.0
2020-08-18,SYF,24.44,24.55,23.885,23.98,6038757.0
2020-08-19,SYF,24.13,24.53,23.9,24.11,4890274.0
2020-08-20,SYF,23.71,24.12,23.66,23.94,4848918.0
2020-08-21,SYF,23.9,24.275,23.82,23.91,2472899.0
2020-08-24,SYF,24.1,25.26,23.93,25.25,6021456.0
2020-08-25,SYF,25.59,25.72,24.71,24.9,4531368.0
2020-08-26,SYF,24.78,25.01,24.3337,24.45,3357844.0
2020-08-27,SYF,24.53,25.745,24.4946,25.58,5923421.0
2020-08-28,SYF,25.75,25.93,25.43,25.78,3399401.0
2020-08-31,SYF,25.77,25.77,24.81,24.81,7259307.0
2020-09-01,SYF,24.65,25.19,24.39,24.86,3925297.0
2020-09-02,SYF,24.87,25.01,24.51,24.82,7864400.0
2020-09-03,SYF,25.06,25.88,24.6,25.12,8157366.0
2020-09-04,SYF,25.6,26.49,25.38,26.17,7500926.0
2020-09-08,SYF,25.61,26.1,25.31,25.53,5882569.0
2020-09-09,SYF,25.8,25.855,25.141,25.6,3436499.0
2020-09-10,SYF,25.79,26.59,25.315,25.4,6121080.0
2020-09-11,SYF,25.49,25.85,25.27,25.79,3627534.0
2020-09-14,SYF,26.01,27.38,26.01,26.96,6064696.0
2020-09-15,SYF,27.06,27.14,26.47,26.49,5325743.0
2020-09-16,SYF,26.65,27.915,26.135,27.59,8138373.0
2020-09-17,SYF,27.08,27.73,26.89,27.64,5737280.0
2020-09-18,SYF,27.45,27.765,27.062,27.23,6589893.0
2020-09-21,SYF,26.1,26.49,25.665,25.9,7111277.0
2020-09-22,SYF,25.91,26.27,25.12,25.61,6060111.0
2020-09-23,SYF,25.73,26.28,24.97,25.1,6758605.0
2020-09-24,SYF,24.88,25.455,24.2,24.77,5539288.0
2020-09-25,SYF,24.54,25.27,24.52,25.14,3841888.0
2020-09-28,SYF,25.85,26.26,25.65,25.79,3582070.0
2020-09-29,SYF,25.84,25.97,25.275,25.55,3632756.0
2020-09-30,SYF,25.68,26.615,25.55,26.17,7294610.0
2020-10-01,SYF,26.45,26.7,26.1121,26.65,5608815.0
2020-10-02,SYF,26.13,27.6,25.88,27.46,3897273.0
2020-10-05,SYF,27.88,28.48,27.83,28.38,4977461.0
2020-10-06,SYF,28.85,29.03,27.17,27.5,6220346.0
2020-10-07,SYF,27.95,28.71,27.89,28.3,4367873.0
2020-10-08,SYF,28.57,29.195,28.39,29.15,3586688.0
2020-10-09,SYF,29.25,29.49,28.66,28.84,8050567.0
2020-10-12,SYF,29.18,29.18,28.7514,28.87,4345374.0
2020-10-13,SYF,28.61,28.9,28.3036,28.54,3448240.0
2020-10-14,SYF,28.67,29.045,28.53,28.67,3030260.0
2020-10-15,SYF,28.31,29.1399,28.12,29.1,2779806.0
2020-10-16,SYF,29.31,29.865,29.21,29.38,4164546.0
