Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,TEL,67.69,74.93,65.1,67.6,4286516.0
2020-03-13,TEL,71.22,72.65,65.47,70.21,5706961.0
2020-03-16,TEL,56.17,66.59,56.13,60.94,5505607.0
2020-03-17,TEL,62.28,65.91,54.74,63.06,7046659.0
2020-03-18,TEL,58.29,61.3,49.97,53.08,6138964.0
2020-03-19,TEL,52.62,56.36,48.62,54.6,4564450.0
2020-03-20,TEL,55.81,56.87,52.31,55.56,4584876.0
2020-03-23,TEL,53.93,56.35,53.31,54.67,3836418.0
2020-03-24,TEL,57.6,60.96,57.02,60.56,3596442.0
2020-03-25,TEL,60.74,67.39,60.2,63.49,3015380.0
2020-03-26,TEL,63.64,68.45,63.0301,68.2,2955816.0
2020-03-27,TEL,65.23,66.33,62.28,62.78,2255669.0
2020-03-30,TEL,62.64,64.14,61.84,63.72,1776568.0
2020-03-31,TEL,63.11,64.27,62.05,62.98,2478053.0
2020-04-01,TEL,60.31,61.94,58.71,59.12,2812178.0
2020-04-02,TEL,59.06,61.02,57.94,58.99,2538740.0
2020-04-03,TEL,59.12,61.13,57.53,58.69,2253436.0
2020-04-06,TEL,61.48,66.15,61.48,65.62,2392506.0
2020-04-07,TEL,68.33,69.47,64.87,65.04,2335918.0
2020-04-08,TEL,65.96,69.92,65.56,69.06,1854439.0
2020-04-09,TEL,69.6,72.27,69.27,71.17,3212358.0
2020-04-13,TEL,70.95,71.19,68.595,69.12,2067675.0
2020-04-14,TEL,70.44,71.93,69.73,69.97,1851519.0
2020-04-15,TEL,67.52,68.46,64.8,65.41,2147909.0
2020-04-16,TEL,65.88,66.1,62.88,63.66,2820451.0
2020-04-17,TEL,65.23,68.18,65.05,67.44,5125185.0
2020-04-20,TEL,66.04,67.85,64.79,66.58,2391718.0
2020-04-21,TEL,64.98,66.31,63.55,64.55,2550770.0
2020-04-22,TEL,66.53,67.52,65.7617,67.28,1892593.0
2020-04-23,TEL,67.52,69.095,67.49,68.15,2349581.0
2020-04-24,TEL,68.76,70.61,68.49,70.15,2123040.0
2020-04-27,TEL,70.86,73.79,70.545,73.47,2106561.0
2020-04-28,TEL,78.54,79.83,73.2,73.65,3640245.0
2020-04-29,TEL,76.04,78.52,75.4233,78.38,2911839.0
2020-04-30,TEL,77.01,77.01,73.4,73.46,2589593.0
2020-05-01,TEL,71.56,71.69,70.03,70.58,1745877.0
2020-05-04,TEL,70.07,70.55,68.48,69.46,1382588.0
2020-05-05,TEL,70.4,71.94,70.24,70.82,1815309.0
2020-05-06,TEL,71.06,72.2,69.81,71.83,1349602.0
2020-05-07,TEL,72.9,74.53,72.75,73.32,1372085.0
2020-05-08,TEL,74.68,77.165,74.41,76.75,1812947.0
2020-05-11,TEL,75.56,75.88,74.085,74.61,1582754.0
2020-05-12,TEL,74.5,74.66,71.39,71.41,1498492.0
2020-05-13,TEL,70.73,71.4,68.21,68.75,1233612.0
2020-05-14,TEL,67.86,69.99,66.61,69.85,2273514.0
2020-05-15,TEL,69.13,70.25,68.82,70.04,3502119.0
2020-05-18,TEL,72.84,76.62,72.57,76.27,1830773.0
2020-05-19,TEL,76.45,77.755,75.4413,76.37,1650602.0
2020-05-20,TEL,77.59,79.37,77.37,78.35,2975210.0
2020-05-21,TEL,77.4,78.15,76.12,76.29,1732428.0
2020-05-22,TEL,76.3,76.68,74.9,76.23,1328914.0
2020-05-26,TEL,79.27,81.21,78.74,80.62,1958094.0
2020-05-27,TEL,82.21,83.315,80.58,83.22,1877117.0
2020-05-28,TEL,83.85,85.48,82.33,82.78,3609040.0
2020-05-29,TEL,82.31,82.31,79.55,81.25,6295700.0
2020-06-01,TEL,82.5,84.6999,81.63,84.53,2471392.0
2020-06-02,TEL,85.01,86.32,84.5,86.27,2573037.0
2020-06-03,TEL,87.95,90.02,87.01,89.1,2519374.0
2020-06-04,TEL,88.08,89.28,87.34,88.82,1874885.0
2020-06-05,TEL,91.88,92.91,90.99,91.04,2938497.0
2020-06-08,TEL,91.87,92.46,90.43,91.65,2107490.0
2020-06-09,TEL,89.7,89.91,87.0,87.08,3013226.0
2020-06-10,TEL,87.48,87.53,85.1,85.14,3022873.0
2020-06-11,TEL,82.63,82.66,78.59,78.87,1722508.0
2020-06-12,TEL,81.7,83.04,77.66,78.59,4152205.0
2020-06-15,TEL,76.98,80.19,75.7,79.94,2118993.0
2020-06-16,TEL,82.85,83.94,80.49,82.2,2947762.0
2020-06-17,TEL,82.53,82.53,80.69,81.41,2214138.0
2020-06-18,TEL,80.63,82.02,80.06,81.33,1380641.0
2020-06-19,TEL,82.76,82.82,80.065,80.7,3592729.0
2020-06-22,TEL,80.29,81.31,79.1141,80.95,1491933.0
2020-06-23,TEL,82.14,82.61,81.34,81.66,3729094.0
2020-06-24,TEL,81.01,81.21,77.75,78.07,1873036.0
2020-06-25,TEL,77.39,79.05,76.59,78.98,1453835.0
2020-06-26,TEL,78.69,79.355,78.33,78.68,2353305.0
2020-06-29,TEL,79.13,81.1,78.65,80.6,1046980.0
2020-06-30,TEL,80.11,82.13,80.0,81.55,2341672.0
2020-07-01,TEL,81.83,81.95,79.67,80.06,1623917.0
2020-07-02,TEL,81.4,82.3,80.6,80.88,1307655.0
2020-07-06,TEL,82.62,83.34,82.01,82.5,1034080.0
2020-07-07,TEL,81.66,82.13,80.76,80.83,1547012.0
2020-07-08,TEL,81.33,81.6,79.34,80.09,1844349.0
2020-07-09,TEL,80.0,80.16,78.155,79.06,2285666.0
2020-07-10,TEL,78.7,79.76,78.49,78.77,2705272.0
2020-07-13,TEL,79.92,81.17,79.59,79.79,1903021.0
2020-07-14,TEL,79.0,81.56,78.36,81.47,1934104.0
2020-07-15,TEL,83.27,85.61,83.115,85.49,2268823.0
2020-07-16,TEL,84.61,85.47,84.16,84.72,1766666.0
2020-07-17,TEL,84.88,86.09,84.3,85.58,2501532.0
2020-07-20,TEL,84.93,85.388,83.8,85.2,1470005.0
2020-07-21,TEL,87.65,88.03,85.9,86.14,1552510.0
2020-07-22,TEL,86.87,87.55,86.415,86.78,1164283.0
2020-07-23,TEL,86.48,88.33,86.22,88.31,2004131.0
2020-07-24,TEL,87.72,87.935,86.755,87.27,2307404.0
2020-07-27,TEL,87.84,90.13,86.96,89.94,1623513.0
2020-07-28,TEL,88.95,89.35,86.87,86.91,2529181.0
2020-07-29,TEL,84.95,90.99,84.16,89.89,2437654.0
2020-07-30,TEL,89.51,89.91,87.92,89.2,2397019.0
2020-07-31,TEL,88.76,89.17,87.46,89.07,1977723.0
2020-08-03,TEL,89.41,90.15,88.94,89.79,1350701.0
2020-08-04,TEL,89.7,91.07,89.39,91.07,2034642.0
2020-08-05,TEL,91.63,92.52,91.46,92.24,1517833.0
2020-08-06,TEL,91.46,92.17,91.3738,91.71,1222880.0
2020-08-07,TEL,91.12,92.43,91.12,92.42,1142168.0
2020-08-10,TEL,92.55,94.385,92.53,94.25,1256993.0
2020-08-11,TEL,95.86,96.95,94.79,95.04,2270101.0
2020-08-12,TEL,95.15,95.76,94.63,95.45,1312559.0
2020-08-13,TEL,94.92,96.5,94.57,95.89,1984137.0
2020-08-14,TEL,95.06,95.7813,94.34,94.76,1052443.0
2020-08-17,TEL,95.12,95.44,94.48,94.76,1037362.0
2020-08-18,TEL,94.52,95.0,93.76,94.04,1198738.0
2020-08-19,TEL,94.18,94.98,93.78,94.17,2628370.0
2020-08-20,TEL,93.05,93.18,92.37,92.39,1392067.0
2020-08-21,TEL,92.59,93.7,91.99,93.54,1728192.0
2020-08-24,TEL,93.75,94.94,93.42,94.68,1102764.0
2020-08-25,TEL,95.0,95.61,94.34,94.91,1671180.0
2020-08-26,TEL,95.25,95.99,94.53,95.8,1162879.0
2020-08-27,TEL,95.92,96.29,95.19,95.45,1355686.0
2020-08-28,TEL,95.37,98.06,95.26,97.94,2014888.0
2020-08-31,TEL,98.17,98.683,96.45,96.6,2578645.0
2020-09-01,TEL,96.28,98.53,95.81,98.51,1853858.0
2020-09-02,TEL,99.0,100.96,97.88,100.64,1872815.0
2020-09-03,TEL,99.85,100.42,96.995,97.83,2609823.0
2020-09-04,TEL,97.65,99.71,97.34,98.75,2417822.0
2020-09-08,TEL,97.39,97.76,95.27,95.4,1612255.0
2020-09-09,TEL,96.88,98.87,96.66,98.05,1700924.0
2020-09-10,TEL,99.08,99.75,96.68,96.8,1523846.0
2020-09-11,TEL,97.29,98.8,96.93,97.83,1058106.0
2020-09-14,TEL,98.95,100.14,98.8,99.58,1380706.0
2020-09-15,TEL,100.29,101.57,99.75,100.95,1333443.0
2020-09-16,TEL,102.25,103.2,101.32,101.87,2059558.0
2020-09-17,TEL,100.8,102.36,100.0,101.09,1674692.0
2020-09-18,TEL,100.48,101.81,98.3,98.59,3421555.0
2020-09-21,TEL,97.31,97.45,95.05,96.37,3017886.0
2020-09-22,TEL,96.87,97.995,95.28,96.33,1823658.0
2020-09-23,TEL,96.13,97.3,93.73,93.96,1715875.0
2020-09-24,TEL,93.0,95.22,90.88,94.18,2028617.0
2020-09-25,TEL,93.91,95.93,93.25,95.37,1818425.0
2020-09-28,TEL,96.92,98.26,96.795,97.09,1664797.0
2020-09-29,TEL,97.43,97.97,96.725,97.45,1756663.0
2020-09-30,TEL,97.69,99.64,97.17,97.74,1731078.0
2020-10-01,TEL,99.3,99.41,97.56,98.55,1470023.0
2020-10-02,TEL,96.25,99.31,95.0,98.36,1057567.0
2020-10-05,TEL,99.67,101.63,99.565,101.37,1602706.0
2020-10-06,TEL,101.4,103.1,101.075,101.83,2159681.0
2020-10-07,TEL,103.15,105.17,103.12,104.55,1640974.0
2020-10-08,TEL,105.32,106.26,104.68,106.01,1320408.0
2020-10-09,TEL,107.64,109.27,106.97,107.35,1462600.0
2020-10-12,TEL,107.9,108.385,107.12,107.33,1721423.0
2020-10-13,TEL,107.06,107.78,106.18,106.38,1516700.0
2020-10-14,TEL,106.93,107.435,104.88,105.65,1519603.0
2020-10-15,TEL,104.73,107.16,104.0954,107.13,2084455.0
2020-10-16,TEL,107.87,108.77,106.754,107.76,2152174.0
2020-10-19,TEL,107.94,108.3693,105.105,105.43,1130594.0
2020-10-20,TEL,107.29,107.87,105.98,106.02,2077204.0
2020-10-21,TEL,106.07,107.81,105.78,105.9,1520914.0
