Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,TJX,51.95,52.12,48.0,51.17,14925058.0
2020-03-13,TJX,51.88,52.13,47.6,51.57,12703362.0
2020-03-16,TJX,45.92,45.93,40.81,41.05,14936782.0
2020-03-17,TJX,41.64,43.705,39.0,42.51,19975193.0
2020-03-18,TJX,39.27,41.05,36.96,40.85,19145213.0
2020-03-19,TJX,40.44,43.0,34.36,41.65,25569950.0
2020-03-20,TJX,42.73,42.75,37.0,37.37,14792318.0
2020-03-23,TJX,35.9,37.24,32.72,36.76,22139235.0
2020-03-24,TJX,39.62,41.75,38.86,41.04,15628777.0
2020-03-25,TJX,42.41,47.02,42.25,44.08,15634521.0
2020-03-26,TJX,44.62,48.7615,44.22,47.96,18587146.0
2020-03-27,TJX,46.16,48.28,44.62,46.8,13682195.0
2020-03-30,TJX,47.01,48.18,45.4,47.55,13791359.0
2020-03-31,TJX,47.3,48.69,46.46,47.81,22390065.0
2020-04-01,TJX,44.29,46.65,43.93,44.62,9457948.0
2020-04-02,TJX,44.49,45.54,41.92,43.79,10315229.0
2020-04-03,TJX,43.25,43.34,40.72,40.96,12869364.0
2020-04-06,TJX,43.05,46.85,42.53,46.11,13698911.0
2020-04-07,TJX,49.65,50.43,46.21,46.68,15293406.0
2020-04-08,TJX,47.34,50.05,47.04,49.11,9862038.0
2020-04-09,TJX,50.08,51.24,48.37,48.81,11955226.0
2020-04-13,TJX,48.61,48.77,47.265,47.85,11091756.0
2020-04-14,TJX,48.58,50.38,48.43,50.22,9921771.0
2020-04-15,TJX,47.8,48.96,47.29,48.29,11285559.0
2020-04-16,TJX,48.26,48.26,46.29,46.45,14027007.0
2020-04-17,TJX,47.68,49.975,47.6,49.73,17559488.0
2020-04-20,TJX,48.755,48.99,47.71,47.79,9107240.0
2020-04-21,TJX,46.16,46.96,45.64,46.05,10598287.0
2020-04-22,TJX,47.0,47.17,46.015,46.38,9029447.0
2020-04-23,TJX,46.9,46.97,45.71,45.74,8477807.0
2020-04-24,TJX,46.09,46.55,44.87,46.05,10275830.0
2020-04-27,TJX,46.52,48.23,45.96,47.84,10519704.0
2020-04-28,TJX,49.57,50.8071,48.88,49.09,14603671.0
2020-04-29,TJX,52.24,52.81,50.51,51.54,11905860.0
2020-04-30,TJX,50.52,50.82,48.87,49.05,20069083.0
2020-05-01,TJX,48.0,48.44,47.47,48.25,6434845.0
2020-05-04,TJX,47.43,48.22,46.72,47.7,11630568.0
2020-05-05,TJX,48.25,48.945,47.955,48.17,8500676.0
2020-05-06,TJX,48.52,48.94,47.48,47.68,6202286.0
2020-05-07,TJX,48.64,49.46,48.47,48.5,10147665.0
2020-05-08,TJX,49.2,49.42,48.25,48.51,6013272.0
2020-05-11,TJX,47.8,48.98,47.36,48.35,7691744.0
2020-05-12,TJX,48.69,48.82,45.92,45.96,7090486.0
2020-05-13,TJX,45.77,45.97,43.71,44.03,15008823.0
2020-05-14,TJX,43.3,44.76,42.52,44.74,12002220.0
2020-05-15,TJX,43.73,47.17,43.53,47.17,25445746.0
2020-05-18,TJX,49.79,51.07,49.26,49.76,14102579.0
2020-05-19,TJX,49.88,51.3169,48.47,50.26,11638474.0
2020-05-20,TJX,50.82,51.633,50.4,50.85,10269025.0
2020-05-21,TJX,53.75,55.29,52.74,54.3,23806738.0
2020-05-22,TJX,53.84,54.84,53.05,53.41,14168462.0
2020-05-26,TJX,55.0,55.68,54.51,55.3,13503837.0
2020-05-27,TJX,56.28,56.68,54.76,55.29,11360153.0
2020-05-28,TJX,55.52,55.85,53.925,54.08,11174762.0
2020-05-29,TJX,53.37,54.1,52.455,52.76,15971356.0
2020-06-01,TJX,52.99,53.5899,52.36,53.33,7510579.0
2020-06-02,TJX,53.7,54.41,53.1,54.34,10382127.0
2020-06-03,TJX,54.66,55.82,54.5,55.24,7596565.0
2020-06-04,TJX,54.43,55.8713,54.43,54.83,15917504.0
2020-06-05,TJX,56.48,58.36,56.24,57.26,12634765.0
2020-06-08,TJX,57.87,58.5361,56.25,57.42,9582372.0
2020-06-09,TJX,56.5,57.02,55.89,56.24,8476868.0
2020-06-10,TJX,56.29,56.345,54.53,54.81,12058748.0
2020-06-11,TJX,52.75,53.54,52.39,52.66,11431135.0
2020-06-12,TJX,54.21,54.22,51.26,52.46,8002512.0
2020-06-15,TJX,50.33,52.67,50.11,52.6,9157520.0
2020-06-16,TJX,56.5,56.86,54.35,55.55,13425541.0
2020-06-17,TJX,55.65,55.99,54.21,54.54,6685807.0
2020-06-18,TJX,53.68,54.6288,53.205,53.45,10232656.0
2020-06-19,TJX,54.91,55.21,52.63,52.64,17005832.0
