Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,TSCO,77.07,81.88,71.79,76.51,3106436.0
2020-03-13,TSCO,79.96,81.18,71.09,76.21,2642958.0
2020-03-16,TSCO,70.01,74.7,66.87,67.36,2397494.0
2020-03-17,TSCO,68.66,71.06,63.8901,70.58,3669751.0
2020-03-18,TSCO,66.93,72.96,64.19,72.51,2325874.0
2020-03-19,TSCO,71.81,80.28,71.5,76.39,2536189.0
2020-03-20,TSCO,75.82,79.49,74.54,75.84,2758466.0
2020-03-23,TSCO,76.37,79.9,74.81,78.06,2259716.0
2020-03-24,TSCO,80.65,84.64,78.67,80.02,2192848.0
2020-03-25,TSCO,80.08,82.73,75.838,76.93,1799276.0
2020-03-26,TSCO,77.7,83.88,77.7,83.48,1643077.0
2020-03-27,TSCO,83.0,85.73,82.405,83.1,1720882.0
2020-03-30,TSCO,84.09,86.5,82.15,85.55,1408127.0
2020-03-31,TSCO,84.78,86.79,84.09,84.55,1883124.0
2020-04-01,TSCO,82.7,87.25,81.01,84.0,1869931.0
2020-04-02,TSCO,83.01,86.71,82.235,84.15,1653199.0
2020-04-03,TSCO,83.82,84.92,79.225,79.5,1621560.0
2020-04-06,TSCO,82.59,88.37,82.04,87.96,2600118.0
2020-04-07,TSCO,90.02,90.75,85.71,86.49,3044855.0
2020-04-08,TSCO,87.11,91.21,85.22,90.7,2575552.0
2020-04-09,TSCO,92.29,92.29,87.83,88.23,2083492.0
2020-04-13,TSCO,88.16,89.89,86.43,89.67,1487803.0
2020-04-14,TSCO,89.58,93.56,89.44,92.96,1438493.0
2020-04-15,TSCO,88.8,91.95,88.3,90.74,1418250.0
2020-04-16,TSCO,91.96,92.1259,89.66,91.2,1509067.0
2020-04-17,TSCO,93.12,93.99,90.41,92.72,1447152.0
2020-04-20,TSCO,91.42,94.36,90.44,93.43,1670093.0
2020-04-21,TSCO,91.44,94.44,91.42,93.13,1575447.0
2020-04-22,TSCO,94.11,96.4,92.63,95.43,2161447.0
2020-04-23,TSCO,95.4,97.26,93.11,95.08,2509363.0
2020-04-24,TSCO,97.0,102.01,96.06,101.98,3370630.0
2020-04-27,TSCO,103.18,105.0,101.4,103.09,2233957.0
2020-04-28,TSCO,104.76,105.0,102.74,102.94,1866935.0
2020-04-29,TSCO,102.99,104.0771,100.95,101.12,1859966.0
2020-04-30,TSCO,100.0,102.0,99.04,101.43,1583101.0
2020-05-01,TSCO,99.64,102.47,99.54,102.09,1131893.0
2020-05-04,TSCO,102.14,103.49,101.6,102.44,947793.0
2020-05-05,TSCO,103.7,105.44,103.3572,105.1,2045585.0
2020-05-06,TSCO,106.11,106.23,104.81,105.05,1090849.0
2020-05-07,TSCO,106.06,107.46,104.98,105.17,1212405.0
2020-05-08,TSCO,106.54,107.82,105.48,107.21,999269.0
2020-05-11,TSCO,107.19,109.79,106.31,109.08,1342181.0
2020-05-12,TSCO,109.82,110.1,107.69,107.73,1056409.0
2020-05-13,TSCO,107.39,108.42,104.95,106.5,1656044.0
2020-05-14,TSCO,105.76,106.99,104.9,106.83,1223248.0
2020-05-15,TSCO,106.76,111.98,106.76,111.72,4619677.0
2020-05-18,TSCO,112.95,113.89,109.29,109.76,1868501.0
2020-05-19,TSCO,109.2,111.57,107.29,109.06,1615943.0
2020-05-20,TSCO,109.69,110.66,107.01,107.79,1640569.0
