Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,T,31.86,33.43,31.06,31.94,90066136.0
2020-03-13,T,32.92,34.61,31.855,34.47,71894943.0
2020-03-16,T,31.0,33.8901,30.92,31.81,64599097.0
2020-03-17,T,32.12,34.061,32.01,33.74,66131237.0
2020-03-18,T,32.0,32.91,30.25,32.85,80977225.0
2020-03-19,T,31.36,32.49,30.5,31.15,65847739.0
2020-03-20,T,30.46,30.5,28.18,28.45,126728653.0
2020-03-23,T,27.39,27.71,26.08,26.77,101637457.0
2020-03-24,T,28.0,28.3,26.84,28.09,81393821.0
2020-03-25,T,28.08,29.93,27.37,28.4,74653425.0
2020-03-26,T,28.68,30.96,28.68,30.6,71523567.0
2020-03-27,T,29.69,30.82,29.22,29.84,52266861.0
2020-03-30,T,29.9,30.41,29.48,30.23,45897822.0
2020-03-31,T,30.04,30.13,29.05,29.15,91002460.0
2020-04-01,T,28.38,28.58,27.7,28.05,60839959.0
2020-04-02,T,28.0,28.87,28.0,28.76,36492180.0
2020-04-03,T,28.53,28.74,27.25,27.46,57360735.0
2020-04-06,T,28.4,29.68,28.31,29.44,59640354.0
2020-04-07,T,30.44,30.97,30.07,30.08,59280739.0
2020-04-08,T,29.95,30.0,29.1,29.89,44523184.0
2020-04-09,T,30.05,30.94,29.99,30.73,56473125.0
2020-04-13,T,30.5,30.715,29.9,30.19,36828817.0
2020-04-14,T,30.69,31.155,30.35,31.13,35607147.0
2020-04-15,T,30.63,30.9599,29.96,30.09,40964647.0
2020-04-16,T,30.28,30.28,29.705,30.16,36444305.0
2020-04-17,T,30.85,31.25,30.7,31.23,38100558.0
2020-04-20,T,30.85,31.42,30.701,30.98,33633249.0
2020-04-21,T,30.51,30.52,29.64,29.87,47919414.0
2020-04-22,T,30.9,30.9,29.31,29.47,55329771.0
2020-04-23,T,29.44,30.05,29.33,29.5,36253290.0
2020-04-24,T,29.59,29.95,29.145,29.71,38220553.0
2020-04-27,T,29.99,30.68,29.74,30.54,36287844.0
2020-04-28,T,31.0,31.12,30.615,30.65,33083649.0
2020-04-29,T,31.13,31.87,31.07,31.43,36093629.0
2020-04-30,T,31.0,31.05,30.28,30.47,46625892.0
2020-05-01,T,30.75,30.79,29.75,29.9,39204464.0
2020-05-04,T,29.75,29.75,29.22,29.6,37084593.0
2020-05-05,T,29.74,30.18,29.72,29.74,26623407.0
2020-05-06,T,29.82,29.87,28.79,28.79,48754783.0
2020-05-07,T,29.17,29.2,28.83,28.89,35237589.0
2020-05-08,T,29.29,29.85,29.21,29.79,26469251.0
2020-05-11,T,29.65,29.65,29.15,29.38,32450951.0
2020-05-12,T,29.51,29.67,28.89,28.89,38162664.0
2020-05-13,T,28.81,28.92,28.0,28.09,52881535.0
2020-05-14,T,27.98,28.6,27.61,28.58,42984103.0
2020-05-15,T,28.28,28.455,28.07,28.31,34718726.0
2020-05-18,T,28.99,29.69,28.93,29.45,37485660.0
2020-05-19,T,29.52,29.52,28.9,28.96,36844477.0
2020-05-20,T,29.27,29.82,29.01,29.59,41171107.0
2020-05-21,T,29.71,30.06,29.53,29.77,42188017.0
2020-05-22,T,29.82,29.91,29.425,29.88,28298992.0
2020-05-26,T,30.64,31.12,30.57,30.82,44910780.0
2020-05-27,T,31.74,31.9751,31.53,31.85,45773031.0
2020-05-28,T,32.03,32.07,30.97,31.06,42749879.0
2020-05-29,T,30.55,30.96,30.33,30.86,52497730.0
2020-06-01,T,30.75,31.24,30.6,30.93,27168555.0
2020-06-02,T,31.05,31.1,30.71,30.99,32223633.0
2020-06-03,T,31.32,31.66,31.28,31.51,30310069.0
2020-06-04,T,31.39,31.8,31.28,31.8,34019106.0
2020-06-05,T,32.54,33.0,32.225,32.77,51027012.0
2020-06-08,T,33.0,33.24,32.69,33.23,37227811.0
2020-06-09,T,32.81,32.86,32.35,32.62,34863203.0
2020-06-10,T,32.57,32.62,32.1,32.14,29218320.0
2020-06-11,T,31.2,31.32,30.115,30.17,53255573.0
2020-06-12,T,31.02,31.08,30.01,30.5,39384639.0
2020-06-15,T,29.99,30.65,29.52,30.5,43146993.0
