Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,UAL,42.77,44.31,37.01,37.08,20330981.0
2020-03-13,UAL,41.33,42.49,34.0,41.64,25078989.0
2020-03-16,UAL,34.34,39.37,30.38,35.47,29167421.0
2020-03-17,UAL,36.49,38.14,30.05,30.67,21833195.0
2020-03-18,UAL,28.81,28.97,17.8,21.38,36225256.0
2020-03-19,UAL,21.34,23.99,18.09,21.28,32401912.0
2020-03-20,UAL,23.37,30.74,22.2,24.5,38842835.0
2020-03-23,UAL,25.97,26.6,23.37,26.25,26239969.0
2020-03-24,UAL,31.99,34.15,30.01,33.0,32340014.0
2020-03-25,UAL,38.0,39.47,33.29,36.6,34000075.0
2020-03-26,UAL,38.38,39.78,34.53,35.55,30787559.0
2020-03-27,UAL,35.02,35.2,32.03,32.84,18924842.0
2020-03-30,UAL,30.69,31.8,28.0,30.16,19061036.0
2020-03-31,UAL,31.31,33.605,30.5831,31.55,17352289.0
2020-04-01,UAL,29.51,29.69,25.3601,25.65,28414432.0
2020-04-02,UAL,25.24,26.09,23.0,23.42,25867946.0
2020-04-03,UAL,24.2165,24.9395,21.56,22.885,28752581.0
2020-04-06,UAL,23.9,24.8,21.8,24.02,33727022.0
2020-04-07,UAL,28.2,28.69,23.7241,24.48,45285782.0
2020-04-08,UAL,25.65,27.54,24.51,27.51,33420126.0
2020-04-09,UAL,29.92,34.04,29.57,31.5,54980535.0
2020-04-13,UAL,32.63,32.7,27.59,28.91,37389079.0
2020-04-14,UAL,30.52,32.21,30.38,30.9,29413353.0
2020-04-15,UAL,31.97,32.6,29.88,31.86,47680007.0
2020-04-16,UAL,30.348,30.49,27.92,28.21,45498261.0
2020-04-17,UAL,29.9,30.11,28.86,29.08,27600439.0
2020-04-20,UAL,27.9265,28.67,26.69,27.79,37896439.0
2020-04-21,UAL,27.01,28.36,26.76,27.88,28919136.0
2020-04-22,UAL,27.3,27.66,25.01,25.88,92445675.0
2020-04-23,UAL,26.0,26.56,25.66,25.72,39088320.0
2020-04-24,UAL,25.92,26.15,24.67,25.56,36799620.0
