Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,VICI,19.29,19.57,16.09,16.23,12345407.0
2020-03-13,VICI,17.74,18.28,15.8,17.6,13695673.0
2020-03-16,VICI,15.41,15.41,11.61,12.56,14942904.0
2020-03-17,VICI,12.73,13.145,10.37,13.02,14014507.0
2020-03-18,VICI,11.85,12.12,9.85,11.2,13350814.0
2020-03-19,VICI,11.01,12.8,9.85,11.49,10117219.0
2020-03-20,VICI,11.5,13.42,11.5,12.31,14232071.0
2020-03-23,VICI,12.17,12.31,11.26,11.74,9683379.0
2020-03-24,VICI,12.6,13.43,12.065,13.11,8015300.0
2020-03-25,VICI,13.61,16.46,13.61,15.43,9136239.0
2020-03-26,VICI,15.75,16.65,15.51,16.15,6555154.0
2020-03-27,VICI,15.36,16.55,15.13,16.11,6459947.0
2020-03-30,VICI,15.7,16.2,14.38,16.04,6320695.0
2020-03-31,VICI,16.07,16.95,15.7,16.64,10322618.0
2020-04-01,VICI,15.74,16.02,14.76,15.04,6081809.0
2020-04-02,VICI,15.29,15.41,14.41,14.83,6117469.0
2020-04-03,VICI,14.67,14.8199,13.34,13.78,4411753.0
2020-04-06,VICI,13.87,14.87,13.81,14.26,8876260.0
2020-04-07,VICI,15.53,16.17,14.45,14.52,9059648.0
2020-04-08,VICI,14.83,16.14,14.41,15.92,4614983.0
2020-04-09,VICI,16.35,18.08,16.35,17.16,5220373.0
2020-04-13,VICI,16.99,16.99,15.64,16.58,3144863.0
2020-04-14,VICI,16.84,17.68,16.84,16.98,11382877.0
2020-04-15,VICI,16.08,16.46,15.85,16.09,3739623.0
2020-04-16,VICI,16.09,16.3,15.53,15.75,8912861.0
2020-04-17,VICI,16.71,16.797,15.97,16.09,4737085.0
2020-04-20,VICI,15.71,16.13,15.5,15.68,4274420.0
2020-04-21,VICI,15.03,15.685,14.9,15.35,3871227.0
2020-04-22,VICI,15.76,15.8446,15.2166,15.5,3315779.0
2020-04-23,VICI,15.62,15.745,15.19,15.28,3382544.0
2020-04-24,VICI,15.46,15.95,15.26,15.58,3558669.0
2020-04-27,VICI,15.68,16.66,15.6,16.31,5495272.0
2020-04-28,VICI,16.65,17.18,16.33,16.78,9157451.0
2020-04-29,VICI,17.06,18.35,17.0,17.9,12230130.0
2020-04-30,VICI,17.25,17.7,16.7,17.42,8676316.0
2020-05-01,VICI,17.13,17.38,16.04,16.56,5502848.0
2020-05-04,VICI,16.17,16.46,15.5,16.38,3919339.0
2020-05-05,VICI,16.59,16.97,16.24,16.43,2855785.0
2020-05-06,VICI,16.62,16.71,15.91,16.25,3409774.0
2020-05-07,VICI,16.64,16.98,16.42,16.57,5574466.0
2020-05-08,VICI,16.99,17.21,16.72,17.09,3804584.0
2020-05-11,VICI,16.74,17.13,16.54,16.7,4266287.0
2020-05-12,VICI,16.69,16.81,15.59,15.77,5663093.0
2020-05-13,VICI,15.56,15.695,14.7,14.87,6244608.0
2020-05-14,VICI,14.47,15.545,13.97,15.19,12143977.0
2020-05-15,VICI,14.96,15.44,14.63,15.3,3437804.0
