Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,VRSK,142.25,149.06,132.0,139.49,2041397.0
2020-03-13,VRSK,145.29,147.99,133.605,145.61,2043553.0
2020-03-16,VRSK,132.54,142.45,128.71,130.06,1569006.0
2020-03-17,VRSK,131.95,148.61,130.8433,144.71,1907887.0
2020-03-18,VRSK,133.0,137.42,123.95,135.11,1924639.0
2020-03-19,VRSK,135.3,144.98,131.79,136.48,1264167.0
2020-03-20,VRSK,137.4,137.6,123.54,124.25,1883075.0
2020-03-23,VRSK,125.73,125.76,116.6101,121.18,1617051.0
2020-03-24,VRSK,126.86,138.06,125.37,137.28,1480909.0
2020-03-25,VRSK,134.61,138.9,128.0,134.3,1890741.0
2020-03-26,VRSK,135.54,143.48,135.54,142.1,1422145.0
2020-03-27,VRSK,139.1,143.47,136.98,137.77,1419121.0
2020-03-30,VRSK,138.81,147.93,138.1,146.87,922975.0
2020-03-31,VRSK,144.92,146.54,138.43,139.38,1666457.0
2020-04-01,VRSK,134.22,142.49,133.5,140.78,1558759.0
2020-04-02,VRSK,137.03,144.33,134.45,142.99,1196852.0
2020-04-03,VRSK,141.68,143.2928,138.17,141.65,959828.0
2020-04-06,VRSK,146.2,148.81,144.88,147.74,1449206.0
2020-04-07,VRSK,151.51,152.89,146.57,147.17,1117407.0
2020-04-08,VRSK,147.84,150.9,147.17,148.7,1007944.0
2020-04-09,VRSK,149.64,152.64,147.23,148.26,1226560.0
2020-04-13,VRSK,146.15,148.0,142.46,144.16,867480.0
2020-04-14,VRSK,147.88,150.85,146.81,150.3,1281297.0
2020-04-15,VRSK,147.56,148.625,146.035,147.13,820788.0
2020-04-16,VRSK,148.31,149.94,146.2,149.11,1096090.0
2020-04-17,VRSK,153.48,154.03,151.4,153.79,1147364.0
2020-04-20,VRSK,151.59,151.595,148.49,149.32,802188.0
2020-04-21,VRSK,146.97,148.17,144.55,145.21,951037.0
2020-04-22,VRSK,148.61,152.83,146.9,151.2,810178.0
2020-04-23,VRSK,151.49,152.12,146.72,147.7,1179419.0
2020-04-24,VRSK,149.15,149.15,146.63,148.54,1133686.0
2020-04-27,VRSK,151.07,152.42,149.18,151.8,874278.0
2020-04-28,VRSK,159.3026,159.9938,151.49,151.79,768757.0
2020-04-29,VRSK,154.05,154.82,151.61,153.07,962901.0
2020-04-30,VRSK,152.17,153.29,150.47,152.83,1643742.0
2020-05-01,VRSK,149.85,154.54,149.85,153.45,1263639.0
2020-05-04,VRSK,152.3,155.48,151.38,154.46,853251.0
2020-05-05,VRSK,154.91,159.145,154.68,157.49,1040590.0
2020-05-06,VRSK,160.0,161.74,154.5,155.18,942088.0
2020-05-07,VRSK,156.17,160.25,156.17,158.27,1050943.0
2020-05-08,VRSK,160.11,161.66,158.2,159.57,721515.0
2020-05-11,VRSK,158.2,161.5,157.85,160.71,729697.0
2020-05-12,VRSK,160.18,161.3,156.58,156.6,929404.0
2020-05-13,VRSK,156.42,157.0,152.75,154.43,924373.0
2020-05-14,VRSK,155.02,156.3899,151.18,153.9,883481.0
2020-05-15,VRSK,152.88,155.45,151.54,154.56,1107388.0
2020-05-18,VRSK,158.13,159.75,156.89,158.32,1506513.0
2020-05-19,VRSK,158.42,161.0,157.54,158.06,748923.0
2020-05-20,VRSK,158.84,161.04,158.84,159.54,720493.0
2020-05-21,VRSK,157.51,159.36,156.52,156.84,622976.0
2020-05-22,VRSK,155.81,158.37,155.7401,157.28,722580.0
2020-05-26,VRSK,158.52,161.26,157.16,160.46,1316437.0
2020-05-27,VRSK,162.37,164.38,158.71,163.46,2159036.0
2020-05-28,VRSK,165.0,169.94,164.02,168.34,1459354.0
2020-05-29,VRSK,169.13,173.33,168.76,172.68,2573690.0
2020-06-01,VRSK,171.46,173.69,169.25,169.38,1040739.0
2020-06-02,VRSK,170.04,172.28,169.43,170.96,1748078.0
2020-06-03,VRSK,172.3,173.77,170.29,170.76,1135724.0
2020-06-04,VRSK,170.22,171.12,163.86,164.46,1370024.0
2020-06-05,VRSK,165.67,166.79,162.14,166.13,1906436.0
2020-06-08,VRSK,163.94,169.97,163.74,169.67,955299.0
2020-06-09,VRSK,170.0,170.21,167.58,169.33,936702.0
2020-06-10,VRSK,170.56,171.92,169.74,171.24,987182.0
2020-06-11,VRSK,170.04,171.11,162.37,162.69,1084262.0
2020-06-12,VRSK,164.46,165.71,160.41,162.67,921009.0
2020-06-15,VRSK,159.47,165.69,159.17,165.4,1242514.0
2020-06-16,VRSK,169.79,170.515,165.095,166.42,784178.0
2020-06-17,VRSK,166.68,168.21,166.59,167.05,654508.0
2020-06-18,VRSK,167.41,168.55,166.06,166.85,787933.0
2020-06-19,VRSK,166.22,169.78,164.09,164.185,2296649.0
2020-06-22,VRSK,163.99,167.63,163.27,167.27,792620.0
2020-06-23,VRSK,169.37,169.37,166.56,166.81,787704.0
2020-06-24,VRSK,166.21,167.33,163.26,163.69,806091.0
2020-06-25,VRSK,163.43,166.53,161.79,166.21,796076.0
2020-06-26,VRSK,166.91,168.08,161.4,162.89,2255526.0
2020-06-29,VRSK,163.27,164.53,161.1,164.34,678408.0
2020-06-30,VRSK,164.08,171.1,162.92,170.2,1258133.0
2020-07-01,VRSK,169.23,173.19,168.48,172.42,837514.0
2020-07-02,VRSK,173.51,174.29,171.75,173.11,1127665.0
2020-07-06,VRSK,175.57,176.48,172.0746,173.56,1076102.0
2020-07-07,VRSK,172.73,175.8,169.84,172.93,924988.0
2020-07-08,VRSK,174.83,174.83,171.145,172.83,926690.0
2020-07-09,VRSK,172.49,173.99,170.58,173.2,844308.0
2020-07-10,VRSK,173.6,174.29,170.71,174.17,527506.0
2020-07-13,VRSK,175.21,176.445,172.05,172.85,1015768.0
2020-07-14,VRSK,171.06,174.83,169.71,174.59,934168.0
2020-07-15,VRSK,175.6,176.1,173.255,175.4,920861.0
