Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,VRTX,206.59,215.36,201.5,204.06,4453446.0
2020-03-13,VRTX,218.23,221.47,200.76,220.86,4218506.0
2020-03-16,VRTX,201.6,219.0,199.16,199.77,3033435.0
2020-03-17,VRTX,203.97,230.0649,202.5,210.44,4896860.0
2020-03-18,VRTX,200.6,224.99,197.47,213.52,3762651.0
2020-03-19,VRTX,215.15,223.9313,202.01,215.69,3550339.0
2020-03-20,VRTX,217.7,227.425,204.16,206.0,3827378.0
2020-03-23,VRTX,210.5,218.1,199.52,202.21,3082505.0
2020-03-24,VRTX,207.84,224.98,207.84,223.13,3225456.0
2020-03-25,VRTX,219.88,224.0,209.51,210.09,2405540.0
2020-03-26,VRTX,209.8,225.62,209.43,224.49,2083686.0
2020-03-27,VRTX,219.43,224.18,215.5688,217.24,2002529.0
2020-03-30,VRTX,221.34,233.77,220.0,231.92,2515017.0
2020-03-31,VRTX,228.95,240.0,228.02,237.95,4375871.0
2020-04-01,VRTX,232.12,234.98,223.45,225.48,1731322.0
2020-04-02,VRTX,222.77,242.96,222.39,242.16,2767960.0
2020-04-03,VRTX,241.38,247.45,234.35,238.31,2278975.0
2020-04-06,VRTX,248.61,256.65,241.94,255.3,3398772.0
2020-04-07,VRTX,263.15,267.45,245.38,247.67,3870141.0
2020-04-08,VRTX,249.43,251.68,240.5,249.66,3146537.0
2020-04-09,VRTX,251.9969,251.9969,243.0,246.61,2996712.0
2020-04-13,VRTX,244.66,253.83,243.805,252.28,2194266.0
2020-04-14,VRTX,257.44,265.66,253.51,262.41,2419134.0
2020-04-15,VRTX,260.9,262.82,254.31,255.23,3100254.0
2020-04-16,VRTX,259.67,265.28,258.609,264.76,2462535.0
2020-04-17,VRTX,272.34,272.67,265.15,270.46,2766948.0
2020-04-20,VRTX,271.97,276.2599,269.05,273.26,2369561.0
2020-04-21,VRTX,273.0,277.22,262.55,262.8,1797454.0
2020-04-22,VRTX,267.15,271.2532,264.0027,269.37,1929799.0
2020-04-23,VRTX,270.03,277.7999,266.92,267.91,2913521.0
2020-04-24,VRTX,270.12,271.345,266.43,269.86,2391346.0
2020-04-27,VRTX,275.0,275.26,267.16,268.51,2758874.0
2020-04-28,VRTX,268.0,269.95,250.43,256.96,2518531.0
2020-04-29,VRTX,260.97,262.0,250.52,251.05,2748658.0
2020-04-30,VRTX,257.75,258.5,245.06,251.2,3187727.0
2020-05-01,VRTX,249.26,256.0,248.0,254.9,2355144.0
2020-05-04,VRTX,257.4,265.0,256.01,264.69,2961481.0
2020-05-05,VRTX,266.97,274.06,264.8,272.33,2212848.0
2020-05-06,VRTX,272.33,275.55,268.0,270.06,1534574.0
2020-05-07,VRTX,272.69,273.72,266.83,270.01,1918697.0
2020-05-08,VRTX,269.5,274.41,268.29,271.63,1332552.0
2020-05-11,VRTX,271.45,286.82,270.44,285.28,2273291.0
2020-05-12,VRTX,287.33,288.515,276.41,276.47,1892036.0
2020-05-13,VRTX,276.6,284.8561,272.19,277.03,1899419.0
2020-05-14,VRTX,277.56,282.48,272.21,277.0,3196587.0
2020-05-15,VRTX,275.63,288.73,273.51,288.69,1984277.0
2020-05-18,VRTX,293.78,295.5525,283.1,284.13,1923929.0
2020-05-19,VRTX,285.3,288.41,281.14,282.28,1440030.0
2020-05-20,VRTX,284.81,285.99,282.13,284.62,1579409.0
2020-05-21,VRTX,285.26,285.4,281.25,284.63,1432649.0
2020-05-22,VRTX,284.18,286.0,281.5175,284.96,1174377.0
2020-05-26,VRTX,287.95,288.5,264.41,266.5,3865434.0
2020-05-27,VRTX,264.38,278.69,254.41,278.51,3491489.0
2020-05-28,VRTX,276.27,283.73,276.0675,277.38,2130287.0
2020-05-29,VRTX,281.35,289.44,276.04,287.96,8489253.0
2020-06-01,VRTX,285.42,288.73,283.8238,286.64,1998386.0
2020-06-02,VRTX,283.92,286.176,278.66,284.27,1798031.0
2020-06-03,VRTX,283.72,283.8,274.06,277.01,1936036.0
2020-06-04,VRTX,274.27,279.285,270.76,272.82,1796658.0
2020-06-05,VRTX,270.82,271.68,262.55,265.69,3072185.0
2020-06-08,VRTX,264.05,265.84,261.28,265.01,2324293.0
2020-06-09,VRTX,267.28,275.1399,265.09,270.85,2858575.0
2020-06-10,VRTX,275.76,277.9,271.81,274.34,1762418.0
2020-06-11,VRTX,275.56,276.36,263.67,263.89,2116988.0
2020-06-12,VRTX,268.12,271.39,262.3,268.56,1705764.0
2020-06-15,VRTX,264.77,268.52,262.24,267.77,1527912.0
2020-06-16,VRTX,270.43,275.69,268.22,273.77,1723446.0
2020-06-17,VRTX,273.88,282.76,273.77,280.09,1777664.0
2020-06-18,VRTX,279.4,282.2163,275.93,279.19,1552629.0
2020-06-19,VRTX,280.3,295.54,280.3,293.27,5461707.0
2020-06-22,VRTX,294.0,295.0,287.8001,293.2,1740290.0
2020-06-23,VRTX,294.06,299.21,293.31,295.8,1760038.0
2020-06-24,VRTX,294.93,297.71,288.9,291.18,1895172.0
2020-06-25,VRTX,292.38,295.36,288.8315,295.15,1425308.0
2020-06-26,VRTX,292.68,293.0,284.74,286.14,2341418.0
2020-06-29,VRTX,286.95,287.65,280.89,285.18,1801824.0
2020-06-30,VRTX,287.68,292.37,283.0,290.31,2572670.0
2020-07-01,VRTX,290.5,291.66,283.7911,286.28,1922877.0
2020-07-02,VRTX,288.52,293.95,287.45,291.1,1225054.0
2020-07-06,VRTX,294.36,295.0,289.63,291.31,1541678.0
2020-07-07,VRTX,292.3,306.08,291.45,299.06,1775154.0
2020-07-08,VRTX,300.05,301.65,292.13,295.92,1699013.0
2020-07-09,VRTX,295.52,297.79,290.05,295.4,1208852.0
2020-07-10,VRTX,293.95,295.0,290.86,294.45,1033524.0
2020-07-13,VRTX,293.05,296.85,283.85,284.82,1832859.0
2020-07-14,VRTX,283.14,294.72,279.117,293.83,1966131.0
2020-07-15,VRTX,292.76,295.346,290.2,295.11,1327424.0
2020-07-16,VRTX,292.01,293.33,284.69,290.56,1030730.0
2020-07-17,VRTX,291.528,294.67,289.28,294.53,1306689.0
2020-07-20,VRTX,292.69,304.0,292.69,303.1,1419778.0
2020-07-21,VRTX,300.65,301.14,290.96,291.4,1878790.0
2020-07-22,VRTX,293.56,293.56,286.46,291.23,957475.0
2020-07-23,VRTX,291.33,291.99,283.32,284.46,1452640.0
2020-07-24,VRTX,281.78,282.64,276.5001,278.49,1958681.0
2020-07-27,VRTX,280.8395,285.57,277.68,284.21,1652093.0
2020-07-28,VRTX,283.83,284.59,278.14,278.52,1219767.0
2020-07-29,VRTX,280.28,281.59,278.09,278.72,1277646.0
2020-07-30,VRTX,275.0753,282.28,274.662,279.4,1653275.0
2020-07-31,VRTX,278.8772,283.0,268.25,272.0,3341466.0
2020-08-03,VRTX,274.2,280.59,274.0,279.52,1882500.0
2020-08-04,VRTX,279.23,280.57,274.03,275.71,1453551.0
2020-08-05,VRTX,275.41,275.75,271.16,273.23,1500743.0
2020-08-06,VRTX,269.3,273.88,268.58,273.34,1256052.0
2020-08-07,VRTX,273.48,277.2,269.95,272.99,1152462.0
2020-08-10,VRTX,271.58,272.29,265.09,268.73,1320755.0
2020-08-11,VRTX,266.0,267.99,261.3,261.86,1524157.0
2020-08-12,VRTX,263.08,271.35,262.87,270.85,1485215.0
2020-08-13,VRTX,270.06,272.73,266.87,267.15,1084255.0
2020-08-14,VRTX,268.29,269.95,265.8,267.29,1153576.0
2020-08-17,VRTX,267.9,274.17,267.84,273.84,1152817.0
2020-08-18,VRTX,275.0,275.0,269.26,271.31,1068399.0
2020-08-19,VRTX,270.85,273.99,269.53,270.07,1230742.0
2020-08-20,VRTX,270.67,272.09,268.6,271.43,1430026.0
2020-08-21,VRTX,271.73,273.11,267.99,271.28,1297764.0
2020-08-24,VRTX,269.9,271.94,263.47,267.43,1159572.0
