Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,VZ,51.95,54.0,50.75,51.2,49569513.0
2020-03-13,VZ,52.96,54.37,51.4464,54.17,51292262.0
2020-03-16,VZ,50.9,53.2,49.02,50.99,41295301.0
2020-03-17,VZ,51.5,55.48,51.49,54.31,37449037.0
2020-03-18,VZ,53.99,55.93,50.88,54.32,41132262.0
2020-03-19,VZ,53.76,54.92,52.775,53.62,37003541.0
2020-03-20,VZ,52.72,53.04,50.71,51.8,53042894.0
2020-03-23,VZ,50.61,53.27,49.13,50.31,41517568.0
2020-03-24,VZ,51.96,51.96,49.18,49.99,43734181.0
2020-03-25,VZ,49.36,51.91,48.84,49.94,43632039.0
2020-03-26,VZ,49.59,53.9,49.51,53.54,36696386.0
2020-03-27,VZ,52.15,53.84,51.54,52.77,28674735.0
2020-03-30,VZ,53.49,55.03,52.94,54.77,22957731.0
2020-03-31,VZ,54.07,54.54,53.55,53.73,24426185.0
2020-04-01,VZ,52.38,53.45,52.161,52.92,21282618.0
2020-04-02,VZ,53.59,55.5,53.09,55.25,21811961.0
2020-04-03,VZ,54.95,55.241,54.28,54.7,19777740.0
2020-04-06,VZ,55.77,56.94,54.98,56.7,23966357.0
2020-04-07,VZ,57.04,57.88,56.41,56.98,23735333.0
2020-04-08,VZ,57.26,58.02,56.62,57.8,20210557.0
2020-04-09,VZ,56.89,58.1,56.88,57.44,22347272.0
2020-04-13,VZ,57.39,57.6,56.36,56.67,14607097.0
2020-04-14,VZ,57.31,58.4,56.96,58.14,19158455.0
2020-04-15,VZ,57.56,58.01,56.71,56.93,19828132.0
2020-04-16,VZ,57.34,58.0,56.8537,57.66,20031642.0
2020-04-17,VZ,58.1,58.68,57.74,58.46,17205901.0
2020-04-20,VZ,58.1,58.91,57.9643,58.13,16142902.0
2020-04-21,VZ,57.39,58.04,56.72,56.82,15676562.0
2020-04-22,VZ,57.41,58.57,57.23,57.99,14323724.0
2020-04-23,VZ,58.12,58.66,57.47,57.59,17798041.0
2020-04-24,VZ,57.64,57.99,56.8254,57.93,17156833.0
2020-04-27,VZ,57.93,58.29,57.2,57.81,17935066.0
2020-04-28,VZ,57.82,58.38,57.62,57.83,14657573.0
2020-04-29,VZ,58.38,58.6,57.7,58.12,19667669.0
2020-04-30,VZ,57.83,57.96,57.21,57.45,20644345.0
2020-05-01,VZ,57.76,57.79,56.53,56.83,15433087.0
2020-05-04,VZ,56.85,57.03,55.8,56.24,13169917.0
2020-05-05,VZ,56.0,56.94,56.0,56.51,11799653.0
2020-05-06,VZ,56.36,56.66,55.54,55.64,13656433.0
2020-05-07,VZ,56.1,56.15,55.175,55.58,15877173.0
2020-05-08,VZ,56.22,57.03,56.03,57.0,12463370.0
2020-05-11,VZ,56.87,56.905,56.235,56.4,14130820.0
2020-05-12,VZ,56.75,56.75,55.45,55.46,14453423.0
2020-05-13,VZ,55.16,55.55,54.56,54.85,22245798.0
2020-05-14,VZ,54.5,54.93,53.85,54.91,17721894.0
2020-05-15,VZ,54.63,54.76,54.21,54.71,11727342.0
2020-05-18,VZ,55.65,56.2,55.04,55.72,17914609.0
2020-05-19,VZ,55.4,55.55,54.315,54.38,19859431.0
2020-05-20,VZ,54.54,54.895,54.05,54.26,23771038.0
2020-05-21,VZ,54.43,54.64,53.86,53.97,19326965.0
2020-05-22,VZ,53.99,54.29,53.67,54.1,21613996.0
2020-05-26,VZ,54.9,55.245,54.18,54.3,23580085.0
2020-05-27,VZ,54.61,55.22,54.43,55.14,18394806.0
2020-05-28,VZ,55.58,55.79,55.155,55.72,16901625.0
2020-05-29,VZ,55.33,57.79,54.89,57.38,46094592.0
2020-06-01,VZ,56.64,56.9,55.75,55.78,19252953.0
2020-06-02,VZ,55.82,56.46,55.54,56.4,19351680.0
2020-06-03,VZ,56.52,56.98,56.3,56.83,17765081.0
2020-06-04,VZ,56.74,57.37,56.51,57.22,17807099.0
2020-06-05,VZ,57.75,58.12,57.08,57.74,19172325.0
2020-06-08,VZ,57.65,58.2,57.27,58.09,17779183.0
2020-06-09,VZ,57.75,58.13,57.37,57.86,16228364.0
2020-06-10,VZ,57.895,58.225,57.7,58.05,14877511.0
2020-06-11,VZ,57.48,57.94,56.4,56.45,25955414.0
2020-06-12,VZ,56.63,56.81,55.79,56.53,19108821.0
2020-06-15,VZ,55.73,56.54,55.28,56.15,16620884.0
2020-06-16,VZ,56.83,57.32,56.24,56.92,16793442.0
2020-06-17,VZ,57.14,57.17,56.51,56.65,11910629.0
2020-06-18,VZ,56.5,56.96,56.37,56.89,10286650.0
2020-06-19,VZ,57.35,57.47,56.0,56.16,39938983.0
2020-06-22,VZ,55.91,56.26,55.61,55.66,14067293.0
2020-06-23,VZ,55.75,55.845,54.91,54.94,22510949.0
2020-06-24,VZ,54.54,54.56,53.455,53.93,26852180.0
2020-06-25,VZ,53.91,54.385,53.34,54.28,18610786.0
2020-06-26,VZ,54.04,54.06,52.85,53.16,38648097.0
2020-06-29,VZ,53.31,54.71,53.31,54.69,17527509.0
2020-06-30,VZ,54.92,55.285,54.36,55.13,20903937.0
2020-07-01,VZ,55.09,55.33,54.58,54.67,14351368.0
2020-07-02,VZ,55.05,55.405,54.74,54.79,18113443.0
2020-07-06,VZ,55.35,55.4301,54.91,55.24,12878022.0
2020-07-07,VZ,54.96,55.33,54.8,55.04,15409149.0
2020-07-08,VZ,55.11,55.44,54.82,55.38,17586243.0
2020-07-09,VZ,54.65,54.65,53.75,53.94,20159011.0
2020-07-10,VZ,53.84,54.58,53.84,54.49,17976424.0
2020-07-13,VZ,54.75,54.765,54.14,54.45,17534524.0
2020-07-14,VZ,54.43,55.65,54.27,55.44,17594958.0
2020-07-15,VZ,55.66,55.72,55.02,55.06,15210843.0
2020-07-16,VZ,54.87,55.83,54.76,55.78,14551803.0
2020-07-17,VZ,56.0,56.595,55.89,56.3,14714615.0
2020-07-20,VZ,56.28,56.28,55.655,55.87,12056522.0
2020-07-21,VZ,55.84,56.5,55.795,55.84,14224070.0
2020-07-22,VZ,55.84,55.945,55.37,55.75,12197217.0
2020-07-23,VZ,55.8,56.09,55.4,55.85,18444292.0
2020-07-24,VZ,56.35,57.57,56.14,56.85,19037071.0
2020-07-27,VZ,57.0,57.33,56.51,56.87,13236276.0
2020-07-28,VZ,57.05,57.7,56.97,57.48,14383951.0
2020-07-29,VZ,57.37,57.686,57.16,57.45,10140612.0
2020-07-30,VZ,57.21,57.46,57.14,57.3,13863724.0
2020-07-31,VZ,56.85,57.5,56.65,57.48,20109808.0
2020-08-03,VZ,57.87,57.87,57.12,57.24,14969930.0
2020-08-04,VZ,57.2,58.14,57.18,57.91,13004043.0
2020-08-05,VZ,58.16,58.19,57.405,57.54,10993981.0
2020-08-06,VZ,57.5,57.945,57.45,57.83,11609237.0
2020-08-07,VZ,57.82,58.55,57.65,58.53,14950392.0
2020-08-10,VZ,58.65,59.15,58.465,58.99,14008322.0
2020-08-11,VZ,59.3,59.6083,58.25,58.51,14191366.0
2020-08-12,VZ,58.6,58.97,58.52,58.6,12160568.0
2020-08-13,VZ,58.35,58.6,58.19,58.52,8302455.0
2020-08-14,VZ,58.48,58.94,58.25,58.79,10177608.0
2020-08-17,VZ,58.73,58.93,58.545,58.78,9544059.0
2020-08-18,VZ,58.86,59.47,58.78,59.18,11350748.0
2020-08-19,VZ,59.36,59.44,58.93,59.05,12941500.0
2020-08-20,VZ,58.6,59.09,58.59,58.96,9011540.0
2020-08-21,VZ,58.99,59.04,58.535,58.99,12514882.0
2020-08-24,VZ,59.1,59.61,59.0,59.57,13232433.0
2020-08-25,VZ,59.7,59.75,59.18,59.42,12453387.0
2020-08-26,VZ,59.3,59.5,58.9,59.46,16875229.0
2020-08-27,VZ,59.6,59.79,59.41,59.43,12379641.0
2020-08-28,VZ,59.41,59.41,58.82,59.26,13197708.0
2020-08-31,VZ,59.1,59.44,59.02,59.27,17218734.0
2020-09-01,VZ,59.12,59.295,58.78,59.16,15075553.0
2020-09-02,VZ,59.15,60.74,59.0,60.53,23644785.0
2020-09-03,VZ,60.83,61.28,60.14,60.61,25239860.0
2020-09-04,VZ,60.5,61.5,60.06,60.48,24734727.0
2020-09-08,VZ,60.8,60.8,59.62,59.96,20742038.0
2020-09-09,VZ,60.12,60.7476,59.97,60.04,18514039.0
2020-09-10,VZ,60.23,60.25,59.41,59.53,17340437.0
2020-09-11,VZ,59.61,59.96,59.3601,59.79,16128681.0
2020-09-14,VZ,60.02,60.78,60.0,60.32,13416488.0
2020-09-15,VZ,60.11,61.1,60.1,60.6,10619282.0
2020-09-16,VZ,60.53,60.93,60.315,60.37,15271161.0
2020-09-17,VZ,60.6,60.99,60.1,60.59,17485303.0
2020-09-18,VZ,60.18,60.94,60.1519,60.35,29145702.0
2020-09-21,VZ,60.0,60.08,59.02,59.61,18639410.0
2020-09-22,VZ,59.72,60.37,59.515,59.82,15175472.0
2020-09-23,VZ,59.83,60.14,58.85,58.91,17840780.0
2020-09-24,VZ,59.0,59.56,58.65,59.19,12237329.0
