Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,V,158.5,172.0,156.99,160.08,29561368.0
2020-03-13,V,168.72,176.32,162.21,175.83,23728367.0
2020-03-16,V,151.14,165.31,147.98,152.27,25632710.0
2020-03-17,V,155.75,163.7,149.25,157.89,24234410.0
2020-03-18,V,148.46,150.68,139.8,148.48,24112209.0
2020-03-19,V,147.18,157.25,141.47,152.25,20548865.0
2020-03-20,V,154.82,158.26,145.67,146.83,20325783.0
2020-03-23,V,141.33,143.35,133.93,135.74,31901371.0
2020-03-24,V,144.9,155.25,143.58,154.53,27445904.0
2020-03-25,V,159.32,168.18,153.58,161.78,22066004.0
2020-03-26,V,162.08,169.53,161.79,168.88,19258322.0
2020-03-27,V,161.08,167.1,158.15,161.56,16346592.0
2020-03-30,V,161.04,165.87,160.69,165.57,19428070.0
2020-03-31,V,166.43,168.19,160.54,161.12,25788875.0
2020-04-01,V,156.0,158.07,151.4162,153.11,13818528.0
2020-04-02,V,152.54,158.35,151.29,157.39,17097690.0
2020-04-03,V,155.45,157.72,150.6,151.85,13237096.0
2020-04-06,V,159.94,170.73,158.25,169.44,19337937.0
2020-04-07,V,177.76,178.7996,168.1,168.59,16196387.0
2020-04-08,V,171.01,176.0,167.9303,174.94,12113637.0
2020-04-09,V,176.27,177.19,172.85,173.69,13383000.0
2020-04-13,V,172.26,172.32,166.15,168.99,16052559.0
2020-04-14,V,173.09,175.43,170.83,174.62,10969204.0
2020-04-15,V,168.7,169.36,164.95,165.96,12922295.0
2020-04-16,V,167.11,168.0,159.8,162.42,23264096.0
2020-04-17,V,169.65,170.989,164.95,169.54,18122747.0
2020-04-20,V,167.33,167.43,163.2,164.22,11609287.0
2020-04-21,V,162.0,162.57,159.15,160.53,11371656.0
2020-04-22,V,164.66,167.7,162.92,166.59,18196781.0
2020-04-23,V,167.88,170.41,166.21,166.38,13227492.0
2020-04-24,V,168.44,168.75,164.01,167.32,9075840.0
2020-04-27,V,168.65,172.35,168.55,171.76,10511800.0
2020-04-28,V,175.0,175.01,170.3848,171.25,9369404.0
2020-04-29,V,176.85,182.25,176.1,181.79,14701320.0
2020-04-30,V,181.61,181.83,177.655,178.72,12919507.0
2020-05-01,V,174.39,179.64,174.27,175.57,10852947.0
2020-05-04,V,172.95,176.94,171.72,176.15,11230533.0
2020-05-05,V,179.09,181.102,178.26,178.44,16910235.0
2020-05-06,V,179.72,180.51,177.88,178.78,10517455.0
2020-05-07,V,181.75,184.98,181.71,182.72,9853116.0
2020-05-08,V,185.03,185.75,183.62,185.09,7008470.0
2020-05-11,V,183.75,184.62,181.43,183.56,9467022.0
2020-05-12,V,183.56,183.99,179.37,179.47,8806676.0
2020-05-13,V,178.5,181.09,175.039,177.09,16060874.0
2020-05-14,V,175.91,181.05,173.82,180.9,10484865.0
2020-05-15,V,179.98,184.14,178.87,183.49,13293595.0
2020-05-18,V,188.0,192.83,187.4708,191.38,13610600.0
2020-05-19,V,191.14,194.5,189.23,189.36,7858200.0
2020-05-20,V,193.0,194.99,192.41,193.86,10870433.0
2020-05-21,V,193.5,193.616,190.02,190.62,13730927.0
2020-05-22,V,191.0,191.37,189.23,190.86,6131963.0
2020-05-26,V,195.8,196.27,192.76,193.22,11684122.0
2020-05-27,V,194.31,194.31,188.52,192.82,8333611.0
2020-05-28,V,193.54,198.29,192.7101,194.26,9050293.0
2020-05-29,V,194.5,196.74,193.28,195.24,13804758.0
2020-06-01,V,194.71,195.88,193.52,194.35,6436515.0
2020-06-02,V,195.915,197.52,194.92,196.36,10044068.0
2020-06-03,V,198.0,198.14,195.57,196.87,10638360.0
2020-06-04,V,195.98,196.46,193.12,193.64,8658743.0
2020-06-05,V,196.2,199.77,195.475,199.61,9625072.0
2020-06-08,V,199.58,199.96,197.13,199.6,8974747.0
2020-06-09,V,198.36,201.67,198.24,199.08,7869080.0
2020-06-10,V,200.01,202.18,198.95,200.48,10511593.0
2020-06-11,V,195.14,196.36,188.75,188.88,14193845.0
2020-06-12,V,194.21,195.0,187.85,192.26,15203351.0
2020-06-15,V,187.0,192.484,186.21,191.76,7355076.0
2020-06-16,V,196.77,198.38,191.795,192.88,12063725.0
2020-06-17,V,193.66,195.37,193.06,193.56,6748058.0
2020-06-18,V,192.6,194.25,192.11,193.91,7205948.0
2020-06-19,V,196.89,197.1,191.37,192.2,15302528.0
2020-06-22,V,191.99,196.36,191.29,194.96,7229454.0
2020-06-23,V,196.25,200.1499,195.82,197.97,10639172.0
2020-06-24,V,197.11,197.48,190.69,191.41,10806256.0
2020-06-25,V,191.1,194.24,189.9,193.98,13587229.0
2020-06-26,V,193.1,194.125,189.08,189.27,16265155.0
2020-06-29,V,189.82,191.45,187.3001,191.38,10548319.0
2020-06-30,V,191.09,193.75,190.16,193.17,10496154.0
2020-07-01,V,193.85,195.35,192.6592,193.78,6930517.0
2020-07-02,V,196.0,197.9164,195.0,195.67,6902527.0
2020-07-06,V,198.73,199.18,195.68,197.76,8733913.0
2020-07-07,V,197.035,198.9,193.81,194.2,8577132.0
2020-07-08,V,195.08,195.52,193.12,195.07,9007901.0
2020-07-09,V,195.0,195.49,189.95,192.21,9150964.0
2020-07-10,V,191.65,192.82,189.44,192.55,8117432.0
2020-07-13,V,193.61,195.19,188.7,189.02,9569364.0
2020-07-14,V,189.5,193.47,187.18,193.33,8640172.0
2020-07-15,V,195.23,197.765,194.5,196.55,8196362.0
2020-07-16,V,195.33,195.71,192.52,193.5,5559970.0
2020-07-17,V,194.83,195.57,193.12,195.09,7248872.0
2020-07-20,V,194.74,199.48,193.6701,198.47,7412398.0
2020-07-21,V,200.0,200.17,195.68,196.48,7699563.0
2020-07-22,V,196.48,199.0,196.25,198.86,7236759.0
2020-07-23,V,198.44,200.95,196.43,197.43,6636451.0
2020-07-24,V,195.67,197.48,194.03,195.15,7514096.0
2020-07-27,V,195.16,197.81,194.2,196.91,6170671.0
2020-07-28,V,197.69,199.365,196.71,196.74,7249037.0
2020-07-29,V,193.09,198.89,193.05,198.58,10033327.0
2020-07-30,V,195.2,196.56,192.12,194.06,11883987.0
2020-07-31,V,194.42,194.69,189.44,190.4,16192762.0
2020-08-03,V,191.8,193.34,190.2105,190.69,13202057.0
2020-08-04,V,191.13,192.94,190.08,192.29,8622124.0
2020-08-05,V,193.56,198.18,193.1,196.1,9611601.0
2020-08-06,V,195.98,198.92,194.79,198.77,7912800.0
2020-08-07,V,197.59,197.98,195.3,196.36,6170545.0
2020-08-10,V,196.36,198.31,195.33,196.79,5805590.0
2020-08-11,V,197.82,202.89,196.335,197.77,12384355.0
2020-08-12,V,199.0,200.23,198.24,198.74,5977560.0
2020-08-13,V,197.13,199.94,197.03,197.58,7583502.0
2020-08-14,V,197.01,198.07,195.77,196.64,5478697.0
2020-08-17,V,197.3,200.46,196.71,199.43,6845593.0
2020-08-18,V,199.98,200.1,196.8223,199.01,7700057.0
2020-08-19,V,198.92,202.8425,198.9,200.99,10249114.0
2020-08-20,V,199.9,204.44,199.6,204.15,9911403.0
2020-08-21,V,204.5,205.14,203.34,204.13,12664294.0
2020-08-24,V,205.01,206.45,204.67,206.41,6672538.0
2020-08-25,V,207.19,208.2,205.5407,208.1,6253015.0
2020-08-26,V,208.1,210.8,207.3025,210.26,8589876.0
2020-08-27,V,211.21,212.18,209.05,211.03,9872429.0
2020-08-28,V,212.0,216.16,211.22,215.71,8163093.0
2020-08-31,V,215.54,215.96,211.56,211.99,11923146.0
2020-09-01,V,212.21,213.89,211.12,213.35,6258326.0
2020-09-02,V,214.13,217.35,213.77,216.48,11596216.0
2020-09-03,V,214.93,214.93,207.09,208.96,12351135.0
2020-09-04,V,208.49,210.5,200.15,204.66,14715297.0
2020-09-08,V,200.78,202.25,199.214,200.12,16720029.0
2020-09-09,V,204.35,206.29,201.9462,204.06,8764500.0
2020-09-10,V,204.86,207.0,200.45,201.54,8300994.0
2020-09-11,V,201.58,202.41,198.91,200.68,8459464.0
2020-09-14,V,203.35,206.41,203.14,204.98,15862708.0
2020-09-15,V,206.75,208.21,204.77,205.39,7756178.0
2020-09-16,V,206.74,207.745,204.95,205.13,6727684.0
2020-09-17,V,202.85,205.58,202.0,205.27,8595695.0
2020-09-18,V,205.47,205.72,201.72,202.61,10778526.0
2020-09-21,V,199.91,201.25,194.7,197.45,10452079.0
2020-09-22,V,198.09,200.71,196.8,200.56,8592020.0
2020-09-23,V,200.8,201.09,194.57,195.37,7065684.0
2020-09-24,V,195.15,197.67,193.13,195.52,12897523.0
2020-09-25,V,195.02,198.14,193.51,197.25,6101416.0
2020-09-28,V,200.63,201.72,199.83,200.32,6755888.0
2020-09-29,V,200.58,202.38,199.37,199.44,6117984.0
2020-09-30,V,200.85,202.54,198.89,199.97,10901561.0
2020-10-01,V,202.21,205.195,201.6357,203.35,8839678.0
2020-10-02,V,200.0,202.83,199.4,201.46,6613496.0
2020-10-05,V,202.74,203.65,201.05,203.54,7758512.0
2020-10-06,V,204.11,205.1,199.71,200.45,6876398.0
2020-10-07,V,202.0,202.79,199.99,202.47,7320952.0
2020-10-08,V,204.0,204.3,202.23,202.98,4378324.0
