Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,WAT,172.22,182.48,166.22,167.05,1181274.0
2020-03-13,WAT,177.42,185.62,166.14,184.48,1173851.0
2020-03-16,WAT,163.01,181.19,163.01,173.92,800303.0
2020-03-17,WAT,177.19,190.45,172.22,183.27,1126840.0
2020-03-18,WAT,175.97,184.93,161.01,176.81,734736.0
2020-03-19,WAT,176.24,188.49,168.96,177.42,745372.0
2020-03-20,WAT,178.44,181.14,170.47,173.46,899254.0
2020-03-23,WAT,173.57,174.01,154.39,162.36,684618.0
2020-03-24,WAT,169.16,180.95,167.94,180.68,806162.0
2020-03-25,WAT,177.82,185.33,173.65,176.8,683731.0
2020-03-26,WAT,178.16,192.72,176.07,191.42,581358.0
2020-03-27,WAT,185.06,189.23,181.71,185.36,564766.0
2020-03-30,WAT,186.93,189.12,181.74,188.14,632599.0
2020-03-31,WAT,187.47,190.6435,181.24,182.05,586487.0
2020-04-01,WAT,176.58,182.84,173.0,182.31,642876.0
2020-04-02,WAT,180.8,189.74,178.52,186.03,477527.0
2020-04-03,WAT,183.71,186.79,175.99,179.94,679035.0
2020-04-06,WAT,186.82,189.69,183.07,188.89,741405.0
2020-04-07,WAT,193.95,196.16,189.69,190.08,625519.0
2020-04-08,WAT,190.41,197.27,187.28,196.08,489156.0
2020-04-09,WAT,196.33,199.21,192.2,195.93,685697.0
2020-04-13,WAT,193.83,194.685,185.99,187.65,478515.0
2020-04-14,WAT,189.67,195.93,189.13,193.65,520280.0
2020-04-15,WAT,192.64,193.16,188.73,189.41,575066.0
2020-04-16,WAT,191.62,194.24,189.015,192.96,640133.0
2020-04-17,WAT,196.72,199.68,195.39,197.51,390377.0
2020-04-20,WAT,195.9,196.775,192.04,194.33,369925.0
2020-04-21,WAT,190.74,191.355,184.205,185.39,521892.0
2020-04-22,WAT,187.46,191.21,185.79,190.34,513139.0
2020-04-23,WAT,190.75,194.63,190.31,190.77,342410.0
2020-04-24,WAT,192.23,192.97,188.12,191.32,509506.0
2020-04-27,WAT,192.46,196.68,189.68,195.01,599543.0
2020-04-28,WAT,187.0,192.98,182.05,184.11,930710.0
2020-04-29,WAT,187.15,197.94,184.5,192.65,775796.0
2020-04-30,WAT,191.07,191.52,186.01,187.0,669012.0
2020-05-01,WAT,184.39,184.495,177.32,178.08,649769.0
2020-05-04,WAT,177.62,181.03,177.33,180.43,490257.0
