Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,WM,103.0,104.4,97.64,97.74,5546002.0
2020-03-13,WM,101.11,105.32,97.36,105.32,6588515.0
2020-03-16,WM,92.69,105.69,85.5,99.89,5585871.0
2020-03-17,WM,100.72,110.8499,100.72,108.93,5579545.0
2020-03-18,WM,102.65,105.99,98.86,100.01,4845212.0
2020-03-19,WM,101.86,102.64,97.915,99.85,4337018.0
2020-03-20,WM,100.1,100.55,96.61,98.31,7874754.0
2020-03-23,WM,99.21,99.5,87.08,87.87,7173031.0
2020-03-24,WM,91.19,93.57,90.0,92.07,5168439.0
2020-03-25,WM,91.85,93.7,85.34,90.94,7236208.0
2020-03-26,WM,90.9,98.22,90.75,97.68,5529452.0
2020-03-27,WM,95.24,98.35,93.57,95.3,4849977.0
2020-03-30,WM,96.14,97.67,92.6,94.6,4050014.0
2020-03-31,WM,93.58,93.74,90.82,92.56,5864408.0
2020-04-01,WM,90.15,90.3,86.9,88.43,3756263.0
2020-04-02,WM,87.6,91.88,87.35,91.14,4371498.0
2020-04-03,WM,90.61,91.559,87.961,89.02,3106572.0
2020-04-06,WM,92.01,92.45,90.54,91.29,6165672.0
2020-04-07,WM,95.21,95.51,91.17,91.43,5709869.0
2020-04-08,WM,92.22,96.19,90.91,95.62,4083195.0
2020-04-09,WM,96.55,101.96,96.53,99.85,3778042.0
2020-04-13,WM,99.64,100.64,96.075,96.75,2096483.0
2020-04-14,WM,99.15,99.93,96.91,99.63,3494626.0
2020-04-15,WM,97.4,97.9276,95.81,96.63,2478707.0
2020-04-16,WM,96.92,97.7,95.44,97.55,2398449.0
2020-04-17,WM,100.0,100.68,98.422,100.27,3962973.0
2020-04-20,WM,98.89,100.0378,98.14,98.2,1552925.0
2020-04-21,WM,96.16,98.16,95.705,96.73,2801866.0
2020-04-22,WM,98.03,99.29,97.38,98.76,3147014.0
2020-04-23,WM,98.51,99.84,97.67,97.79,2257071.0
2020-04-24,WM,98.08,99.03,96.81,98.48,1812963.0
2020-04-27,WM,99.24,101.73,99.04,101.13,1787992.0
2020-04-28,WM,102.89,103.19,100.07,101.66,2742342.0
2020-04-29,WM,102.89,103.04,100.51,100.94,2568156.0
2020-04-30,WM,100.0,100.35,98.12,100.02,2117281.0
2020-05-01,WM,98.66,98.66,97.08,98.21,1835684.0
2020-05-04,WM,97.8,99.84,97.27,99.56,1933635.0
2020-05-05,WM,100.0,100.45,98.61,99.02,3391498.0
2020-05-06,WM,100.5,100.605,95.73,96.8,4848722.0
2020-05-07,WM,98.45,102.35,98.1,101.45,2852962.0
2020-05-08,WM,102.0,102.94,100.33,100.97,1937199.0
2020-05-11,WM,100.01,101.23,99.26,100.5,1604197.0
2020-05-12,WM,100.99,100.99,98.1862,98.31,2282390.0
2020-05-13,WM,98.25,98.8,96.08,96.52,2427940.0
2020-05-14,WM,95.81,97.34,94.13,97.18,2555178.0
2020-05-15,WM,96.36,97.32,95.11,95.93,4100991.0
2020-05-18,WM,98.85,100.53,98.18,99.66,3417361.0
2020-05-19,WM,99.35,100.04,98.3,98.33,1878066.0
2020-05-20,WM,99.08,100.56,98.09,99.45,1807378.0
2020-05-21,WM,99.06,100.11,98.63,98.93,1550665.0
2020-05-22,WM,98.88,99.0,98.13,98.92,1228927.0
2020-05-26,WM,100.57,102.53,100.51,101.6,2336794.0
2020-05-27,WM,102.69,104.5,102.43,104.3,3098671.0
2020-05-28,WM,105.35,107.27,105.09,106.5,3057615.0
2020-05-29,WM,107.45,107.45,106.15,106.75,3510015.0
2020-06-01,WM,107.0,107.1099,105.95,106.01,1793792.0
2020-06-02,WM,106.02,108.03,105.55,107.43,2007294.0
2020-06-03,WM,108.35,110.68,107.754,110.21,2546506.0
2020-06-04,WM,109.0,109.63,107.11,107.99,1929223.0
2020-06-05,WM,109.93,112.8039,108.74,112.2,3195633.0
2020-06-08,WM,112.0,113.57,111.46,113.53,2636026.0
2020-06-09,WM,112.3,112.4,110.25,111.25,3094287.0
2020-06-10,WM,111.75,111.838,108.96,109.33,2299790.0
2020-06-11,WM,107.16,107.66,103.12,103.2,3024668.0
2020-06-12,WM,105.42,106.22,101.86,103.89,2967669.0
2020-06-15,WM,101.64,105.48,101.55,104.49,2363365.0
2020-06-16,WM,107.0,107.57,104.33,105.7,2302572.0
2020-06-17,WM,106.6,106.64,105.25,105.7,1411468.0
2020-06-18,WM,105.28,105.7,104.12,104.64,1363454.0
2020-06-19,WM,106.27,106.73,101.73,101.77,4378674.0
2020-06-22,WM,101.9,103.79,101.0777,103.7,2485435.0
2020-06-23,WM,104.55,104.94,102.985,103.86,2339219.0
2020-06-24,WM,103.42,103.55,101.27,101.37,3135270.0
2020-06-25,WM,101.01,103.05,100.4498,102.39,3414450.0
2020-06-26,WM,102.46,103.46,102.095,102.81,7239896.0
2020-06-29,WM,103.59,103.87,102.37,103.56,2187684.0
2020-06-30,WM,103.53,106.3,103.36,105.91,2233301.0
2020-07-01,WM,106.07,106.37,104.72,105.09,1406428.0
2020-07-02,WM,105.67,106.1559,104.75,104.97,1585080.0
2020-07-06,WM,105.79,106.09,104.422,105.21,2055136.0
2020-07-07,WM,104.5,105.26,104.315,104.62,1772311.0
2020-07-08,WM,104.05,104.51,102.48,103.12,1887340.0
2020-07-09,WM,102.88,103.0,100.951,102.08,2327020.0
2020-07-10,WM,102.02,103.86,102.02,103.82,1318915.0
2020-07-13,WM,104.33,105.445,103.72,104.33,2758156.0
2020-07-14,WM,104.5,106.23,104.46,106.2,2019809.0
2020-07-15,WM,106.92,107.39,106.27,106.79,2225239.0
2020-07-16,WM,106.59,108.15,106.52,107.46,1785091.0
2020-07-17,WM,107.92,109.39,107.39,108.7,4623296.0
2020-07-20,WM,108.26,108.39,106.29,106.57,1542673.0
2020-07-21,WM,106.93,108.34,106.77,107.52,1389426.0
2020-07-22,WM,107.04,108.48,106.59,108.21,1387877.0
2020-07-23,WM,108.39,109.06,107.5,108.03,1707574.0
2020-07-24,WM,108.68,108.96,107.05,107.28,1402101.0
2020-07-27,WM,107.5,107.57,106.59,107.07,1330640.0
2020-07-28,WM,106.77,108.02,106.77,107.52,1485047.0
