Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,WTW,177.58,184.32,165.42,172.8,2415482.0
2020-03-13,WTW,177.72,182.51,169.92,180.04,2201549.0
2020-03-16,WTW,167.23,174.7,155.56,164.01,1807588.0
2020-03-17,WTW,168.01,181.05,168.0002,173.12,3034488.0
2020-03-18,WTW,165.04,165.04,145.93,157.17,1784489.0
2020-03-19,WTW,156.97,158.28,146.03,152.59,1546274.0
2020-03-20,WTW,149.27,157.99,148.16,152.63,2072360.0
2020-03-23,WTW,152.18,156.16,143.34,147.56,1957973.0
2020-03-24,WTW,153.45,172.08,153.45,169.85,2137250.0
2020-03-25,WTW,169.22,169.65,161.85,163.76,2670422.0
2020-03-26,WTW,163.98,169.35,161.52,165.5,2904186.0
2020-03-27,WTW,159.91,172.87,157.66,167.21,1427383.0
2020-03-30,WTW,168.83,174.56,165.51,172.95,1513918.0
2020-03-31,WTW,169.73,172.38,165.65,169.85,1556432.0
2020-04-01,WTW,162.13,166.7,154.26,156.19,1279650.0
2020-04-02,WTW,153.29,162.38,153.155,158.41,1175376.0
2020-04-03,WTW,157.5,159.76,153.13,157.09,1580241.0
2020-04-06,WTW,163.96,176.96,162.58,175.36,1645867.0
2020-04-07,WTW,180.04,182.295,176.02,178.69,1214105.0
2020-04-08,WTW,179.63,193.31,177.99,190.05,1613829.0
2020-04-09,WTW,191.07,196.85,189.18,196.02,911655.0
2020-04-13,WTW,193.88,195.64,187.48,189.7,912861.0
2020-04-14,WTW,192.12,197.1,190.05,197.0,1370697.0
2020-04-15,WTW,190.83,194.23,184.16,185.65,1155410.0
2020-04-16,WTW,186.44,190.82,183.67,189.19,1223143.0
2020-04-17,WTW,192.45,196.59,191.675,195.39,987290.0
2020-04-20,WTW,192.83,192.83,186.95,188.89,2300816.0
2020-04-21,WTW,182.85,186.9,181.58,182.5,1083111.0
2020-04-22,WTW,184.87,186.66,181.815,185.86,698441.0
2020-04-23,WTW,184.9,184.9,175.61,177.0,2358470.0
2020-04-24,WTW,177.28,179.65,175.64,177.22,1535281.0
2020-04-27,WTW,179.06,180.42,174.75,175.99,927159.0
2020-04-28,WTW,178.27,178.78,174.46,174.93,1279936.0
2020-04-29,WTW,176.8,179.06,174.4,175.26,6026968.0
2020-04-30,WTW,174.57,179.42,173.06,178.29,1372920.0
2020-05-01,WTW,174.15,186.55,174.15,183.34,1046866.0
2020-05-04,WTW,182.21,184.41,181.01,183.54,838781.0
2020-05-05,WTW,184.02,190.79,184.02,189.86,592569.0
2020-05-06,WTW,190.13,191.86,183.05,183.64,662536.0
2020-05-07,WTW,186.15,193.7,186.15,193.15,779024.0
2020-05-08,WTW,195.29,197.4,193.13,197.35,539600.0
2020-05-11,WTW,196.04,202.065,196.04,200.0,1187834.0
2020-05-12,WTW,199.91,202.54,199.91,200.79,1328217.0
2020-05-13,WTW,199.58,201.81,196.51,197.17,941173.0
2020-05-14,WTW,195.83,202.2,193.28,201.66,1132919.0
2020-05-15,WTW,201.03,201.0699,198.3,200.48,1979885.0
2020-05-18,WTW,205.76,208.935,204.04,204.74,1124020.0
2020-05-19,WTW,203.62,206.21,202.91,202.99,980673.0
2020-05-20,WTW,203.76,207.15,202.33,202.63,671254.0
2020-05-21,WTW,201.58,202.93,199.1,200.16,1052414.0
2020-05-22,WTW,200.89,201.51,197.52,198.51,625421.0
2020-05-26,WTW,203.68,204.3,201.43,201.65,735487.0
2020-05-27,WTW,204.48,207.25,202.836,204.56,786268.0
2020-05-28,WTW,207.77,208.785,202.83,205.65,632600.0
2020-05-29,WTW,204.69,206.1,201.805,202.9,1096549.0
2020-06-01,WTW,202.82,204.045,201.31,202.46,600616.0
2020-06-02,WTW,202.18,204.01,200.04,201.13,905859.0
2020-06-03,WTW,201.24,208.0,201.24,204.89,794681.0
2020-06-04,WTW,203.35,204.96,202.47,204.05,777043.0
2020-06-05,WTW,208.13,209.93,205.82,206.81,682597.0
2020-06-08,WTW,205.12,206.72,202.61,204.02,1090165.0
2020-06-09,WTW,202.46,204.16,199.71,201.01,773076.0
2020-06-10,WTW,200.01,201.17,197.42,199.11,997757.0
2020-06-11,WTW,196.44,196.44,185.32,185.75,887819.0
2020-06-12,WTW,189.56,190.56,182.14,186.77,865865.0
2020-06-15,WTW,181.57,190.66,181.57,189.36,555794.0
2020-06-16,WTW,193.48,194.62,189.61,191.63,801206.0
2020-06-17,WTW,191.54,199.325,191.54,197.35,896857.0
2020-06-18,WTW,196.09,200.52,195.52,196.12,885910.0
2020-06-19,WTW,197.73,199.6,188.44,188.85,2463596.0
2020-06-22,WTW,188.15,195.19,188.15,193.67,1473115.0
2020-06-23,WTW,195.42,195.91,193.7488,193.98,740267.0
2020-06-24,WTW,192.08,193.0,190.235,190.85,1717054.0
2020-06-25,WTW,191.81,199.93,190.92,199.31,932734.0
2020-06-26,WTW,198.17,201.35,193.43,194.55,2016074.0
2020-06-29,WTW,195.04,196.35,191.69,192.93,617810.0
2020-06-30,WTW,191.6,197.76,191.07,196.95,962469.0
2020-07-01,WTW,196.53,198.24,194.46,195.25,509646.0
2020-07-02,WTW,199.39,199.39,195.75,196.6,543885.0
2020-07-06,WTW,200.0,200.44,197.065,197.48,448823.0
2020-07-07,WTW,197.0,198.88,196.135,196.58,1374075.0
2020-07-08,WTW,196.87,199.72,196.87,199.24,528588.0
2020-07-09,WTW,199.29,200.64,197.04,199.02,531936.0
2020-07-10,WTW,199.76,202.69,198.49,202.33,674431.0
2020-07-13,WTW,203.84,204.64,200.795,201.47,562192.0
2020-07-14,WTW,202.94,205.79,202.37,203.95,663555.0
2020-07-15,WTW,205.12,206.96,204.33,206.12,647133.0
2020-07-16,WTW,206.02,208.07,205.38,207.49,602269.0
2020-07-17,WTW,207.77,209.0,206.65,208.5,843546.0
2020-07-20,WTW,207.36,209.12,207.1,207.93,704406.0
2020-07-21,WTW,208.83,210.99,208.54,210.98,564548.0
2020-07-22,WTW,209.99,212.68,209.35,212.51,318824.0
2020-07-23,WTW,212.86,213.43,210.785,212.0,576833.0
2020-07-24,WTW,212.65,213.57,210.86,211.52,448421.0
2020-07-27,WTW,211.64,212.535,209.49,211.51,313355.0
2020-07-28,WTW,211.31,212.82,209.32,209.94,493607.0
2020-07-29,WTW,209.31,211.19,208.075,210.13,664104.0
2020-07-30,WTW,209.22,211.97,207.03,211.49,458168.0
2020-07-31,WTW,211.28,211.874,205.45,210.01,663030.0
2020-08-03,WTW,210.73,211.62,204.08,204.65,782322.0
2020-08-04,WTW,205.17,207.02,202.0,204.73,1075879.0
2020-08-05,WTW,203.71,205.04,201.985,202.52,1069019.0
2020-08-06,WTW,201.95,202.69,198.72,199.95,1346221.0
2020-08-07,WTW,198.8,200.21,197.61,199.47,736416.0
2020-08-10,WTW,199.94,200.57,196.7,197.08,465957.0
2020-08-11,WTW,198.51,198.535,195.805,196.0,1431463.0
2020-08-12,WTW,197.7,198.09,194.48,195.39,1389993.0
2020-08-13,WTW,193.13,199.125,193.13,198.75,581089.0
2020-08-14,WTW,198.41,201.67,198.41,201.51,475160.0
2020-08-17,WTW,201.04,204.55,201.04,201.67,833407.0
2020-08-18,WTW,202.19,203.0,199.33,201.31,1711486.0
2020-08-19,WTW,201.0,204.71,200.68,203.3,772402.0
2020-08-20,WTW,201.98,203.62,201.605,202.1,800340.0
2020-08-21,WTW,202.68,202.68,197.99,198.08,985115.0
2020-08-24,WTW,198.69,198.745,193.115,194.6,1497405.0
2020-08-25,WTW,195.96,199.48,194.3,197.26,1427426.0
2020-08-26,WTW,196.19,203.35,195.22,201.57,985893.0
2020-08-27,WTW,202.1,206.66,201.32,205.56,814269.0
2020-08-28,WTW,206.8,207.38,204.48,205.66,694886.0
2020-08-31,WTW,205.73,208.0,205.255,205.53,815621.0
2020-09-01,WTW,204.73,208.81,204.14,208.37,845197.0
2020-09-02,WTW,207.86,216.87,207.86,216.17,848911.0
2020-09-03,WTW,216.88,218.78,208.11,209.44,1095476.0
2020-09-04,WTW,211.01,211.97,205.72,208.43,715618.0
2020-09-08,WTW,206.56,207.23,203.01,203.13,1045215.0
2020-09-09,WTW,205.02,210.91,204.94,209.19,891225.0
2020-09-10,WTW,209.79,211.93,207.27,207.27,579369.0
2020-09-11,WTW,207.43,208.025,204.42,206.12,679166.0
2020-09-14,WTW,207.87,209.58,204.99,206.2,1125737.0
2020-09-15,WTW,207.46,208.38,205.86,206.25,730426.0
2020-09-16,WTW,207.54,209.225,206.61,206.94,823959.0
2020-09-17,WTW,204.34,207.41,202.97,205.71,1195901.0
2020-09-18,WTW,205.36,208.43,204.91,205.31,1184613.0
2020-09-21,WTW,201.98,203.9,200.08,202.53,2132752.0
2020-09-22,WTW,201.74,204.98,199.62,203.67,1504326.0
2020-09-23,WTW,204.23,209.54,203.88,203.99,1653924.0
2020-09-24,WTW,202.7,204.6,197.72,198.32,1752895.0
2020-09-25,WTW,197.44,200.53,194.71,198.67,1059619.0
2020-09-28,WTW,201.18,208.52,201.17,206.85,1658802.0
2020-09-29,WTW,204.83,208.6,204.83,208.09,854826.0
2020-09-30,WTW,211.33,211.5,207.42,208.82,1068478.0
2020-10-01,WTW,209.03,210.84,207.47,210.08,888475.0
2020-10-02,WTW,207.5,211.99,207.46,209.61,707033.0
2020-10-05,WTW,210.81,212.245,208.91,210.14,1892980.0
2020-10-06,WTW,211.34,213.54,208.25,209.05,594277.0
2020-10-07,WTW,210.47,212.77,210.15,211.12,1080923.0
2020-10-08,WTW,211.85,216.15,210.78,211.07,455520.0
2020-10-09,WTW,211.64,213.73,211.28,211.44,770540.0
2020-10-12,WTW,211.16,217.96,211.16,217.03,3474523.0
2020-10-13,WTW,216.52,219.1,212.21,212.55,613130.0
2020-10-14,WTW,213.02,217.145,212.21,212.53,479204.0
2020-10-15,WTW,209.99,216.68,209.99,216.62,874724.0
2020-10-16,WTW,217.27,219.3,216.3,216.76,563334.0
2020-10-19,WTW,216.0,217.7375,212.08,212.71,1516463.0
2020-10-20,WTW,214.83,214.83,209.01,209.4,858172.0
2020-10-21,WTW,208.85,213.03,208.805,209.37,427714.0
2020-10-22,WTW,209.21,210.17,207.77,209.56,478147.0
2020-10-23,WTW,210.56,210.56,207.31,209.75,390516.0
2020-10-26,WTW,207.88,207.88,201.32,203.28,800201.0
2020-10-27,WTW,202.85,204.99,200.25,200.44,472763.0
2020-10-28,WTW,196.45,197.17,192.85,193.91,976736.0
2020-10-29,WTW,194.2,194.2,185.73,186.25,1277777.0
2020-10-30,WTW,186.09,187.66,179.34,182.48,1413547.0
2020-11-02,WTW,182.72,184.335,179.31,179.57,948802.0
2020-11-03,WTW,183.57,184.64,180.2,180.51,1887126.0
2020-11-04,WTW,180.93,187.98,179.87,184.25,2353330.0
2020-11-05,WTW,186.22,189.52,185.33,186.72,1486821.0
2020-11-06,WTW,188.51,193.47,185.67,192.17,423288.0
2020-11-09,WTW,198.46,207.44,194.12,196.0,1592707.0
2020-11-10,WTW,196.37,202.78,195.12,202.01,750694.0
2020-11-11,WTW,202.39,204.88,201.62,202.95,1593394.0
2020-11-12,WTW,201.79,203.76,200.76,202.2,635287.0
2020-11-13,WTW,203.8,207.7,202.38,206.81,1154107.0
2020-11-16,WTW,210.0,210.91,207.695,210.61,1197066.0
2020-11-17,WTW,208.66,213.13,205.34,210.13,1670780.0
2020-11-18,WTW,210.68,211.32,205.69,205.7,970318.0
2020-11-19,WTW,205.69,207.06,202.87,204.49,974271.0
2020-11-20,WTW,203.5,204.86,198.6,199.4,1500672.0
2020-11-23,WTW,200.4,204.53,199.92,203.92,2023157.0
2020-11-24,WTW,205.51,211.71,205.25,209.0,1119279.0
2020-11-25,WTW,207.96,210.57,205.37,209.44,1002898.0
2020-11-27,WTW,208.68,211.97,207.99,209.55,752656.0
2020-11-30,WTW,211.48,211.48,207.23,208.19,1353819.0
2020-12-01,WTW,211.95,214.25,211.3,214.09,831004.0
2020-12-02,WTW,212.87,216.24,211.75,212.49,1060628.0
2020-12-03,WTW,210.685,213.95,210.04,212.82,429792.0
2020-12-04,WTW,212.7,215.84,212.525,214.49,843506.0
2020-12-07,WTW,213.08,216.49,208.915,209.45,1087459.0
2020-12-08,WTW,207.74,211.99,207.27,210.86,1106210.0
2020-12-09,WTW,211.41,212.99,205.87,207.57,1029838.0
2020-12-10,WTW,206.26,207.975,205.54,206.82,1232820.0
2020-12-11,WTW,204.44,208.4425,203.93,204.4,849570.0
2020-12-14,WTW,206.38,208.68,204.625,205.76,1819454.0
2020-12-15,WTW,207.49,211.5,204.31,210.01,1080120.0
2020-12-16,WTW,210.01,214.15,210.01,211.98,1566679.0
2020-12-17,WTW,211.82,215.4,211.82,212.23,2626588.0
2020-12-18,WTW,212.23,212.355,203.77,204.89,3262981.0
2020-12-21,WTW,204.48,208.59,200.08,207.71,3492807.0
2020-12-22,WTW,206.87,210.996,205.12,209.62,2691346.0
2020-12-23,WTW,210.34,212.67,208.01,208.82,1664655.0
2020-12-24,WTW,208.41,212.1,208.38,211.81,435665.0
2020-12-28,WTW,212.1,214.05,207.85,207.94,1390370.0
2020-12-29,WTW,208.89,209.62,207.08,207.79,452879.0
2020-12-30,WTW,207.53,209.6,205.4,206.14,857894.0
2020-12-31,WTW,205.76,211.97,205.7,210.68,703990.0
2021-01-04,WTW,210.68,211.71,203.0,203.7,2009293.0
2021-01-05,WTW,204.12,205.23,199.99,202.0,1830049.0
2021-01-06,WTW,203.78,205.21,200.595,203.7,1962593.0
2021-01-07,WTW,203.83,207.0,202.56,205.25,1823070.0
2021-01-08,WTW,206.25,207.11,202.08,203.64,1006306.0
2021-01-11,WTW,204.43,204.43,199.14,199.23,959182.0
2021-01-12,WTW,198.48,202.11,197.63,199.95,1306145.0
2021-01-13,WTW,199.75,205.12,199.13,204.27,1291290.0
2021-01-14,WTW,204.54,206.09,200.91,205.5,1242746.0
2021-01-15,WTW,203.59,207.23,203.585,206.65,1127469.0
2021-01-19,WTW,207.0124,209.16,206.08,208.5,1433602.0
2021-01-20,WTW,208.84,211.07,207.31,210.27,1033899.0
2021-01-21,WTW,210.23,212.75,208.44,208.57,1375662.0
2021-01-22,WTW,207.73,208.05,205.8,206.5,1883752.0
2021-01-25,WTW,205.19,210.57,205.12,209.32,1122603.0
2021-01-26,WTW,210.31,211.54,207.61,210.22,733461.0
2021-01-27,WTW,207.54,210.9,203.58,205.97,1991923.0
2021-01-28,WTW,206.54,209.69,205.86,206.31,1553791.0
2021-01-29,WTW,204.67,206.39,202.04,202.94,1366439.0
2021-02-01,WTW,203.94,209.655,203.43,207.45,1239510.0
2021-02-02,WTW,205.7,212.765,205.7,211.12,1017105.0
2021-02-03,WTW,211.16,211.27,205.545,206.2,828127.0
2021-02-04,WTW,205.91,209.54,204.54,209.3,1538689.0
2021-02-05,WTW,210.51,224.09,210.0,223.91,1658251.0
2021-02-08,WTW,224.64,226.02,221.27,225.7,1078179.0
2021-02-09,WTW,225.03,229.84,225.03,228.49,774865.0
2021-02-10,WTW,228.33,231.09,225.1,225.63,719413.0
2021-02-11,WTW,229.79,232.34,227.44,228.48,851319.0
2021-02-12,WTW,228.86,231.4,225.91,227.42,750667.0
2021-02-16,WTW,228.53,229.89,226.32,228.11,933034.0
2021-02-17,WTW,226.97,230.36,226.51,229.89,435578.0
2021-02-18,WTW,228.06,228.1,221.7,222.99,2139128.0
2021-02-19,WTW,224.47,225.97,222.99,224.98,1785122.0
2021-02-22,WTW,225.46,226.04,223.66,224.9,2106351.0
2021-02-23,WTW,225.17,226.84,222.44,226.08,1009154.0
2021-02-24,WTW,225.49,228.53,224.755,225.64,2065870.0
2021-02-25,WTW,226.46,228.26,223.41,224.27,1276503.0
2021-02-26,WTW,224.0,224.96,219.83,220.64,1272846.0
2021-03-01,WTW,222.1,228.0,221.27,226.72,976430.0
2021-03-02,WTW,227.32,229.45,224.95,227.11,981941.0
2021-03-03,WTW,226.14,228.12,221.05,222.65,1718103.0
2021-03-04,WTW,223.38,225.345,220.1,221.95,1129107.0
2021-03-05,WTW,224.19,228.39,221.2,228.02,1095110.0
2021-03-08,WTW,229.32,230.69,224.885,225.23,785446.0
2021-03-09,WTW,225.23,229.09,224.6,226.38,859884.0
2021-03-10,WTW,227.48,229.045,223.73,224.23,478850.0
2021-03-11,WTW,223.21,224.92,221.28,222.21,803102.0
2021-03-12,WTW,223.36,223.54,221.53,222.76,641018.0
2021-03-15,WTW,221.98,222.91,219.15,221.35,566210.0
2021-03-16,WTW,219.39,222.83,218.07,222.1,1401303.0
2021-03-17,WTW,222.0,222.885,220.36,221.68,826377.0
2021-03-18,WTW,221.64,223.02,219.53,221.14,1240057.0
2021-03-19,WTW,221.0,221.61,218.47,220.0,1746323.0
2021-03-22,WTW,220.0,221.97,219.8,220.8,1798549.0
2021-03-23,WTW,221.44,223.67,220.28,221.49,1335986.0
2021-03-24,WTW,221.26,225.42,220.32,223.74,1225249.0
2021-03-25,WTW,224.48,225.33,221.53,224.5,1602455.0
2021-03-26,WTW,225.51,229.76,223.13,229.36,1533179.0
2021-03-29,WTW,229.23,235.55,227.22,234.6,1570919.0
2021-03-30,WTW,233.0,236.11,230.87,232.31,952773.0
2021-03-31,WTW,231.84,232.23,228.48,228.88,1294995.0
2021-04-01,WTW,228.68,234.38,228.66,233.59,743593.0
2021-04-05,WTW,234.05,235.83,234.03,235.65,632189.0
2021-04-06,WTW,235.36,236.91,235.1,236.78,1020655.0
2021-04-07,WTW,237.37,238.87,234.98,237.83,414727.0
2021-04-08,WTW,237.1,240.33,236.36,237.07,896870.0
2021-04-09,WTW,237.66,240.04,236.77,239.98,655055.0
2021-04-12,WTW,239.74,244.62,239.24,243.96,1429537.0
2021-04-13,WTW,241.185,245.0,241.185,241.87,982055.0
2021-04-14,WTW,241.83,242.7,235.25,236.72,943653.0
2021-04-15,WTW,236.48,239.57,236.48,237.98,731863.0
2021-04-16,WTW,242.2,242.2,237.17,240.4,969090.0
2021-04-19,WTW,239.91,240.95,238.0,238.01,1190288.0
2021-04-20,WTW,238.03,239.24,236.24,237.23,1153799.0
2021-04-21,WTW,237.46,239.47,235.03,235.74,739750.0
2021-04-22,WTW,234.6,235.01,232.46,233.15,768081.0
2021-04-23,WTW,232.99,234.24,232.52,232.89,1087610.0
2021-04-26,WTW,233.8,234.64,231.01,231.3,1311536.0
2021-04-27,WTW,230.0,237.495,230.0,236.25,2199021.0
2021-04-28,WTW,235.88,246.54,234.77,245.88,2095252.0
2021-04-29,WTW,244.56,248.3,243.17,248.13,833391.0
2021-04-30,WTW,247.67,264.61,247.64,258.86,2204614.0
2021-05-03,WTW,259.31,262.33,257.47,260.99,776804.0
2021-05-04,WTW,260.41,263.39,259.83,262.78,770112.0
2021-05-05,WTW,262.73,264.67,261.395,263.18,577890.0
2021-05-06,WTW,265.13,267.92,262.99,266.51,759943.0
2021-05-07,WTW,265.44,271.77,265.44,270.07,1182301.0
2021-05-10,WTW,271.87,271.87,268.02,268.88,1132882.0
2021-05-11,WTW,268.36,269.3,264.125,264.25,796563.0
2021-05-12,WTW,261.9,266.82,260.62,261.18,1697730.0
2021-05-13,WTW,262.2,264.82,260.12,263.14,761988.0
2021-05-14,WTW,264.2,266.51,263.55,264.85,1289009.0
2021-05-17,WTW,264.39,266.77,264.39,266.0,1054046.0
2021-05-18,WTW,267.73,268.19,263.67,263.67,944957.0
2021-05-19,WTW,261.84,262.63,258.32,261.86,1174458.0
2021-05-20,WTW,262.0,266.01,262.0,264.26,1205224.0
2021-05-21,WTW,263.49,265.61,262.4,262.81,1963657.0
2021-05-24,WTW,263.69,265.23,262.9,262.92,1118285.0
2021-05-25,WTW,262.94,263.475,261.18,261.59,1699755.0
2021-05-26,WTW,255.02,262.62,255.02,260.06,1304811.0
2021-05-27,WTW,260.53,263.2,257.72,260.99,2113711.0
2021-05-28,WTW,262.25,262.43,260.265,261.36,1099675.0
2021-06-01,WTW,263.25,264.02,258.33,259.77,1430143.0
2021-06-02,WTW,261.78,262.45,258.23,258.61,1265698.0
2021-06-03,WTW,258.44,261.51,257.73,258.74,1205400.0
2021-06-04,WTW,258.49,260.83,255.88,259.73,1756572.0
2021-06-07,WTW,260.95,260.95,256.39,256.99,1099466.0
2021-06-08,WTW,256.38,256.38,252.34,254.57,1322059.0
2021-06-09,WTW,254.11,255.64,252.89,254.51,760921.0
2021-06-10,WTW,255.74,259.5,254.76,257.5,675654.0
2021-06-11,WTW,257.46,259.76,256.3,257.49,1013721.0
2021-06-14,WTW,257.7,257.735,254.2,256.12,1485126.0
2021-06-15,WTW,255.84,258.51,254.59,255.6,1282093.0
2021-06-16,WTW,255.79,256.08,234.35,237.14,3628128.0
2021-06-17,WTW,239.4,240.62,231.43,232.19,3586956.0
2021-06-18,WTW,230.63,230.63,224.39,225.2,2397102.0
2021-06-21,WTW,226.35,230.49,224.97,230.18,1636377.0
2021-06-22,WTW,228.71,232.085,228.71,230.41,1730981.0
2021-06-23,WTW,229.22,231.76,229.22,230.15,1501952.0
2021-06-24,WTW,230.01,233.7,229.89,232.55,1233888.0
2021-06-25,WTW,231.86,236.67,231.86,235.5,1048615.0
2021-06-28,WTW,234.77,235.17,230.61,231.37,685250.0
2021-06-29,WTW,231.54,234.26,231.54,232.19,728602.0
2021-06-30,WTW,232.09,233.03,229.485,230.02,902109.0
2021-07-01,WTW,230.25,233.55,230.1,231.0,479806.0
2021-07-02,WTW,230.42,233.71,230.42,231.7,675586.0
2021-07-06,WTW,230.83,231.84,228.86,229.95,1662542.0
2021-07-07,WTW,230.52,232.04,229.33,230.77,866486.0
2021-07-08,WTW,229.22,230.7,223.41,224.15,2234726.0
2021-07-09,WTW,227.11,230.38,226.0401,228.21,794788.0
2021-07-12,WTW,226.16,227.47,223.86,225.17,909431.0
2021-07-13,WTW,225.73,226.46,223.39,224.0,1289506.0
2021-07-14,WTW,224.0,224.0,221.2283,223.05,837210.0
2021-07-15,WTW,222.64,225.01,221.485,221.91,974596.0
2021-07-16,WTW,222.29,224.48,221.19,222.36,680497.0
2021-07-19,WTW,220.19,220.19,213.36,216.09,1022526.0
2021-07-20,WTW,217.02,221.43,217.02,219.7,704318.0
2021-07-21,WTW,220.44,231.13,219.93,224.62,2940742.0
2021-07-22,WTW,224.95,227.25,224.23,226.34,882578.0
2021-07-23,WTW,227.49,227.99,226.03,226.41,457302.0
2021-07-26,WTW,215.0,215.79,204.0,206.07,7552134.0
2021-07-27,WTW,205.6378,210.2,203.0,206.0,5452513.0
2021-07-28,WTW,209.03,209.6,199.78,201.6,5266197.0
2021-07-29,WTW,204.52,206.1,200.96,203.56,5503852.0
2021-07-30,WTW,205.03,206.59,201.98,206.08,2929789.0
2021-08-02,WTW,207.9,208.41,203.025,203.96,1801557.0
2021-08-03,WTW,207.25,214.515,205.315,212.94,2728246.0
2021-08-04,WTW,213.0,214.0,207.14,211.19,2394314.0
2021-08-05,WTW,210.88,217.52,210.88,217.51,3122645.0
2021-08-06,WTW,217.53,219.16,214.1,215.98,2232102.0
2021-08-09,WTW,216.53,218.64,214.35,217.84,2998396.0
2021-08-10,WTW,218.75,219.8,216.1,218.08,1420479.0
2021-08-11,WTW,218.88,222.82,218.03,222.05,2082956.0
2021-08-12,WTW,223.03,223.03,220.12,221.28,1721101.0
2021-08-13,WTW,222.8,223.49,219.17,219.24,1849805.0
2021-08-16,WTW,218.7,219.53,216.66,218.78,2522875.0
2021-08-17,WTW,218.26,218.67,214.9,216.02,2569498.0
2021-08-18,WTW,215.08,217.89,213.92,214.12,2234906.0
2021-08-19,WTW,212.36,215.75,212.225,214.32,2481411.0
2021-08-20,WTW,213.42,219.68,212.58,218.75,2181775.0
2021-08-23,WTW,219.58,221.55,217.22,217.83,2630805.0
2021-08-24,WTW,218.83,218.85,214.41,216.36,2904593.0
2021-08-25,WTW,216.31,218.52,213.88,216.37,2335745.0
2021-08-26,WTW,215.75,217.74,213.665,214.75,1372947.0
2021-08-27,WTW,214.76,220.26,214.01,219.3,1674710.0
2021-08-30,WTW,219.56,219.89,215.2479,215.72,923103.0
2021-08-31,WTW,215.6,222.07,215.28,220.72,2567549.0
2021-09-01,WTW,221.63,224.22,219.96,223.7,1910324.0
2021-09-02,WTW,224.25,230.4599,223.93,230.06,3119134.0
2021-09-03,WTW,230.05,231.0,226.87,228.52,2109480.0
2021-09-07,WTW,229.35,229.35,225.07,227.1,1298770.0
2021-09-08,WTW,225.88,227.52,222.57,225.95,1698638.0
2021-09-09,WTW,231.0,238.16,231.0,236.0,4091968.0
2021-09-10,WTW,237.01,239.18,234.05,236.55,2203320.0
2021-09-13,WTW,237.68,238.27,234.685,236.42,3240107.0
2021-09-14,WTW,237.5,237.56,234.0,234.27,2948514.0
2021-09-15,WTW,234.66,238.75,232.54,236.75,2174409.0
2021-09-16,WTW,236.11,236.83,234.01,234.05,2154299.0
2021-09-17,WTW,232.4,234.0,229.13,230.28,3733937.0
2021-09-20,WTW,225.82,228.25,223.5,226.81,2480761.0
2021-09-21,WTW,228.6,230.1,225.94,228.91,3226937.0
2021-09-22,WTW,230.53,233.88,228.209,230.94,2144065.0
2021-09-23,WTW,233.01,235.11,232.08,233.45,3233663.0
2021-09-24,WTW,232.35,235.005,231.66,233.83,2431946.0
2021-09-27,WTW,234.46,234.46,228.905,231.58,2326998.0
2021-09-28,WTW,229.97,231.72,226.85,228.01,3195053.0
2021-09-29,WTW,224.2368,230.31,224.2368,228.99,1543843.0
2021-09-30,WTW,229.99,235.99,227.325,232.46,3419807.0
2021-10-01,WTW,232.84,243.42,232.37,240.93,2641722.0
2021-10-04,WTW,241.11,242.08,236.04,237.41,3649304.0
2021-10-05,WTW,237.65,244.36,237.56,243.08,1577889.0
2021-10-06,WTW,240.92,244.32,237.29,241.33,1164145.0
2021-10-07,WTW,243.22,244.62,240.66,241.5,2099737.0
2021-10-08,WTW,242.92,243.33,240.34,242.89,1754319.0
2021-10-11,WTW,243.17,244.47,240.49,242.66,1099920.0
2021-10-12,WTW,243.06,244.2,241.3201,241.9,789305.0
2021-10-13,WTW,242.17,244.61,239.84,243.95,1204187.0
2021-10-14,WTW,245.13,248.58,244.97,248.15,1408702.0
2021-10-15,WTW,249.55,249.7,245.71,246.91,913018.0
2021-10-18,WTW,245.63,246.4,244.01,244.9,1031985.0
2021-10-19,WTW,246.0,248.54,246.0,248.1,1125157.0
2021-10-20,WTW,245.8,247.37,243.45,244.14,1773613.0
2021-10-21,WTW,243.47,248.0,241.21,246.87,1106023.0
2021-10-22,WTW,247.72,249.145,245.97,247.76,852089.0
2021-10-25,WTW,248.46,249.22,244.48,244.81,1241723.0
2021-10-26,WTW,244.92,245.64,243.14,244.01,1193115.0
2021-10-27,WTW,243.27,244.99,239.54,240.26,1473386.0
2021-10-28,WTW,240.26,249.45,240.21,248.52,4238562.0
2021-10-29,WTW,246.99,248.81,239.69,242.28,2654463.0
2021-11-01,WTW,242.23,244.78,233.495,237.62,2132116.0
2021-11-02,WTW,238.53,239.62,235.24,237.04,905935.0
2021-11-03,WTW,237.23,237.23,233.44,234.85,1359945.0
2021-11-04,WTW,233.99,235.58,230.12,231.06,793071.0
2021-11-05,WTW,231.22,233.96,228.8,231.31,1005084.0
2021-11-08,WTW,231.57,233.86,230.86,232.7,2133393.0
2021-11-09,WTW,231.45,233.675,229.81,233.38,2727923.0
2021-11-10,WTW,234.17,236.85,230.67,231.35,1577811.0
2021-11-11,WTW,231.52,232.01,228.41,230.3,602306.0
2021-11-12,WTW,231.52,231.92,229.39,230.91,642909.0
2021-11-15,WTW,230.91,231.885,228.31,229.36,1263244.0
