Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,WYNN,71.32,77.8795,65.0,68.02,9984265.0
2020-03-13,WYNN,74.78,77.82,64.15,72.43,7281000.0
2020-03-16,WYNN,59.5,67.48,54.6301,54.8,7949124.0
2020-03-17,WYNN,56.71,58.0,48.01,54.38,9373410.0
2020-03-18,WYNN,48.25,51.86,35.84,43.02,11057613.0
2020-03-19,WYNN,41.15,52.9,38.01,46.58,10563580.0
2020-03-20,WYNN,49.83,60.0,49.0101,51.97,11681956.0
2020-03-23,WYNN,53.51,58.4,51.0,57.6,9810631.0
2020-03-24,WYNN,68.66,71.3945,64.55,66.56,11024962.0
2020-03-25,WYNN,71.81,79.7,65.19,75.06,9662679.0
2020-03-26,WYNN,77.38,83.865,69.76,71.51,11120173.0
2020-03-27,WYNN,66.65,67.3,63.26,63.31,9680974.0
2020-03-30,WYNN,61.76,63.69,58.05,61.1,7351822.0
2020-03-31,WYNN,60.71,63.49,59.1,60.19,5519191.0
2020-04-01,WYNN,56.91,57.0,52.91,54.0,6429224.0
2020-04-02,WYNN,53.12,56.4,51.55,52.67,4844253.0
2020-04-03,WYNN,52.97,53.5,46.21,48.5,8150920.0
2020-04-06,WYNN,53.7,58.25,52.7501,56.73,9251700.0
2020-04-07,WYNN,65.95,67.2,59.75,60.85,12658961.0
2020-04-08,WYNN,62.6496,69.39,61.66,69.07,10912126.0
2020-04-09,WYNN,73.91,76.88,67.82,70.65,11252116.0
2020-04-13,WYNN,70.72,71.35,65.54,69.3,7844589.0
2020-04-14,WYNN,73.05,74.5399,69.19,74.48,6673815.0
2020-04-15,WYNN,71.17,72.8594,70.0,71.85,6228707.0
2020-04-16,WYNN,71.04,72.7,68.81,72.29,6704548.0
2020-04-17,WYNN,77.16,78.52,74.51,78.46,7525617.0
2020-04-20,WYNN,76.18,78.66,72.68,73.29,6072011.0
2020-04-21,WYNN,71.08,73.59,69.68,70.4,5505564.0
2020-04-22,WYNN,72.85,73.25,69.61,70.03,4047637.0
2020-04-23,WYNN,75.22,78.6,74.29,76.05,10581782.0
2020-04-24,WYNN,76.96,77.57,73.93,76.61,5234740.0
