Date,Symbol,Open,High,Low,Close,Volume
2020-03-12,WY,20.49,20.662,18.2,20.22,10214715.0
2020-03-13,WY,20.05,21.92,18.66,21.92,10189084.0
2020-03-16,WY,19.03,20.07,16.95,16.95,8743622.0
2020-03-17,WY,17.36,18.95,16.625,18.95,7365243.0
2020-03-18,WY,17.35,18.05,15.965,16.25,8155196.0
2020-03-19,WY,16.28,16.76,15.03,16.14,9380871.0
2020-03-20,WY,16.38,16.45,14.6,14.76,11184348.0
2020-03-23,WY,14.5,14.69,13.1,13.47,10184602.0
2020-03-24,WY,14.31,16.9,14.16,16.88,9457274.0
2020-03-25,WY,16.66,19.265,16.32,17.72,7849353.0
2020-03-26,WY,17.83,18.57,17.32,18.28,7350417.0
2020-03-27,WY,17.51,17.96,17.06,17.2,6963525.0
2020-03-30,WY,17.18,17.59,16.75,16.95,6696832.0
2020-03-31,WY,16.7,17.22,15.84,16.95,11465577.0
2020-04-01,WY,15.87,16.32,15.35,16.12,10258367.0
2020-04-02,WY,15.96,16.48,15.5,15.84,8352413.0
2020-04-03,WY,15.63,15.97,15.11,15.34,6597906.0
2020-04-06,WY,16.44,17.34,16.12,17.1,9187332.0
2020-04-07,WY,18.07,18.83,17.23,17.29,7663235.0
2020-04-08,WY,17.67,19.56,17.37,19.46,7661196.0
2020-04-09,WY,20.0,21.27,20.0,21.01,8155701.0
2020-04-13,WY,20.92,20.94,19.8,20.1,5105164.0
2020-04-14,WY,20.41,20.7499,20.22,20.33,4240939.0
2020-04-15,WY,19.48,19.76,18.75,19.12,5307819.0
2020-04-16,WY,19.14,19.16,18.39,18.97,3416485.0
2020-04-17,WY,19.68,20.19,19.68,20.1,5257035.0
2020-04-20,WY,19.62,19.82,19.17,19.18,5381154.0
2020-04-21,WY,18.54,19.09,18.47,18.76,5482299.0
2020-04-22,WY,19.17,19.255,18.8,19.02,4943773.0
2020-04-23,WY,19.15,19.52,18.87,18.98,4659907.0
2020-04-24,WY,19.16,19.82,18.96,19.61,3827459.0
2020-04-27,WY,19.85,20.76,19.85,20.66,3841713.0
2020-04-28,WY,21.15,21.65,20.92,21.37,4624920.0
2020-04-29,WY,21.74,22.71,21.66,22.36,5168740.0
2020-04-30,WY,21.98,22.13,21.23,21.87,4696843.0
2020-05-01,WY,19.34,19.72,17.67,17.97,12817745.0
2020-05-04,WY,17.55,18.08,17.145,17.78,8562205.0
2020-05-05,WY,18.01,18.53,17.48,17.52,8186583.0
2020-05-06,WY,17.6,18.295,17.585,18.23,7033011.0
2020-05-07,WY,18.5,19.07,18.38,18.63,7645318.0
2020-05-08,WY,19.14,19.87,19.05,19.85,6131114.0
2020-05-11,WY,19.56,19.59,18.9708,19.35,5213198.0
