Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
AAPL,fastPeriod=20.0;slowPeriod=21.0,0.7786,0.2415,0.2621,145,1.25
ABBV,fastPeriod=20.0;slowPeriod=45.0,0.9392,0.2463,0.3448,29,1.32
ABNB,fastPeriod=17.0;slowPeriod=28.0,0.4004,0.3812,0.2857,49,0.74
ABT,fastPeriod=10.0;slowPeriod=30.0,0.4964,0.2074,0.2000,55,0.62
ACGL,fastPeriod=14.0;slowPeriod=20.0,0.8275,0.2127,0.2727,77,1.53
ACN,fastPeriod=9.0;slowPeriod=24.0,0.5471,0.2830,0.2656,64,0.76
ADBE,fastPeriod=6.0;slowPeriod=20.0,0.3417,0.2856,0.2500,80,0.53
ADI,fastPeriod=20.0;slowPeriod=24.0,0.2418,0.2767,0.2430,107,0.34
ADM,fastPeriod=6.0;slowPeriod=29.0,0.6222,0.1873,0.2500,64,0.90
ADP,fastPeriod=7.0;slowPeriod=39.0,0.9717,0.2122,0.2128,47,1.39
ADSK,fastPeriod=19.0;slowPeriod=20.0,0.3678,0.5327,0.2356,174,0.62
AEE,fastPeriod=5.0;slowPeriod=20.0,0.4248,0.1752,0.2000,85,0.49
AEP,fastPeriod=5.0;slowPeriod=20.0,0.3952,0.2101,0.1798,89,0.46
AES,fastPeriod=17.0;slowPeriod=28.0,0.7797,0.3700,0.3261,46,1.72
AFL,fastPeriod=19.0;slowPeriod=39.0,0.5193,0.2104,0.3191,47,0.72
AIG,fastPeriod=15.0;slowPeriod=21.0,0.6773,0.1947,0.2727,77,1.17
AIZ,fastPeriod=10.0;slowPeriod=46.0,0.7084,0.1190,0.2941,34,1.06
AJG,fastPeriod=16.0;slowPeriod=20.0,1.2159,0.1437,0.3226,93,2.06
AKAM,fastPeriod=19.0;slowPeriod=22.0,0.0569,0.3317,0.2727,88,0.08
ALB,fastPeriod=10.0;slowPeriod=49.0,0.3768,0.4161,0.2188,32,0.70
ALGN,fastPeriod=16.0;slowPeriod=26.0,0.5084,0.3748,0.2037,54,1.25
ALLE,fastPeriod=20.0;slowPeriod=50.0,0.3050,0.2006,0.2353,34,0.39
ALL,fastPeriod=5.0;slowPeriod=44.0,0.4412,0.3164,0.2041,49,0.60
AMAT,fastPeriod=5.0;slowPeriod=36.0,0.4166,0.4425,0.1786,56,0.80
AMCR,fastPeriod=20.0;slowPeriod=22.0,0.0544,0.2023,0.2245,147,0.10
AMD,fastPeriod=11.0;slowPeriod=20.0,0.6061,0.4243,0.2568,74,1.71
AME,fastPeriod=18.0;slowPeriod=27.0,0.6056,0.1424,0.2623,61,0.77
AMGN,fastPeriod=20.0;slowPeriod=26.0,0.5359,0.2060,0.3099,71,0.68
AMP,fastPeriod=19.0;slowPeriod=25.0,0.9902,0.2029,0.3281,64,1.99
AMT,fastPeriod=5.0;slowPeriod=24.0,0.1899,0.2822,0.2254,71,0.26
AMZN,fastPeriod=13.0;slowPeriod=23.0,0.6305,0.2382,0.2500,64,1.23
ANET,fastPeriod=11.0;slowPeriod=35.0,0.2250,0.7958,0.3261,46,-0.15
ANSS,fastPeriod=9.0;slowPeriod=25.0,0.2905,0.3104,0.2143,70,0.43
AON,fastPeriod=15.0;slowPeriod=23.0,0.7701,0.1896,0.3051,59,1.05
AOS,fastPeriod=20.0;slowPeriod=21.0,0.1836,0.3161,0.2568,183,0.25
APA,fastPeriod=16.0;slowPeriod=36.0,0.4194,0.4599,0.2045,44,0.89
APD,fastPeriod=6.0;slowPeriod=20.0,0.4657,0.2410,0.2222,72,0.67
APH,fastPeriod=11.0;slowPeriod=21.0,0.4349,0.2582,0.2558,86,0.63
APO,fastPeriod=19.0;slowPeriod=31.0,0.8491,0.2851,0.3333,48,2.02
APTV,fastPeriod=20.0;slowPeriod=31.0,0.4920,0.2680,0.2340,47,0.86
ARE,fastPeriod=10.0;slowPeriod=24.0,0.1813,0.2310,0.2769,65,0.25
ATO,fastPeriod=18.0;slowPeriod=41.0,0.4922,0.1429,0.2558,43,0.56
AVB,fastPeriod=13.0;slowPeriod=30.0,0.4836,0.2047,0.2558,43,0.60
AVGO,fastPeriod=17.0;slowPeriod=21.0,0.7446,0.2316,0.2843,102,2.04
AVY,fastPeriod=13.0;slowPeriod=43.0,0.5857,0.1996,0.2368,38,0.83
AWK,fastPeriod=6.0;slowPeriod=25.0,0.2791,0.2807,0.2278,79,0.36
AXON,fastPeriod=20.0;slowPeriod=22.0,1.0518,0.4844,0.2937,126,6.01
AXP,fastPeriod=20.0;slowPeriod=27.0,0.7598,0.2003,0.2969,64,1.49
AZO,fastPeriod=10.0;slowPeriod=22.0,0.5964,0.1521,0.2911,79,0.82
A,fastPeriod=13.0;slowPeriod=21.0,0.4251,0.2572,0.2326,86,0.65
BAC,fastPeriod=5.0;slowPeriod=22.0,0.6208,0.3118,0.3026,76,1.02
BALL,fastPeriod=20.0;slowPeriod=28.0,0.5204,0.2333,0.2414,58,0.75
BAX,fastPeriod=20.0;slowPeriod=50.0,0.3564,0.1287,0.2857,21,0.41
BA,fastPeriod=10.0;slowPeriod=46.0,0.4377,0.3871,0.1905,42,0.71
BBY,fastPeriod=19.0;slowPeriod=21.0,0.0281,0.5289,0.2093,129,0.00
BDX,fastPeriod=19.0;slowPeriod=23.0,-0.0114,0.2430,0.2551,98,0.06
BEN,fastPeriod=16.0;slowPeriod=30.0,0.4584,0.3510,0.2619,42,0.76
BF.B,fastPeriod=9.0;slowPeriod=30.0,-0.0351,0.2718,0.2093,43,0.02
BG,fastPeriod=15.0;slowPeriod=32.0,0.7316,0.2386,0.2222,54,1.29
BIIB,fastPeriod=20.0;slowPeriod=23.0,0.2517,0.4016,0.2143,98,0.41
BKNG,fastPeriod=15.0;slowPeriod=20.0,0.2996,0.5157,0.2527,91,0.46
